uuid,name,description,class,datatype,shortname,synonym.1,reference-term-source,reference-term-code,reference-term-relationship,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,child.11,child.12,child.13,child.14,child.15,child.16,child.17,child.18,child.19,child.20,child.21,child.22,child.23,child.24,child.25,child.26,child.27,child.28,child.29,child.30,child.31,child.32,child.33,child.34,child.35,child.36,child.37,child.38,child.39,child.40,child.41,child.42,child.43,child.44,child.45,child.46,child.47,child.48,child.49,child.50,child.51,child.52,child.53,child.54,child.55,child.56,child.57,child.58,child.59,child.60
,Skull,,ConvSet,N/A,Skull,,,,,Skull-AP,Skull-LATERAL,Skull-OBLIQUE,Skull-PA,Skull Mandible-AP,Skull Mandible-LATERAL,Skull Mandible-OBLIQUE,Skull Mandible-PA,Skull Nasal-AP,Skull Nasal-LATERAL,Skull Sinus-LATERAL,Skull Sinus-PA,Skull Sinus-SMV,Skull Sinus-WATERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thorax/Chest,,ConvSet,N/A,Thorax/Chest,,,,,Chest-AP,Chest-LATERAL,Chest-OBLIQUE,Chest-PA,Chest-AP Supine,Thorax Sternum-LATERAL,Thorax Sternum-OBLIQUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arm/Upper Extremity,,ConvSet,N/A,Arm/Upper Extremity,,,,,ForeARM-AP,ForeARM-LATERAL,Humerus-AP,Humerus-LATERAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shoulder,,ConvSet,N/A,Shoulder,,,,,Shoulder-AP,Shoulder-LATERAL,Shoulder-OBLIQUE,Shoulder Trans Thoracic-LATERAL,Shoulder Clavicle-AP,Shoulder Scapula-AP,Shoulder Scapula-LATERAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elbow Hand Wrist,,ConvSet,N/A,Elbow Hand Wrist,,,,,Elbow-AP,Elbow-LATERAL,Elbow-OBLIQUE,Hand-AP,Hand-LATERAL,Hand-OBLIQUE,Hand Finger-AP,Hand Finger-LATERAL,Hand Finger-OBLIQUE,Wrist-AP,Wrist-LATERAL,Wrist-OBLIQUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Abdomen Pelvis,,ConvSet,N/A,Abdomen Pelvis,,,,,Abdomen-AP Supine,Abdomen-AP Erect,Abdomen-LATERAL,Abdomen-OBLIQUE,Abdomen IVP KUB-AP,Pelvis-AP,Pelvis-LATERAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hip Knee Lower Extremity,,ConvSet,N/A,Hip Knee Lower Extremity,,,,,Hip-AP,Hip-LATERAL,Knee-AP,Knee-LATERAL,Knee PATELLA-AP,Knee PATELLA-LATERAL,Femur-AP,Femur-LATERAL,Fibula Tibia-AP,Fibula Tibia-LATERAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ankle Foot,,ConvSet,N/A,Ankle Foot,,,,,Ankle-AP,Ankle-LATERAL,Ankle-MORTISE VIEW,Foot-AP,Foot-LATERAL,Foot-OBLIQUE,Foot Toe-AP,Foot Toe-LATERAL,Foot Toe-OBLIQUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spine Neck,,ConvSet,N/A,Spine Neck,,,,,Spine Cervical-AP,Spine Cervical-LATERAL,Spine Cervical-OBLIQUE,Spine Lumbar-AP,Spine Lumbar-LATERAL,Spine Lumbar-OBLIQUE,Spine Sacrum-AP,Spine Sacrum-LATERAL,Spine Sacrum-OBLIQUE,Spine Thoracic-AP,Spine Thoracic-LATERAL,Spine Thoracic-OBLIQUE,Soft Tissue Neck-AP,Soft Tissue Neck-LATERAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Radiology Orders,,ConvSet,N/A,Radiology Orders,,,,,Skull,Thorax/Chest,Arm/Upper Extremity,Shoulder,Elbow Hand Wrist,Abdomen Pelvis,Hip Knee Lower Extremity,Ankle Foot,Spine Neck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
