Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Fully specified name:fr,Short name:fr,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:200
,,SNOMED:33664007,Acetazolamide,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:398628008,Activated charcoal,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:96119002,Albendazole,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:25246002,Allopurinol,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:69236009,Amiodarone,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:40589005,Amitriptyline,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:108537001,Amlodipine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:27658006,Amoxicillin,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:354049008,Amphotericin B,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:31087008,Ampicillin,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:432555000,Artesunate,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:46123006,Ascorbic acid,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:87652004,Atenolol,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:108600003,Atorvastatin,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:74074008,Atracurium,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:73949004,Atropine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:111165009,Azathioprine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:96034006,Azithromycin,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:25419009,Barium sulfate,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:354053005,Benzoyl peroxide,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:29896003,Betamethasone,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:13565005,Bisacodyl,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:108622005,Budesonide,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:27196008,Bupivacaine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:1434005,Calamine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:53691001,Calcium gluconate,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:14170004,Capreomycin,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:40820003,Carbamazepine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:325325006,Carbimazole,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:81088002,Cefazolin,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:96052006,Cefixime,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:3334000,Cefotaxime,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:36893000,Ceftazidime,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:19841008,Ceftriaxone,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:108655000,Cetirizine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:96316004,Chlorhexidine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:14728000,Chloroquine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:7577004,Ciprofloxacin,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:72924009,Clofazimine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:96209002,Clomipramine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:69708003,Clonazepam,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:108979001,Clopidogrel,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:5797005,Clotrimazole,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:68422006,Cloxacillin,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:6071000,Coal tar,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:73133000,Colchicine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:17308007,Dapsone,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:70702006,Deferoxamine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:7561000,Dexamethasone,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:48546005,Diazepam,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:60731009,Diethylcarbamazine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:796001,Digoxin,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:59187003,Dopamine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:10504007,Doxycycline,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:15222008,Enalapril,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:108984007,Enoxaparin,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:416248007,Entecavir,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:65502005,Epinephrine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:108964008,Epoetin alfa,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:30427009,Erythromycin,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:395246009,Escitalopram,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:40648001,Fentanyl,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:31865003,Fluconazole,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:350086004,Fluorescein,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:53640004,Fluoxetine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:6247001,Folic acid,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:81609008,Furosemide,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:387321007,Gentamicin,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:332445003,Glutaral,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:64349004,Griseofulvin,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:82264009,Homatropine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:91667005,Hydrochlorothiazide,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:16602005,Hydrocortisone,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:327529002,Hydroxocobalamin,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:83490000,Hydroxychloroquine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:395739004,Hyoscine butylbromide,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:38268001,Ibuprofen,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:109218004,Iohexol,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:66492008,Isoflurane,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:5924003,Isosorbide dinitrate,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:333847008,Ketamine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:111137007,Lactulose,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:109032009,Levonorgestrel,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:82573000,Lidocaine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:19225000,Lorazepam,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:37400007,Magnesium sulfate,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:30761007,Mannitol,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:56059005,Mebendazole,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:109081006,Metformin,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:68887009,Methotrexate,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:84078002,Methyldopa,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:27242001,Methylprednisolone,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:7092007,Metoprolol,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:1222004,Metronidazole,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:26800000,Midazolam,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:43684009,Misoprostol,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:73572009,Morphine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:89018006,Naloxone,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:80024007,Neostigmine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:85272000,Nifedipine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:85343003,Nitrofurantoin,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:388185005,Nitrous oxide,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:25673006,Omeprazole,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:108418007,Ondansetron,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:346599006,Oral rehydration salts,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:24099007,Oxygen,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:12369008,Oxytocin,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:1887004,Permethrin,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:51073002,Phenobarbital,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:40556005,Phenytoin,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:90356005,Pilocarpine,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:420155008,Potassium chloride,,,,,,Drug,N/A,,,,,,,,,,,
,,SNOMED:333339003,Potassium permanganate,,,,,,Drug,N/A,,,,,,,,,,,
