Uuid,Void/Retire,Mappings|SAME-AS|SNOMED,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Members,_version:1,_order:300
,,1119420003,"Extirpation of Lymphatic, Neck, Right",,,Procedure,N/A,,,
,,1119419009,"Extirpation of Lymphatic, Neck, Left",,,Procedure,N/A,,,
,,232635006,"Excision of Upper Eyelid, Right",,,Procedure,N/A,,,
,,232638008,"Excision of Upper Eyelid, Left",,,Procedure,N/A,,,
,,232637003,"Excision of Lower Eyelid, Right",,,Procedure,N/A,,,
,,232639000,"Excision of Lower Eyelid, Left",,,Procedure,N/A,,,
,,225686000,Extirpation of upper eyelid Right,,,Procedure,N/A,,,
,,225686000,Extirpation of upper eyelid Left,,,Procedure,N/A,,,
,,412760005,Extirpation of lower eyelid Right,,,Procedure,N/A,,,
,,412760005,Extirpation of lower eyelid Left,,,Procedure,N/A,,,
,,75170007,Extraction of lens Right eye,,,Procedure,N/A,,,
,,75170007,Extraction of lens Left eye,,,Procedure,N/A,,,
,,265271003,Insertion in Eye Right,,,Procedure,N/A,,,
,,265271003,Insertion in Eye Left,,,Procedure,N/A,,,
,,860934001,Inspection of Eye Right,,,Procedure,N/A,,,
,,860930005,Inspection of Eye Leftt,,,Procedure,N/A,,,
,,173193002,"Drainage from Lung, Right",,,Procedure,N/A,,,
,,173193002,"Drainage from Lung, Leftt",,,Procedure,N/A,,,
,,173193002,"Drainage from Lungs, Bilateral",,,Procedure,N/A,,,
,,73719007,Extraction of Upper Tooth Single,,,Procedure,N/A,,,
,,50585009,Extraction of Upper Tooth Multiple,,,Procedure,N/A,,,
,,73719007,Extraction of Upper Tooth All,,,Procedure,N/A,,,
,,34584009,Extraction of Lower Tooth Single,,,Procedure,N/A,,,
,,50585009,Extraction of Lower Tooth Multiple,,,Procedure,N/A,,,
,,34584009,Extraction of Lower Tooth All,,,Procedure,N/A,,,
,,88310003,"Extirpation of Skin, Scalp",,,Procedure,N/A,,,
,,1230053003,"Extirpation of Skin, Face",,,Procedure,N/A,,,
,,287381005,"Extirpation of Skin, Right Ear",,,Procedure,N/A,,,
,,287381005,"Extirpation of Skin, Left Ear",,,Procedure,N/A,,,
,,119833007,"Extirpation of Skin, Neck",,,Procedure,N/A,,,
,,1230057002,"Extirpation of Skin, Chest",,,Procedure,N/A,,,
,,1230058007,"Extirpation of Skin, Back",,,Procedure,N/A,,,
,,58420000,"Extirpation of Skin, Abdomen",,,Procedure,N/A,,,
,,1230054009,"Extirpation of Skin, Buttock",,,Procedure,N/A,,,
,,1236973000,"Extirpation of Skin, Perineum",,,Procedure,N/A,,,
,,726109006,"Detachment of Thumb, Right, Complete",,,Procedure,N/A,,,
,,1271000087107,"Detachment of Thumb, Right, High",,,Procedure,N/A,,,
,,1271000087107,"Detachment of Thumb, Right, Mid",,,Procedure,N/A,,,
,,1271000087107,"Detachment of Thumb, Right, Low",,,Procedure,N/A,,,
,,726108003,"Detachment of Thumb, Left, Complete",,,Procedure,N/A,,,
,,1261000087103,"Detachment of Thumb, Left, High",,,Procedure,N/A,,,
,,1261000087103,"Detachment of Thumb, Left, Mid",,,Procedure,N/A,,,
,,1261000087103,"Detachment of Thumb, Left, Low",,,Procedure,N/A,,,
,,,Neck (Procedure),Neck,,ConvSet,N/A,"Extirpation of Lymphatic, Neck, Right;Extirpation of Lymphatic, Neck, Left",,
,,,Eye (Procedure),Eye,,ConvSet,N/A,"Excision of Upper Eyelid, Right;Excision of Upper Eyelid, Left;Excision of Lower Eyelid, Right;Excision of Lower Eyelid, Left;Extirpation of upper eyelid Right;Extirpation of upper eyelid Left;Extirpation of lower eyelid Right;Extirpation of lower eyelid Left;Extraction of lens Right eye;Extraction of lens Left eye;Insertion in Eye Right;Insertion in Eye Left;Inspection of Eye Right;Inspection of Eye Leftt",,
,,,Lung (Procedure),Lung,,ConvSet,N/A,"Drainage from Lung, Right;Drainage from Lung, Leftt;Drainage from Lungs, Bilateral",,
,,,Tooth (Procedure),Tooth,,ConvSet,N/A,Extraction of Upper Tooth Single;Extraction of Upper Tooth Multiple;Extraction of Upper Tooth All;Extraction of Lower Tooth Single;Extraction of Lower Tooth Multiple;Extraction of Lower Tooth All,,
,,,Skin (Procedure),Skin,,ConvSet,N/A,"Extirpation of Skin, Scalp;Extirpation of Skin, Face;Extirpation of Skin, Right Ear;Extirpation of Skin, Left Ear;Extirpation of Skin, Neck;Extirpation of Skin, Chest;Extirpation of Skin, Back;Extirpation of Skin, Abdomen;Extirpation of Skin, Buttock;Extirpation of Skin, Perineum",,
,,,Thumb (Procedure),Thumb,,ConvSet,N/A,"Detachment of Thumb, Right, Complete;Detachment of Thumb, Right, High;Detachment of Thumb, Right, Mid;Detachment of Thumb, Right, Low;Detachment of Thumb, Left, Complete;Detachment of Thumb, Left, High;Detachment of Thumb, Left, Mid;Detachment of Thumb, Left, Low",,
,,,Procedure Orders,Procedures,,ConvSet,N/A,Neck (Procedure);Eye (Procedure);Lung (Procedure);Tooth (Procedure);Skin (Procedure);Thumb (Procedure),,
,,,All Orderables,,,ConvSet,N/A,Lab Samples;Radiology Orders;Procedure Orders,,
