Uuid,Void/Retire,Mappings|SAME-AS|SNOMED,Name,Concept Drug,Concept Dosage Form,Strength,_version:1,_order:200
,,33664007,Acetazolamide 250 mg,Acetazolamide,Tablet,250 mg,,
,,398628008,Activated charcoal,Activated charcoal,Powder,,,
,,96119002,Albendazole 400 mg,Albendazole,Tablet,400 mg,,
,,96119002,Albendazole 200 mg/5 ml,Albendazole,Oral solution,200 mg/5 ml,,
,,25246002,Allopurinol 100 mg,Allopurinol,Tablet,100 mg,,
,,25246002,Allopurinol 300 mg,Allopurinol,Tablet,300 mg,,
,,69236009,Amiodarone 100 mg,Amiodarone,Tablet,100 mg,,
,,69236009,Amiodarone 200 mg,Amiodarone,Tablet,200 mg,,
,,69236009,Amiodarone 50 mg/ml,Amiodarone,Injection,50 mg/ml,,
,,40589005,Amitriptyline 10 mg,Amitriptyline,Tablet,10 mg,,
,,40589005,Amitriptyline 25 mg,Amitriptyline,Tablet,25 mg,,
,,40589005,Amitriptyline 50 mg,Amitriptyline,Tablet,50 mg,,
,,40589005,Amitriptyline 75 mg,Amitriptyline,Tablet,75 mg,,
,,108537001,Amlodipine 2.5 mg,Amlodipine,Tablet,2.5 mg,,
,,108537001,Amlodipine 5 mg,Amlodipine,Tablet,5 mg,,
,,108537001,Amlodipine 10 mg,Amlodipine,Tablet,10 mg,,
,,27658006,Amoxicillin 250 mg,Amoxicillin,Oral capsule,250 mg,,
,,27658006,Amoxicillin 500 mg,Amoxicillin,Oral capsule,500 mg,,
,,27658006,Amoxicillin 250 mg/5 ml,Amoxicillin,Oral solution,250 mg/5 ml,,
,,714520003,Amphotericin B 50 mg,Amphotericin B,Powder for injection,50 mg,,
,,31087008,Ampicillin 500 mg,Ampicillin,Powder for injection,500 mg,,
,,432555000,Artesunate 60 mg,Artesunate,Powder for injection,60 mg,,
,,432555000,Artesunate 120 mg,Artesunate,Powder for injection,120 mg,,
,,432555000,Artesunate 25 mg,Artesunate,Tablet,,,
,,432555000,Artesunate 50 mg,Artesunate,Tablet,,,
,,432555000,Artesunate 100 mg,Artesunate,Tablet,,,
,,432555000,Artesunate 150 mg,Artesunate,Tablet,,,
,,432555000,Artesunate 200 mg,Artesunate,Tablet,,,
,,787526008,Ascorbic acid 100 mg,Ascorbic acid,Tablet,100 mg,,
,,787526008,Ascorbic acid 500 mg,Ascorbic acid,Tablet,500 mg,,
,,87652004,Atenolol 50 mg,Atenolol,Tablet,50 mg,,
,,87652004,Atenolol 100 mg,Atenolol,Tablet,100 mg,,
,,108600003,Atorvastatin 10 mg,Atorvastatin,Tablet,10 mg,,
,,108600003,Atorvastatin 20 mg,Atorvastatin,Tablet,20 mg,,
,,108600003,Atorvastatin 40 mg,Atorvastatin,Tablet,40 mg,,
