uuid,name,shortname,description,class,reference-term-source,reference-term-code,reference-term-relationship,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,child.11,child.12,child.13,child.14,child.15,child.16,child.17,child.18,child.19,child.20,child.21,child.22,child.23,child.24,child.25,child.26
,"Communicable, Immunizable","Communicable, Immunizable",,Misc,,,,Measles,Diptheria,Whooping Cough,Neonatal Tetanus,Tetanus,Tuberculosis,Acute Flaccid Paralysis,Rubella,Mumps,Chicken Pox,Hepatitis B,,,,,,,,,,,,,,,
,"Communicable, Vector Borne","Communicable, Vector Borne",,Misc,,,,Acute Encephalitis like Syndrome,Filariasis,Clinical Malaria,Plasmodium Falciparum,Plasmodium Vivax,Dengue Fever,Kala‐azar,,,,,,,,,,,,,,,,,,,
,"Communicable, Water/Food Borne","Communicable, Water/Food Borne",,Misc,,,,Typhoid,Acute gastro‐enteritis,Ameobic Dysentery,Bacillary Dysentery,Presumed non‐infectious diarrhoea,Cholera,Intestinal Worms,Jaundice,Hepatitis A,Hepatitis E,Volume Depletion,,,,,,,,,,,,,,,
,Other Communicable Diseases,Other Communicable Diseases,,Misc,,,,Leprosy,Meningitis,,,,,,,,,,,,,,,,,,,,,,,,
,HIV/STI,HIV/STI,,Misc,,,,HIV Infection,Urethral Discharge Syndrome,Scrotal Swelling Syndrome,Vaginal Discharge Syndrome,Lower Abdominal Pain Syndrome,Neonatal Conjuctive Syndrome,Genital User Disease Syndrome ‐ female,Genital User Disease Syndrome ‐ male,Inguinal Bubo Syndrome ,Syphilis,,,,,,,,,,,,,,,,
,Other Infected Diseases,Other Infected Diseases,,Misc,,,,Lower respiratory tract infection,Upper respiratory tract infection,Pneumonia,Severe pneumonia,Bronchitis (Acute & chronic),Urinary Tract Infection,Viral Influenza,Reproductive Tract Infection‐Female,Reproductive Tract Infection-Male,,,,,,,,,,,,,,,,,
,Nutritional and Metabolic Disorder,Nutritional and Metabolic Disorder,,Misc,,,,"Goitre, Cretinism",Diabetes Mellitus,Malnutrition,Avitaminoses & other nutrient deficiency,Obesity,Anaemia,Polyneuritis,,,,,,,,,,,,,,,,,,,
,Skin Diseases,Skin Diseases,,Misc,,,,Acne,Warts,Chloasma,Urticaria,Dermatitis,Alopecia,Vitiligo,Albinism,Herpes simplex,Herpes zoster,Erythroderma,Impetigo,Boils,Abscess,Furunculosis,Fungal infection,Scabies,Leukoderma,Psoriasis,Acute Lymphadenitis,,,,,,
,"Ear, Nose and Throat Infection","Ear, Nose and Throat Infection",,Misc,,,,Acute Suppurative Otitis Media,Chronic Suppurative Otitis Media,Sinusitis,Acute Tonsilitis,Pharyngitis,Foreign body in ear,Foreign body in nose ,Foreign body in throat,Wax,Nasal Polyps,Deviated nasal septum,Rhinitis,Otitis externa,Reflux laryngitis,,,,,,,,,,,,
,Oral Health Related Problems,Oral Health Related Problems,,Misc,,,,Dental caries,Toothache,Periodontal disease,Other disorder of teeth,Aphthous oral ulcer,Tooth impaction,Hypoplasia,Fungal infection Lichen planus,Fungal infection Candidiasis,Oral space infection and  abscess,,,,,,,,,,,,,,,,
,Eye Problems,Eye Problems,,Misc,,,,Conjunctivitis,Trachoma,Cataract,Blindness,Refractive error,Glaucoma,Colour blindness,Exophthalmos,Sty,Chalazion,Pterygium,Diabetic retinopathy,Hypertensive retinopathy,Entropion,Ectropion,Traumatic eye disease,Uveitis,Age related macular degeneration,Amblyopia,Squint,Retinitis pigmentosa,Night blindness,Retinoblastoma,,,
,Obstetrics Complications,Obstetrics Complications,,Misc,,,,Ectopic Pregnancy,Abortion Complication,Pregnancy Induced Hypertension,Pre‐eclampsia,Antepartum Eclampsia,Intrapartum Eclampsia,Postpartum Eclampsia,Hyperemesis Grivadarum,Antepartum Haemorrhage,Prolonged labour,Obstructed Labor,Ruptured Uterus,Postpartum Haemorrhage,Retained Placenta,Other Complications of labor and delivery,Pueperal Sepsis,,,,,,,,,,
,Gynae Problems,Gynae Problems,,Misc,,,,Pelvic Inflammatory Disease,Prolapsed uterus,Menstrual disorder,Dysfunctional Uterine Bleeding,Sub‐fertility (Female),Sub‐fertility (Male),,,,,,,,,,,,,,,,,,,,
,Mental Health Related Problems,Mental Health Related Problems,,Misc,,,,Dementia,Addiction,Schizophrenia,Psychosis,Bipolar affective disorder,Depression,Phobic Anxiety,Other Anxiety,Obsessive-compulsive disorder,Conversive disorder,Neurosis,Mental retardation,Epilepsy,Migraine,Mental illness,,,,,,,,,,,
,Malignancy,Malignancy,,Misc,,,,Breast cancer,Cervical Cancer,Lung Cancer,Oesophagus cancer,Stomach cancer,Thyroid cancer,Liver cancer,Pancreatic cancer,Bone  marrow cancer,Gall bladder cancer,Colorectal cancer,Oral cancer,Lymphoma cancer,Ovary cancer,Urinary bladder cancer,Nasopharyngeal cancer,Head & neck cancer,Other Cancer,,,,,,,,
,Cardiovascular and Respiratory Related Problems,Cardiovascular and Respiratory Related Problems,,Misc,,,,Hypertension,Congestive heart failure ,Cardiac heart failure,Chronic Obstructive Pulmonary Disease,Acute rheumatic fever,Rheumatic heart disease,Ischemic heart disease,Other cardiovascular problems,Bronchial asthma,,,,,,,,,,,,,,,,,
,Other Diseases and Injuries,Other Diseases and Injuries,,Misc,,,,Acute Renal failure,Chronic Renal failure,Nephritis,Nephrotic syndrome,Headache,Pyrexia of Unknown Origin,Gastritis,Insect bite,Abdominal Pain,Cirrhosis of liver,Burns and Scalds,Toxic Effect,Dog Bite,Other rabies susceptible animal bite,Snake bite: Poisonous,Snake bite: Non‐poisonous,Physical Disability,,,,,,,,,
,Orthopaedic Problems,Orthopaedic Problems,,Misc,,,,Falls,Road Traffic Accident,Rheumatoid arthritis,Arthritis,Osteo arthrosis,Back ache,,,,,,,,,,,,,,,,,,,,
,Surgical Problems,Surgical Problems,,Misc,,,,Acid peptic disorders,Anal Fissure,Anal fistula,Fistula of Intestine,Renal stones,Breast lumps,Mastitis,Mastalgia breast,Lumps,Sebaceous cyst,Pilonidal sinus,Appendicitis,Cholecystitis,Cholelithiasis,Hernia,Hydrocoele,Phimosis,Haemorrhoids,Epididymitis,Prostatism,Not mentioned above and other,,,,,
,Diagnostic Set of Sets,Diagnostic Set of Sets,,Misc,,,,"Communicable, Immunizable","Communicable, Vector Borne","Communicable, Water/Food Borne",Other Communicable Diseases,HIV/STI,Other Infected Diseases,Nutritional and Metabolic Disorder,Skin Diseases,"Ear, Nose and Throat Infection",Oral Health Related Problems,Eye Problems,Obstetrics Complications,Gynae Problems,Mental Health Related Problems,Malignancy,Cardiovascular and Respiratory Related Problems,Other Diseases and Injuries,Orthopaedic Problems,Surgical Problems,,,,,,,
