uuid,name,description,class,datatype,shortname,reference-term-source,reference-term-code,reference-term-relationship,synonym.1,synonym.2,synonym.3,answer.1
,Measles,,Diagnosis,N/A,,,,,,,,
,Diptheria,,Diagnosis,N/A,,,,,,,,
,Whooping Cough,,Diagnosis,N/A,,,,,,,,
,Neonatal Tetanus,,Diagnosis,N/A,,,,,,,,
,Tetanus,,Diagnosis,N/A,,,,,,,,
,Tuberculosis,,Diagnosis,N/A,,,,,,,,
,Acute Flaccid Paralysis,,Diagnosis,N/A,AFP,,,,,,,
,Rubella,,Diagnosis,N/A,,,,,,,,
,Mumps,,Diagnosis,N/A,,,,,,,,
,Chicken Pox,,Diagnosis,N/A,,,,,,,,
,Hepatitis B,,Diagnosis,N/A,,,,,,,,
,Acute Encephalitis like Syndrome,,Diagnosis,N/A,AES,,,,,,,
,Filariasis,,Diagnosis,N/A,,,,,,,,
,Clinical Malaria,,Diagnosis,N/A,,,,,,,,
,Plasmodium Falciparum,,Diagnosis,N/A,Malaria,,,,,,,
,Plasmodium Vivax,,Diagnosis,N/A,Malaria,,,,,,,
,Dengue Fever,,Diagnosis,N/A,,,,,,,,
,Kala‐azar,,Diagnosis,N/A,,,,,Leshmaniasis,,,
,Typhoid,,Diagnosis,N/A,,,,,Enteric Fever,,,
,Acute gastro‐enteritis,,Diagnosis,N/A,AGE,,,,,,,
,Ameobic Dysentery,,Diagnosis,N/A,,,,,Amoebiasis,,,
,Bacillary Dysentery,,Diagnosis,N/A,,,,,Shigellosis,,,
,Presumed non‐infectious diarrhoea,,Diagnosis,N/A,,,,,,,,
,Cholera,,Diagnosis,N/A,,,,,,,,
,Intestinal Worms,,Diagnosis,N/A,,,,,,,,
,Jaundice,,Diagnosis,N/A,,,,,,,,
,Hepatitis A,,Diagnosis,N/A,,,,,,,,
,Hepatitis E,,Diagnosis,N/A,,,,,,,,
,Volume Depletion,,Diagnosis,N/A,,,,,Dehydration,,,
,Leprosy,,Diagnosis,N/A,,,,,,,,
,Meningitis,,Diagnosis,N/A,,,,,,,,
,HIV Infection,,Diagnosis,N/A,,,,,,,,
,Urethral Discharge Syndrome,,Diagnosis,N/A,UDS,,,,,,,
,Scrotal Swelling Syndrome,,Diagnosis,N/A,SSS,,,,,,,
,Vaginal Discharge Syndrome,,Diagnosis,N/A,VDS,,,,,,,
,Lower Abdominal Pain Syndrome,,Diagnosis,N/A,LAPS,,,,,,,
,Neonatal Conjuctive Syndrome,,Diagnosis,N/A,NCS,,,,,,,
,Genital User Disease Syndrome ‐ female,,Diagnosis,N/A,GUDS,,,,,,,
,Genital User Disease Syndrome ‐ male,,Diagnosis,N/A,GUDS,,,,,,,
,Inguinal Bubo Syndrome ,,Diagnosis,N/A,IBS,,,,,,,
,Syphilis,,Diagnosis,N/A,,,,,,,,
,Lower respiratory tract infection,,Diagnosis,N/A,LRTI,,,,ARI,,,
,Upper respiratory tract infection,,Diagnosis,N/A,URTI,,,,,,,
,Pneumonia,,Diagnosis,N/A,,,,,,,,
,Severe pneumonia,,Diagnosis,N/A,,,,,,,,
,Bronchitis (Acute & chronic),,Diagnosis,N/A,,,,,,,,
,Urinary Tract Infection,,Diagnosis,N/A,UTI,,,,,,,
,Viral Influenza,,Diagnosis,N/A,,,,,,,,
,Reproductive Tract Infection‐Female,,Diagnosis,N/A,RTI–Female,,,,,,,
,Reproductive Tract Infection-Male,,Diagnosis,N/A,RTI-Male,,,,,,,
,"Goitre, Cretinism",,Diagnosis,N/A,,,,,,,,
,Diabetes Mellitus,,Diagnosis,N/A,DM,,,,,,,
,Malnutrition,,Diagnosis,N/A,,,,,,,,
,Avitaminoses & other nutrient deficiency,,Diagnosis,N/A,,,,,,,,
,Obesity,,Diagnosis,N/A,,,,,,,,
,Anaemia,,Diagnosis,N/A,,,,,Polyneuropathy,,,
,Polyneuritis,,Diagnosis,N/A,,,,,,,,
,Acne,,Diagnosis,N/A,,,,,,,,
,Warts,,Diagnosis,N/A,,,,,,,,
,Chloasma,,Diagnosis,N/A,,,,,Melasma,,,
,Urticaria,,Diagnosis,N/A,,,,,,,,
,Dermatitis,,Diagnosis,N/A,,,,,Eczema,,,
,Alopecia,,Diagnosis,N/A,,,,,,,,
,Vitiligo,,Diagnosis,N/A,,,,,,,,
,Albinism,,Diagnosis,N/A,,,,,,,,
,Herpes simplex,,Diagnosis,N/A,,,,,,,,
,Herpes zoster,,Diagnosis,N/A,,,,,,,,
,Erythroderma,,Diagnosis,N/A,,,,,,,,
,Impetigo,,Diagnosis,N/A,,,,,,,,
,Boils,,Diagnosis,N/A,,,,,,,,
,Abscess,,Diagnosis,N/A,,,,,,,,
,Furunculosis,,Diagnosis,N/A,,,,,,,,
,Fungal infection,,Diagnosis,N/A,,,,,Lichen planus,,,
,Scabies,,Diagnosis,N/A,,,,,,,,
,Leukoderma,,Diagnosis,N/A,,,,,,,,
,Psoriasis,,Diagnosis,N/A,,,,,,,,
,Acute Lymphadenitis,,Diagnosis,N/A,,,,,,,,
,Acute Suppurative Otitis Media,,Diagnosis,N/A,,,,,,,,
,Chronic Suppurative Otitis Media,,Diagnosis,N/A,,,,,,,,
,Sinusitis,,Diagnosis,N/A,,,,,,,,
,Acute Tonsilitis,,Diagnosis,N/A,,,,,,,,
,Pharyngitis,,Diagnosis,N/A,,,,,Sore throat,,,
,Foreign body in ear,,Diagnosis,N/A,,,,,,,,
,Foreign body in nose ,,Diagnosis,N/A,,,,,,,,
,Foreign body in throat,,Diagnosis,N/A,,,,,,,,
,Wax,,Diagnosis,N/A,,,,,,,,
,Nasal Polyps,,Diagnosis,N/A,,,,,,,,
,Deviated nasal septum,,Diagnosis,N/A,DNS,,,,,,,
,Rhinitis,,Diagnosis,N/A,,,,,,,,
,Otitis externa,,Diagnosis,N/A,,,,,,,,
,Reflux laryngitis,,Diagnosis,N/A,,,,,,,,
,Dental caries,,Diagnosis,N/A,,,,,,,,
,Toothache,,Diagnosis,N/A,,,,,,,,
,Periodontal disease,,Diagnosis,N/A,,,,,Gum disease,,,
,Other disorder of teeth,,Diagnosis,N/A,,,,,,,,
,Aphthous oral ulcer,,Diagnosis,N/A,,,,,Herpetic oral ulcer,,,
,Tooth impaction,,Diagnosis,N/A,,,,,,,,
,Hypoplasia,,Diagnosis,N/A,,,,,,,,
,Fungal infection Lichen planus,,Diagnosis,N/A,Lichen planus,,,,,,,
,Fungal infection Candidiasis,,Diagnosis,N/A,Candidiasis,,,,,,,
,Oral space infection and  abscess,,Diagnosis,N/A,,,,,,,,
,Conjunctivitis,,Diagnosis,N/A,,,,,,,,
