Test name,datatype,Department,Panel name,Sample name,Low Normal,High Normal,units,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6
Haemoglobin,Numeric,Haematology Department,Complete blood count,Blood/Serum,,,,,,,,,
Platelets,Numeric,Haematology Department,Complete blood count,Blood/Serum,140,440,X10^9/L,,,,,,
R.B.C.,Numeric,Haematology Department,Complete blood count,Blood/Serum,3.5,5.5,million.mm^3,,,,,,
Total WBC Count,Numeric,Haematology Department,Complete blood count,Blood/Serum,4.3,10,X10^9/L,,,,,,
Granulocyte Count,Numeric,Haematology Department,Differential count,Blood/Serum,1.8,7.2,X10^9/L,,,,,,
Neutrophil,Numeric,Haematology Department,Differential count,Blood/Serum,40,70,%,,,,,,
Lymphocyte,Numeric,Haematology Department,Differential count,Blood/Serum,25,45,%,,,,,,
Eosinophil,Numeric,Haematology Department,Differential count,Blood/Serum,2,6,%,,,,,,
Monocyte,Numeric,Haematology Department,Differential count,Blood/Serum,2,10,%,,,,,,
Basophil,Numeric,Haematology Department,Differential count,Blood/Serum,0,1,%,,,,,,
Bands,,Haematology Department,Differential count,Blood/Serum,,,,,,,,,
Metamyelocyte,,Haematology Department,Differential count,Blood/Serum,,,,,,,,,
Myelocyte,,Haematology Department,Differential count,Blood/Serum,,,,,,,,,
Promyelocyte,,Haematology Department,Differential count,Blood/Serum,,,,,,,,,
Blasts,,Haematology Department,Differential count,Blood/Serum,,,,,,,,,
PCV,Numeric,Haematology Department,Differential count,Blood/Serum,,,,,,,,,
MCV,Numeric,Haematology Department,Differential count,Blood/Serum,80,90,fl,,,,,,
MCHC,Numeric,Haematology Department,Differential count,Blood/Serum,32,36,mg/dl,,,,,,
BT,Numeric,Haematology Department,Coagulation profile,Blood/Serum,2,6,min,,,,,,
CT,Numeric,Haematology Department,Coagulation profile,Blood/Serum,5,10,min,,,,,,
PT,Numeric,Haematology Department,Coagulation profile,Blood/Serum,10,14,sec,,,,,,
APTT,Numeric,Haematology Department,Coagulation profile,Blood/Serum,10,14,sec,,,,,,
Glucose (F),Numeric,Biochemistry Department,,Blood/Serum,70,110,mg/dl,,,,,,
Glucose (P.P),Numeric,Biochemistry Department,,Blood/Serum,70,140,mg/dl,,,,,,
Glucose (R),Numeric,Biochemistry Department,,Blood/Serum,60,140,mg/dl,,,,,,
Urea,Numeric,Biochemistry Department,,Blood/Serum,14,40,mg/dl,,,,,,
Creatinine,Numeric,Biochemistry Department,,Blood/Serum,0.4,1.4,mg/dl,,,,,,
BUN,Numeric,Biochemistry Department,,Blood/Serum,7,21,mg/dl,,,,,,
Sodium,Numeric,Biochemistry Department,,Blood/Serum,135,147,mmol/dl,,,,,,
Potassium,Numeric,Biochemistry Department,,Blood/Serum,3.5,5,mmol/L,,,,,,
Chloride,Numeric,Biochemistry Department,,Blood/Serum,102,109,mEq/L,,,,,,
Calcium,Numeric,Biochemistry Department,,Blood/Serum,8.1,10.4,mg/dl,,,,,,
Serum Uric Acid,Numeric,Biochemistry Department,,Blood/Serum,2.5,7,mg/dl,,,,,,
Serum Amylase,Numeric,Biochemistry Department,,Blood/Serum,25,125,U/L,,,,,,
LDH,Numeric,Biochemistry Department,,Blood/Serum,0,480,U/L,,,,,,
Alk Phosphatase,Numeric,Biochemistry Department,Liver Function tests,Blood/Serum,50,150,IU/L,,,,,,
SGOT,Numeric,Biochemistry Department,Liver Function tests,Blood/Serum,5,45,IU/L,,,,,,
SGPT,Numeric,Biochemistry Department,Liver Function tests,Blood/Serum,5,40,IU/L,,,,,,
Gamma GT,Numeric,Biochemistry Department,Liver Function tests,Blood/Serum,,,,,,,,,
Total Bili,Numeric,Biochemistry Department,Liver Function tests,Blood/Serum,0.2,1,mg/dl,,,,,,
Direct Bili,Numeric,Biochemistry Department,Liver Function tests,Blood/Serum,0,0.4,mg/dl,,,,,,
Serum Protein,Numeric,Biochemistry Department,Liver Function tests,Blood/Serum,6,7.8,g/dl,,,,,,
Serum Albumin,Numeric,Biochemistry Department,Liver Function tests,Blood/Serum,3.7,5.3,g/dl,,,,,,
A-G Ratio,Numeric,Biochemistry Department,Liver Function tests,Blood/Serum,1.1,2.2,,,,,,,
Serum Cholesterol,Numeric,Biochemistry Department,Lipid profile tests,Blood/Serum,140,250,mg/dl,,,,,,
HDL Cholesterol,Numeric,Biochemistry Department,Lipid profile tests,Blood/Serum,0,34,mg/dl,,,,,,
LDL Cholesterol,Numeric,Biochemistry Department,Lipid profile tests,Blood/Serum,0,140,mg/dl,,,,,,
Serum Trigs,Numeric,Biochemistry Department,Lipid profile tests,Blood/Serum,0,150,mg/dl,,,,,,
CK-MB,Numeric,Biochemistry Department,Cardiac Biomarkers,Blood/Serum,0,24,U/L,,,,,,
CPK,Numeric,Biochemistry Department,Cardiac Biomarkers,Blood/Serum,24,195,IU,,,,,,
Troponin I,Numeric,Biochemistry Department,Cardiac Biomarkers,Blood/Serum,0,10,µg/L,,,,,,
ESR,Numeric,Biochemistry Department,Inflammatory Markers,Blood/Serum,2,20,mm/1st hr,,,,,,
