uuid,name,description,class,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,child.11,child.12,child.13,child.14,child.15,child.16,child.17,child.18,child.19,child.20,child.21,child.22,child.23,reference-term-source,reference-term-code,reference-term-relationship
,ER-ER General Patients,,Misc,ER general patients,ER-Emergency service index,,,,,,,,,,,,,,,,,,,,,,,,,
,Systolic Data,,Concept Details,Systolic,BP data-Systolic,BP Systolic Data-Systolic abnormal,,,,,,,,,,,,,,,,,,,,,,,,
,Diastolic,,Concept Details,Diastolic,BP data-Diastolic,BP Diastolic Data-Diastolic abnormal,,,,,,,,,,,,,,,,,,,,,,,,
,Blood Pressure,,Misc,Blood pressure,Systolic Data,Diastolic,Posture,,,,,,,,,,,,,,,,,,,,,,,
,Temperature data,,Concept Details,Temperature,Temperature,Congestive Heart Failure - Examination / Follow Up - Physical Examination - Temperature data - Temperature Abnormal,,,,,,,,,,,,,,,,,,,,,,,,
,Heart rate data,,Concept Details,Heart rate,Heart rate,Heart rate abnormal,,,,,,,,,,,,,,,,,,,,,,,,
,Childhood-Respiratory rate data,,Concept Details,Respiratory rate data,Respiratory rate,Respiratory rate abnormal,,,,,,,,,,,,,,,,,,,,,,,,
,Oxygen saaturation data,,Concept Details,Oxygen Saturation,Oxygen saturation,Oxygen saturation abnormal,,,,,,,,,,,,,,,,,,,,,,,,
,Vitals,,Misc,Vitals,Blood Pressure,Temperature data,Heart rate data,Childhood-Respiratory rate data,Oxygen saaturation data,Capillary refill time,Weight,,,,,,,,,,,,,,,,,,,
,ER-Disability roblem,,Misc,Disability,GCS,AVPU,,,,,,,,,,,,,,,,,,,,,,,,
,ER-Primary survey and resuscetation,"A- Airway (clear) and cervical spine control (Y/N)<li> B- Breathing (RR) pattern symmetrical/asymmetrical> <li> C-Circulation and hemorrhage control, tachycardia/bradycardia, CRT-NA, SPo2 <li> D- Disability (dysfunction of central nervous system - A V P U, GCS <li> E- Exposure and environmental control (Y/N)",Misc,Primary survey and resuscitation,ER-Airway evaluation,ER-Breathing difficulties,ER-Circulation problem,ER-Disability roblem,ER-Exposure problem,,,,,,,,,,,,,,,,,,,,,
,ER-Trauma and disaster patient,,Misc,Trauma and disaster patient,ER-Triage,ER-Primary survey and resuscetation,ER-Chest compression,ER-Pelvic compression,ER-Spinal tenderness,ER-Secondary survey,ER-Definitive care,,,,,,,,,,,,,,,,,,,
,ER-Emergency Triage,,Misc,Emergency triage,ER-ER General Patients,Vitals,ER-Trauma and disaster patient,,,,,,,,,,,,,,,,,,,,,,,
,ER-Medications,,Misc,Current medicines,ER-Current home medications,ER-Non compliance reason,ER-Non compliance,,,,,,,,,,,,,,,,,,,,,,,
,ER-Physical examination,,Misc,Physical examination,ER-Physical examination details,,,,,,,,,,,,,,,,,,,,,,,,,
,ER-Studies,,Misc,Studies,ER-Lab studies,ER-ECG,ER-Radiology,ER-Microbiology,,,,,,,,,,,,,,,,,,,,,,
,ER-ROS,,Misc,ROS,ER-Psych,ER-Endocrine,ER-Neuro,ER-Heme and lymph,ER-Allergic / immunologic,ER-Constitutional,ER-ENT,ER-Eyes,ER-Respair,ER-CV,ER-GI,ER-Skin or breast,ER-MSK,ER-Urinary,ER-Genital,ER-Menses frequency,"ER General Notes,  Is there pain during menses",ER-Menses regularity,ER-Heavy or light,ER-Contraception,ER-ROS notes,,,,,
,ER-Assessment and Plan,,Misc,Assessment / Plan,ER-Problem,,,,,,,,,,,,,,,,,,,,,,,,,
,ER General note,,Misc,ER General note,ER-Free health service code,Referred in,ER-Emergency Triage,ER-Chief complaint,ER-HPI notes,ER-Medical history,ER-Medications,ER-Surgical history,ER-Family history,ER-Cigarette smoker,ER-Other forms of tobacco,ER-Alcohol use,ER-Evidence of alcohol abuse,ER-Illicit drug use,ER-Allergies,ER-Obstetrics and gynecology history,ER-Date of lmp,ER-Physical examination,ER-Studies,ER-ROS,ER-Assessment and Plan,Followup,,,,
