uuid,name,description,class,shortname,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,reference-term-source,reference-term-code,reference-term-relationship,reference-term-source,reference-term-code,reference-term-relationship
,Leprosy-Patient name,,Misc,Patient's name,Text,,,,,,,,,,,,,,,,,,
,Voluntarily,,Misc,Voluntarily,N/A,,,,,,,,,,,,,,,,,,
,Referred,,Misc,Referred,N/A,,,,,,,,,,,,,org.openmrs.module.emrapi,REFERRED,SAME-AS,,,
,Contact examination,,Misc,Contact examination,N/A,,,,,,,,,,,,,,,,,,
,Others,,Misc,Others,N/A,,,,,,,,,,,,,,,,,,
,Leprosy-Finding type,,Misc,Finding type,Coded,,,,,,,Voluntarily,Referred,Contact examination,Others,,,,,,,,
,New patients,,Misc,New patients,N/A,,,,,,,,,,,,,,,,,,
,Relapse,,Misc,Relapse,N/A,,,,,,,,,,,,,,,,,,
,Re-starter,,Misc,Re-starter,N/A,,,,,,,,,,,,,,,,,,
,Transfer in,,Misc,Transfer in,N/A,,,,,,,,,,,,,,,,,,
,Classification change,,Misc,Classification change,N/A,,,,,,,,,,,,,,,,,,
,Leprosy-Case type,"Enter this, only for treatment intake cases",Misc,Case type,Coded,,,,,,,New patients,Relapse,Re-starter,Transfer in,Classification change,,,,,,,
,Multi bacillary,,Misc,Multi bacillary,N/A,,,,,,,,,,,,,,,,,,
,Pauci bacillary,,Misc,Pauci bacillary,N/A,,,,,,,,,,,,,,,,,,
,Leprosy-Leprosy type,"Enter this, for both intake and follow-up cases",Misc,Leprosy type,Coded,,,,,,,Multi bacillary,Pauci bacillary,,,,,,,,,,
,Leprosy-Drug regimen,,Misc,Drug regimen,Text,,,,,,,,,,,,,,,,,,
,Leprosy-Supervised drug administration for this month,,Misc,Supervised drug administration for this month,Boolean,,,,,,,,,,,,,,,,,,
,Grade 0,,Misc,Grade 0,N/A,,,,,,,,,,,,,,,,,,
,Grade 1,,Misc,Grade 1,N/A,,,,,,,,,,,,,,,,,,
,Grade 2,,Misc,Grade 2,N/A,,,,,,,,,,,,,,,,,,
,Not examined,,Misc,Not examined,N/A,,,,,,,,,,,,,,,,,,
,Leprosy-Disability grade,,Misc,Disability grade,Coded,,,,,,,Grade 0,Grade 1,Grade 2,Not examined,,,,,,,,
,Leprosy-EHP score,,Misc,EHP score,Numeric,,,,,,,,,,,,,,,,,,
,Release from Treatment – RFT,,Misc,,N/A,,,,,,,,,,,,,,,,,,
,TO,,Misc,TO,N/A,,,,,,,,,,,,,,,,,,
,DF,,Misc,DF,N/A,,,,,,,,,,,,,,,,,,
,OD,,Misc,OD,N/A,,,,,,,,,,,,,,,,,,
,Leprosy-Patient deduction type,"Enter this, only if the patient is ending the leprosy treatment",Misc,Patient deduction type,Coded,,,,,,,Release from Treatment – RFT,TO,DF,OD,,,,,,,,
,Leprosy-Follow up,,Misc,Follow up,Date,,,,,,,,,,,,,,,,,,
