uuid,name,description,class,shortname,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,reference-term-source,reference-term-code,reference-term-relationship
,Kalaazar-Patient name,,Misc,Patient name,Text,,,,,,,,,,,,,,
,Kalaazar-Contact number,,Misc,Contact number,Numeric,,,,,,,,,,,,,,
,High risk,,Misc,High risk,N/A,,,,,,,,,,,,,,
,Medium risk,,Misc,Medium risk,N/A,,,,,,,,,,,,,,
,Low risk,,Misc,Low risk,N/A,,,,,,,,,,,,,,
,Normal,,Misc,,N/A,,,,,,,,,,,,,,
,Kalaazar-Receptivity,,Misc,Receptivity,Coded,,,,,,,High risk,Medium risk,Low risk,Normal,,,,
,ACD-Active case detection,,Misc,ACD - active case detection,N/A,,,,,,,,,,,,,,
,PCD-Passive case detection,,Misc,PCD - passive case detection,N/A,,,,,,,,,,,,,,
,Kalaazar-Source,,Misc,Source,Coded,,,,,,,ACD-Active case detection,PCD-Passive case detection,,,,,,
,Kalaazar-Pregnant,,Misc,Pregnant,Boolean,,,,,,,,,,,,,,
,Kalaazar-KATF (kala,,Misc,KATF ( kala-azar treatment failure case),Boolean,,,,,,,,,,,,,,
,Indigenous,,Misc,Indigenous,N/A,,,,,,,,,,,,,,
,Imported,,Misc,Imported,N/A,,,,,,,,,,,,,,
,Kalaazar-Classification,,Misc,Classification,Coded,,,,,,,Indigenous,Imported,,,,,,
,Kalaazar-Treatment start date,,Misc,Treatment start date,Date,,,,,,,,,,,,,,
,Kalaazar-Drug regimen,,Misc,Drug regimen,Text,,,,,,,,,,,,,,
,Positive,,Misc,Positive,N/A,,,,,,,,,,,,,,
,Negative,,Misc,Negative,N/A,,,,,,,,,,,,,,
,Kalaazar-Kalaazar patients follow up test ordered,,Misc,Kalaazar patients follow up test ordered,Coded,,,,,,,Positive,Negative,,,,,,
,Kalaazar-Death date,,Misc,Death date,Date,,,,,,,,,,,,,,
,Kalaazar-Remarks,,Misc,Remarks,Text,,,,,,,,,,,,,,
