"uuid","name","description","class","shortname","datatype","units","High Normal","Low Normal","Allow Decimal","locale","synonym.1","answer.1","answer.2","answer.3","answer.4","answer.5","answer.6","answer.7","answer.8","reference-term-source","reference-term-code","reference-term-relationship"
"f2315994-24b4-45ff-8866-a2a60e58bce5","Animal bite-Dog",,"Misc","Dog","N/A",,,,,,"","","","","","","","","",,,
"47d4df5e-c548-40b2-a755-9ed27bf388ba","Animal bite-Cat",,"Misc","Cat","N/A",,,,,,"","","","","","","","","",,,
"baddde95-f20c-4768-b1f3-f80897488a80","Animal bite-Wild animal",,"Misc","Wild animal","N/A",,,,,,"","","","","","","","","",,,
"3b1c9670-9125-4145-9981-a82f795c65b9","Animal bite-Others",,"Misc","Others","N/A",,,,,,"","","","","","","","","",,,
"26ee0bed-5e2d-4bf5-89a8-e7a27d0dc1e8","Animal bite-Biting animal",,"Misc","Biting animal","Coded",,,,,,"","Animal bite-Dog","Animal bite-Cat","Animal bite-Wild animal","Animal bite-Others","","","","",,,
"8974a39a-ab83-45aa-ae50-63c139b3b3ab","Animal bite-Others(specify)",,"Misc","Others(specify)","Text",,,,,,"","","","","","","","","",,,
"f6004335-cdc3-40e5-8bdd-524d2eb1bb44","Animal bite-Date of bite",,"Misc","Date of bite","Date",,,,,,"","","","","","","","","",,,
"f144b4e6-3560-4f32-8a69-d2d7b05cab12","Animal bite-Face/head",,"Misc","Face/head","N/A",,,,,,"","","","","","","","","",,,
"72e5eaeb-2606-4edd-9321-c526697f3239","Animal bite-Palm/Finger",,"Misc","Palm/Finger","Text",,,,,,"","","","","","","","","",,,
"7567218b-199b-400c-8e2c-7a079406b2c2","Animal bite-Hand/forehand",,"Misc","Hand/forehand","N/A",,,,,,"","","","","","","","","",,,
"6385c5b6-d4d8-4e26-9e26-e076ae8d11a8","Animal bite-Upper trunk",,"Misc","Upper trunk","N/A",,,,,,"","","","","","","","","",,,
