"uuid","name","description","class","shortname","datatype","units","High Normal","Low Normal","Allow Decimal","locale","synonym.1","answer.1","answer.2","answer.3","answer.4","answer.5","answer.6","answer.7","answer.8","answer.9","answer.10","answer.11","answer.12","reference-term-source","reference-term-code","reference-term-relationship","reference-term-source","reference-term-code","reference-term-relationship"
"938ba068-226b-4b11-a205-12c195311076","Urethral Discharge Syndrome (UDS)",,"Diagnosis","UDS","N/A",,,,,,"","","","","","","","","","","","","","ICD-10-WHO","R36","SAME-AS",,,
"83ddefc9-c2c4-4c74-9c0f-05c863b28d64","Scortal swelling syndrome",,"Misc","Scortal swelling syndrome","N/A",,,,,,"","","","","","","","","","","","","",,,,,,
"724debd8-0daf-4534-b8d7-fa08d84d192f","Vaginal Discharge Syndrome (VDS)",,"Diagnosis","VDS","N/A",,,,,,"","","","","","","","","","","","","","ICD-10-WHO","N89.8","SAME-AS",,,
"07d7e19d-af67-4a49-ac01-192bc0e85156","Pain localized to lower abdomen (LAPS)",,"Diagnosis","LAPS","N/A",,,,,,"","","","","","","","","","","","","","ICD-10-WHO","R10.3","SAME-AS",,,
"727ccdff-8c3b-4409-bef5-dcfa982d2b13","Genital ulcer disease syndrome",,"Misc","Genital ulcer disease syndrome","N/A",,,,,,"","","","","","","","","","","","","",,,,,,
"f25b533a-456a-4ac0-a387-55717318516a","Inguinal Bubo Syndrome (IBS)",,"Diagnosis","IBS","N/A",,,,,,"","","","","","","","","","","","","","ICD-10-WHO","A55","SAME-AS",,,
"0c020f14-07fc-48a4-97f3-cff60c03108c","Others",,"Misc","Others","N/A",,,,,,"","","","","","","","","","","","","",,,,,,
"6b8812ce-c687-4627-b315-613ccbd16585","Not present",,"Misc","Not present","N/A",,,,,,"","","","","","","","","","","","","",,,,,,
"2825d1d3-ace8-4669-800c-e24c2d90cd12","STI-STI syndromic diagnosis",,"Misc","Syndromic diagnosis","Coded",,,,,,"","Urethral Discharge Syndrome (UDS)","Scortal swelling syndrome","Vaginal Discharge Syndrome (VDS)","Pain localized to lower abdomen (LAPS)","Genital ulcer disease syndrome","Inguinal Bubo Syndrome (IBS)","Others","Not present","","","","",,,,,,
"57f20e32-84fe-4c0a-b6f9-8657efe9a380","STI-Other STI diagnosis syndrome",,"Misc","Others (specify)","Text",,,,,,"","","","","","","","","","","","","",,,,,,
"47f67c79-abd2-4372-9c14-5171be5354ef","Cervisitis",,"Misc","Cervisitis","N/A",,,,,,"","","","","","","","","","","","","",,,,,,
"499b6962-2fcb-4ca2-8129-3a61c3c34961","Vaginitis",,"Misc","Vaginitis","N/A",,,,,,"","","","","","","","","","","","","",,,,,,
"0ca673f7-18d0-428b-8db1-06a0d8311ad7","Herpes genitalis",,"Misc","Herpes genitalis","N/A",,,,,,"","","","","","","","","","","","","",,,,,,
"cf140dc4-e59f-49fe-91d3-d9cd780c3bb9","GM strain +ve",,"Misc","GM strain +ve","N/A",,,,,,"","","","","","","","","","","","","",,,,,,
"a7498fbb-d80c-4813-9f71-25288358f4ad","Syphilis positive",,"Misc","Syphilis positive","N/A",,,,,,"","","","","","","","","","","","","",,,,,,
"6b8812ce-c687-4627-b315-613ccbd16585","Not present",,"Misc","Not present","N/A",,,,,,"","","","","","","","","","","","","",,,,,,
"81503811-1197-4edf-8797-c8907f08d8d7","STI-Etiological diagnosis",,"Misc","Etiological diagnosis","Coded",,,,,,"","Cervisitis","Vaginitis","Herpes genitalis","GM strain +ve","Syphilis positive","Not present","","","","","","",,,,,,
"fa716c8b-5d08-4d34-a953-7ac2d91f2d23","VDRL positive",,"Misc","VDRL positive","Boolean",,,,,,"","","","","","","","","","","","","",,,,,,
"d1689f47-1ed3-4661-9eef-244d65d9cd19","STI-TPPA +ve",,"Misc","TPPA +ve","Boolean",,,,,,"","","","","","","","","","","","","",,,,,,
"1a5d57a1-116e-4138-b79f-0dc2f9f6ba44","STI-Gram",,"Misc","GNID +ve","Boolean",,,,,,"","","","","","","","","","","","","",,,,,,
"036c2846-36b7-49ad-b406-14e328b5fc82","Sex worker",,"Misc","Sex worker","N/A",,,,,,"","","","","","","","","","","","","",,,,,,
"0bd2f2b7-852a-4e92-95ab-fbe16ceddfe5","People who inject drugs",,"Misc","People who inject drugs","N/A",,,,,,"","","","","","","","","","","","","",,,,,,
"c4582bfd-5f87-47fd-8ae0-cacad0d48bd8","MSM and transgenders",,"Misc","MSM and transgenders","N/A",,,,,,"","","","","","","","","","","","","",,,,,,
"d0d988a6-0b2f-4629-90aa-23658b8efdf6","Blood or organ recipient",,"Misc","Blood or organ recipient","N/A",,,,,,"","","","","","","","","","","","","",,,,,,
"1c2cdc41-03c9-4bc2-b035-9d7a178362ea","Client of sex worker",,"Misc","Client of sex worker","N/A",,,,,,"","","","","","","","","","","","","",,,,,,
