"uuid","name","description","class","shortname","datatype","units","High Normal","Low Normal","Allow Decimal","locale","synonym.1","answer.1","answer.2","answer.3","answer.4","answer.5","answer.6","answer.7","answer.8","answer.9","reference-term-source","reference-term-code","reference-term-relationship"
"114cf06e-ee83-4489-8d06-e2a043e4a8ed","New diagnosis",,"Misc","New diagnosis","N/A",,,,,,"","","","","","","","","","",,,
"5ad944e2-c871-4894-99f7-ccd45277bf97","Relapse",,"Misc","Relapse","N/A",,,,,,"","","","","","","","","","",,,
"d476a994-362f-4b76-a3ea-6ca9fbf6d33d","Still under treatment",,"Misc","Worsened comorbid illness","N/A",,,,,,"","","","","","","","","","",,,
"edfc31e8-f4cc-4ba3-9fdb-ddff87e23311","Transfer in",,"Misc","Transfer in","N/A",,,,,,"","","","","","","","","","",,,
"84c00d58-f329-4878-83c8-8e844c74dd30","Treatment after loss to follow up",,"Misc","Treatment after loss to follow up","N/A",,,,,,"","","","","","","","","","",,,
"0d5dffd9-7dc2-4c9e-b99d-52f2dda49670","Treatment after failure category I",,"Misc","Treatment after failure cat I","N/A",,,,,,"","","","","","","","","","",,,
"dd72febf-d5c1-4b88-8787-5fc3c14e8958","Treatment after failure category II",,"Misc","Treatment after failure cat II","N/A",,,,,,"","","","","","","","","","",,,
"0c020f14-07fc-48a4-97f3-cff60c03108c","Others",,"Misc","Others","N/A",,,,,,"","","","","","","","","","",,,
"4e1837d6-fe96-405f-a0cf-5a66ddd17ae4","DRTB intake-Diagnosis category","Enter this for all new cases","Misc","Category of diagnosis","Coded",,,,,,"","New diagnosis","Relapse","Still under treatment","Transfer in","Treatment after loss to follow up","Treatment after failure category I","Treatment after failure category II","Others","",,,
"69b113e5-0f0c-42e0-a02e-329882c9f14a","Presumptive RRTB or MDRTB",,"Misc","Presumptive RRTB or MDRTB","N/A",,,,,,"","","","","","","","","","",,,
"1cbe6f11-8e49-4fc6-a578-1b00f204b1a4","Confirmed RRTB or MDRTB",,"Misc","Confirmed RRTB or MDRTB","N/A",,,,,,"","","","","","","","","","",,,
