"uuid","name","description","class","shortname","datatype","units","High Normal","Low Normal","Allow Decimal","locale","synonym.1","synonym.2","answer.1","answer.2","answer.3","answer.4","answer.5","answer.6","answer.7","reference-term-source","reference-term-code","reference-term-relationship"
"e1d10fd7-fcc6-4b13-b2b9-fd389e622d0c","2 months",,"Misc","2 months","N/A",,,,,,"","","","","","","","","",,,
"27a8e774-f28c-4e0e-82dd-41819547b32d","5th month",,"Misc","5th month","N/A",,,,,,"","","","","","","","","",,,
"d9c9a5cc-38b1-4d1c-a793-870c53952643","6th month",,"Misc","6th month","N/A",,,,,,"","","","","","","","","",,,
"bb89077a-0770-49ac-8545-736fd7f61f58","DRTB FU-Follow up month",,"Misc","Follow up month","Coded",,,,,,"","","2 months","5th month","6th month","","","","",,,
"4f8b1c76-4b65-4863-a8da-436f7a9bb21f","Sputum smear",,"Misc","Sputum smear","N/A",,,,,,"","","","","","","","","",,,
"ff854c0e-b4ae-404f-81ef-3e995af0fda0","Sputum culture",,"Misc","Sputum culture","N/A",,,,,,"","","","","","","","","",,,
"5c57dba8-15bb-4b00-a2dd-469b2aa68523","Negative",,"Misc","Negative","N/A",,,,,,"","","","","","","","","",,,
"d76f36c5-c989-417f-a9ba-0ca6721d770a","Positive",,"Misc","Positive","N/A",,,,,,"","","","","","","","","",,,
"5ad33ae3-6312-479b-b23d-cd26ac93935e","HIVTC-Gene xpert tb assessment at enrollment",,"Misc","Gene xpert","Coded",,,,,,"","","Negative","Positive","","","","","",,,
"96edd7ff-9a44-4b18-9f3b-7ce476e2ea3a","DRTB FU-Test order",,"Misc","Test order","Coded",,,,,,"","","Sputum smear","Sputum culture","HIVTC-Gene xpert tb assessment at enrollment","","","","",,,
"d76f36c5-c989-417f-a9ba-0ca6721d770a","Positive",,"Misc","Positive","N/A",,,,,,"","","","","","","","","",,,
"5c57dba8-15bb-4b00-a2dd-469b2aa68523","Negative",,"Misc","Negative","N/A",,,,,,"","","","","","","","","",,,
"38d06edc-3d93-4025-83ad-9d1b43d24f73","Not applicable",,"Misc","Not applicable","N/A",,,,,,"NA","","","","","","","","",,,
"2b598d03-720e-4688-ba59-ad88cfedccb8","DRTB FU-Test result",,"Misc","Test result","Coded",,,,,,"","","Positive","Negative","Not applicable","","","","",,,
"26369366-c444-4c4e-994a-f6b3eba9ae6c","DRTB FU-Monthly baseline test performed ?","Baseline test: LFT, RFT, CBC, Urine RE/ME","Misc","Monthly baseline test performed ?","Boolean",,,,,,"","","","","","","","","",,,
"2007bd52-e06b-4602-89d3-d2c3cf090b3e","Isoniazid",,"Drug","Isoniazid","N/A",,,,,,"","","","","","","","","",,,
"3c225973-2430-439b-bf66-9c2212245de8","Rifampicin",,"Misc","Rifampicin","N/A",,,,,,"","","","","","","","","",,,
"04949c20-eed7-4f85-a689-733a92ecc5c8","Kanamycin",,"Drug",,"N/A",,,,,,"","","","","","","","","",,,
"2987079c-514a-40bf-85f7-0be590023aac","Levofloxacin",,"Drug",,"N/A",,,,,,"","","","","","","","","",,,
