"uuid","name","description","class","shortname","datatype","units","High Normal","Low Normal","Allow Decimal","locale","synonym.1","synonym.2","answer.1","answer.2","answer.3","answer.4","answer.5","answer.6","answer.7","answer.8","reference-term-source","reference-term-code","reference-term-relationship"
"714d5275-9f3e-41dc-82d1-e95fcd335173","New",,"Misc","New","N/A",,,,,,"","","","","","","","","","",,,
"df29e3df-9d29-41eb-929f-2b42b10869f2","Follow up",,"Misc","Follow up","N/A",,,,,,"","","","","","","","","","",,,
"e92b6cf4-3d1c-4319-8625-af09a0604bd3","Childhood Illness-<2 months",,"Misc","CBIMNCI <2-Case","Coded",,,,,,"","","New","Follow up","","","","","","",,,
"126ced65-6e96-4f97-9369-19a49e83325c","Referred in",,"Misc","Referred in","Boolean",,,,,,"","","","","","","","","","",,,
"49978fdc-a60f-47e8-8695-e4d1eb19a593","OPD-Chief complaint",,"Misc","Chief complaint","Text",,,,,,"","","","","","","","","","",,,
"88aeccd9-7816-442b-83dd-c778a0f4b367","OPD-HPI notes","<li>Location</li>

	<li>Severity</li>

	<li>Quality</li>

	<li>Timing : Constant / Intermittent, how long did it last</li>

	<li>Duration : When did it Start</li>

	<li>Modifying Factors : Anything make it better or worse</li>

	<li>Context : What were you doing when it started</li>

	<li>Associated Signs or Symptoms</li>","Misc","History of present illness","Text",,,,,,"","","","","","","","","","",,,
"5292d989-f892-4c67-82ec-ac060f5c2292","Respiratory rate","(Match RR with age group and if increased prompt ARI section)				 (<50 for 2-12 months, <40 for 1-5 years)","Misc","Respiratory rate","Numeric",,,,,,"","","","","","","","","","",,,
"b7f923d8-3faf-4f13-8fd2-9a7237af7440","Respiratory rate abnormal",,"Abnormal","Respiratory rate abnormal","Boolean",,,,,,"","","","","","","","","","",,,
"292fc850-bc1f-441e-8c7c-a641ce8bf361","Childhood Illness-Temperature",,"Misc","Temperature","Numeric",,,,,,"","","","","","","","","","",,,
"6a133023-41ec-4886-880a-e651aadd29b9","Fever",,"Misc","Fever","N/A",,,,,,"","","","","","","","","","",,,
"0a3bf47c-ef6b-4c0c-959b-f688c6a4529d","Severe hypothermia",,"Misc","Severe hypothermia","N/A",,,,,,"","","","","","","","","","",,,
"c4e757f6-81e3-4876-9827-78dd3b9e189c","Hypothermia",,"Misc","Hypothermia","N/A",,,,,,"","","","","","","","","","",,,
"ab542035-05a7-4eda-9b83-419a4fcf9b23","Normal",,"Misc",,"N/A",,,,,,"","","","","","","","","","",,,
"e8dca248-eccf-48ae-9ad5-49062424f884","CBIMNCI <2-Status","Hypothermia (<35.5 oC = severe hypothermia, 35.5 – 36.5 oC hypothermia, 37.5 oC = fever)","Misc","Status","Coded",,,,,,"","","Fever","Severe hypothermia","Hypothermia","Normal","","","","",,,
"2bb02569-af33-420d-90cb-28878f9ab4f8","Convulsion",,"Misc","Convulsion","N/A",,,,,,"","","","","","","","","","",,,
"b683e127-1e8c-4f75-bad9-3a9631a8dd50","Severe chest indrawing",,"Misc","Severe chest indrawing","N/A",,,,,,"","","","","","","","","","",,,
"5aa9ec45-bdef-41fa-b79a-2bb774cb4bc0","Grunting",,"Misc","Grunting","N/A",,,,,,"","","","","","","","","","",,,
"499f0052-76ba-45ac-b28d-4bf2fcfa898d","Bulging fontanelle",,"Misc","Bulging fontanelle","N/A",,,,,,"","","","","","","","","","",,,
"8301c2fc-23bb-4dbf-af5a-7f2eeaf3e018","Lethargic/ unconscious",,"Misc","Lethargic/ unconscious","N/A",,,,,,"","","","","","","","","","",,,
"7a056f96-7437-4c2e-9582-ddc9bfb34955","Unable to feed",,"Misc","Unable to feed","N/A",,,,,,"","","","","","","","","","",,,
"6b8812ce-c687-4627-b315-613ccbd16585","Not present",,"Misc","Not present","N/A",,,,,,"","","","","","","","","","",,,
"1913a84f-c029-478e-a040-b8d37c003514","PSBI/LBI/NBI-Symptoms",,"Misc","Symptoms","Coded",,,,,,"","","Convulsion","Severe chest indrawing","Grunting","Bulging fontanelle","Lethargic/ unconscious","Unable to feed","Not present","",,,
"4a70fd5e-07a6-41c3-8551-cdc802995342","PSBI/LBI/NBI-PSBI","Convulsion, fast breathing 60 or more/Min, severe chest in-drawing, nasal flaring, grunting, unable to suck/swallow breast milk, budging fontanelle, umbilical infection Extending to the surrounding skin, fever >37.5 oC or severe hypothermia <35.5 oC, Pustular lesion (10 or more in number or single large skin pustule), lethargic or unconscious or less than normal body movements","Misc","PSBI","Boolean",,,,,,"","","","","","","","","","",,,
"f7433f9e-d08f-4196-a9fb-01c2ee72dc18","Umbilicus red",,"Misc","Umbilicus red","N/A",,,,,,"","","","","","","","","","",,,
"adb818ab-b492-4f97-8be6-eb6ebc744ae9","Umbilicus with pus",,"Misc","Umbilicus with pus","N/A",,,,,,"","","","","","","","","","",,,
"6b8812ce-c687-4627-b315-613ccbd16585","Not present",,"Misc","Not present","N/A",,,,,,"","","","","","","","","","",,,
"f44bea13-85a3-4022-a2a2-2ad542bce94e","PSBI/LBI/NBI-Umbilicus infection",,"Misc","Umbilicus infection","Coded",,,,,,"","","Umbilicus red","Umbilicus with pus","Not present","","","","","",,,
"4fcd88d8-65c5-408b-b8d9-a567102163a8","PSBI/LBI/NBI-LBI","Red umbilicus, or pus discharge from umbilicus; less than 10 pustular skin lesions, eye discharge","Misc","LBI","Boolean",,,,,,"","","","","","","","","","",,,
"9f823b12-d1ef-4136-b3ca-d34a62293767","PSBI/LBI/NBI-NBI","No signs and symptoms of infection present","Misc","NBI","Boolean",,,,,,"","","","","","","","","","",,,
"56d5a3a3-d254-43e1-b04d-5b0391bacbee","Jaundice present",,"Misc","Jaundice present","N/A",,,,,,"","","","","","","","","","",,,
