"uuid","name","description","class","shortname","datatype","units","High Normal","Low Normal","Allow Decimal","locale","synonym.1","synonym.2","answer.1","answer.2","answer.3","answer.4","answer.5","answer.6","answer.7","answer.8","answer.9","answer.10","answer.11","answer.12","answer.13","reference-term-source","reference-term-code","reference-term-relationship"
"fa7baa3b-fd8e-46ee-8155-e260fd73c7f0","Self",,"Misc","Self","N/A",,,,,,"","","","","","","","","","","","","","","",,,
"7e779a55-342b-443b-93b9-a6ed22ea7098","HIVTC FU-Other/relatives",,"Misc","Other/Relatives","N/A",,,,,,"","","","","","","","","","","","","","","",,,
"4dd44ccb-d162-446a-a036-a11cc0d9be76","HIVTC FU-Visit",,"Misc","Visit","Coded",,,,,,"","","Self","HIVTC FU-Other/relatives","","","","","","","","","","","",,,
"0aaacebd-880e-405f-9df1-ad99d6c9c551","HIVTC-Chief complaint",,"Misc","Chief complaint","Text",,,,,,"","","","","","","","","","","","","","","",,,
"3c822592-c51d-475f-908a-994178cf7d28","HIVTC-Physical examination details","<li>General 
</li>
	<li>HEENT
</li>
	<li>CV
</li>
	<li>Lungs
</li>
	<li>Abdomen
</li>
	<li>MSK
</li>
	<li>Skin
</li>
	<li>Neuro 
</li>
	<li>Psych</li>","Misc","Physical examination details","Text",,,,,,"","","","","","","","","","","","","","","",,,
"09e90938-5def-42b6-999c-95cba549992f","HIVTC-History of present illness","<li>Location</li>

	<li>Severity</li>

	<li>Quality</li>

	<li>Timing : Constant / Intermittent, how long did it last</li>

	<li>Duration : When did it Start</li>

	<li>Modifying Factors : Anything make it better or worse</li>

	<li>Context : What were you doing when it started</li>

	<li>Associated Signs or Symptoms</li>","Misc","History of present illness","Text",,,,,,"","","","","","","","","","","","","","","",,,
"3ce38c42-3c43-415d-a11a-290a56e80a98","Zero",,"Misc","Zero","N/A",,,,,,"","","","","","","","","","","","","","","",,,
"8b3cc3d0-0fda-4b11-8b20-de787f70702e","Mostly",,"Misc","Mostly","N/A",,,,,,"","","","","","","","","","","","","","","",,,
"715b2100-d592-468f-ae42-8b4f87a0b580","Two",,"Misc","Two","N/A",,,,,,"","","","","","","","","","","","","","","",,,
"7e16afa4-7c40-4a05-bf04-f0681845397e","Greater than or 3",,"Misc","Greater than or 3","N/A",,,,,,"","","","","","","","","","","","","","","",,,
"dff619d9-fd98-4c5c-94a7-547140a9b920","HIVTC FU-Hospitalizations due to hiv in last 3 months",,"Misc","Hospitalizations due to hiv in last 3 months","Coded",,,,,,"","","Zero","Mostly","Two","Greater than or 3","","","","","","","","","",,,
"abff2eae-6359-410b-a958-27f3766d49ee","HIVTC FU-CD4 count performed in last 6 months",,"Misc","CD4 count performed in last 6 months and greater than 350","Boolean",,,,,,"","","","","","","","","","","","","","","",,,
"023a7977-b977-4a1d-8e98-2fd7d4422099","Unmarried",,"Misc","Unmarried","N/A",,,,,,"","","","","","","","","","","","","","","",,,
"3f311f71-81ad-418f-9efc-63d6f621cfd9","Married",,"Misc","Married","N/A",,,,,,"","","","","","","","","","","","","","","",,,
"08af1905-22c3-4ec3-bfff-832408947d19","Divorced",,"Misc","Divorced","N/A",,,,,,"","","","","","","","","","","","","","","",,,
"b6ab3028-466d-4afb-9235-3145a023f513","Widowed",,"Misc","Widowed","N/A",,,,,,"","","","","","","","","","","","","","","",,,
"deadb791-eeb7-454f-a7f4-240bb16599fd","HIVTC-Marital status",,"Misc","Marital status","Coded",,,,,,"","","Unmarried","Married","Divorced","Widowed","","","","","","","","","",,,
"3dfb3c92-76c8-4986-9f89-8b22839fc5d7","HIVTC-CD4 count","Need to repeat once in every six months. If less than six months since last test, enter last known value.","Misc","CD4 count","Numeric",,,,,,"","","","","","","","","","","","","","","",,,
"a24d557f-4add-4206-ae65-c17ccc95bb12","HIVTC FU-CD4 count date",,"Misc","CD4 count date","Date",,,,,,"","","","","","","","","","","","","","","",,,
"9d15f85b-2421-426b-8e86-6696e80b2bb0","HIVTC-Viral load","Record viral load 6months after the treatment started and then repeat once in every 12 months.","Misc","Viral load","Text",,,,,,"","","","","","","","","","","","","","","",,,
"260909d7-3689-4db8-9188-ab0bc501278c","HIVTC-Viral load date",,"Misc","Viral load date","Date",,,,,,"","","","","","","","","","","","","","","",,,
"348b03f0-736b-4cd3-bfac-c11dbf323f59","HIVTC FU-IPT follow",,"Misc","IPT follow","Boolean",,,,,,"","","","","","","","","","","","","","","",,,
"33d2c03e-a1dd-42a3-8dc2-ad0234def6dd","HIVTC FU-Transferred out to","Need to record here transfer out site name.","Misc","Transferred out to","Text",,,,,,"","","","","","","","","","","","","","","",,,
"56f5e87f-4847-4fcb-82db-180ff05c5b47","AZT/3TC/NVP",,"Misc","AZT/3TC/NVP","N/A",,,,,,"","","","","","","","","","","","","","","",,,
"d186f233-e8ce-4b74-ac68-1c3502ff2cea","AZT/3TC/NVP-Paediatric",,"Misc","Paediatric","N/A",,,,,,"","","","","","","","","","","","","","","",,,
"f09060d2-2f09-4566-b434-d1573873f169","AZT/3TC/EFV",,"Misc","AZT/3TC/EFV","N/A",,,,,,"","","","","","","","","","","","","","","",,,
"00067c9c-22b1-4c89-a61e-8e1b2134fda4","AZT/3TC/EFV-Paediatric",,"Misc","Paediatric","N/A",,,,,,"","","","","","","","","","","","","","","",,,
"7fe7d27c-c640-4c43-9cfb-0d4b821cb6ad","TDF/3TC/NVP",,"Misc","TDF/3TC/NVP","N/A",,,,,,"","","","","","","","","","","","","","","",,,
"d98a7d1b-abac-4c95-9267-97697971104e","TDF/3TC/NVP-Paediatric",,"Misc","Paediatric","N/A",,,,,,"","","","","","","","","","","","","","","",,,
"c3facd70-5f8f-46c9-9dd0-f0f1f90a885f","TDF/3TC/EFV",,"Misc","TDF/3TC/EFV","N/A",,,,,,"","","","","","","","","","","","","","","",,,
"fade8e5d-07cf-4fde-8bc5-86fe2f53d9c6","TDF/3TC/EFV-Paediatric",,"Misc","Paediatric","N/A",,,,,,"","","","","","","","","","","","","","","",,,
"e43d78ed-ec27-45d9-8bad-414333cf8794","TDF/3TC/LPV/r",,"Misc","TDF/3TC/LPV/r","N/A",,,,,,"","","","","","","","","","","","","","","",,,
