"uuid","name","description","class","shortname","datatype","units","High Normal","Low Normal","Allow Decimal","locale","synonym.1","answer.1","answer.2","answer.3","answer.4","answer.5","answer.6","answer.7","answer.8","answer.9","answer.10","answer.11","answer.12","reference-term-source","reference-term-code","reference-term-relationship"
"036c2846-36b7-49ad-b406-14e328b5fc82","Sex worker",,"Misc","Sex worker","N/A",,,,,,"","","","","","","","","","","","","",,,
"0bd2f2b7-852a-4e92-95ab-fbe16ceddfe5","People who inject drugs",,"Misc","People who inject drugs","N/A",,,,,,"","","","","","","","","","","","","",,,
"c4582bfd-5f87-47fd-8ae0-cacad0d48bd8","MSM and transgenders",,"Misc","MSM and transgenders","N/A",,,,,,"","","","","","","","","","","","","",,,
"d0d988a6-0b2f-4629-90aa-23658b8efdf6","Blood or organ recipient",,"Misc","Blood or organ recipient","N/A",,,,,,"","","","","","","","","","","","","",,,
"1c2cdc41-03c9-4bc2-b035-9d7a178362ea","Client of sex worker",,"Misc","Client of sex worker","N/A",,,,,,"","","","","","","","","","","","","",,,
"a7f23fb6-aeae-4d97-92db-444389f1ecd4","Migrant",,"Misc","Migrant","N/A",,,,,,"","","","","","","","","","","","","",,,
"6b8d5e85-5c5b-4e8b-95b9-097b06627cfa","Spouse of migrant",,"Misc","Spouse of migrant","N/A",,,,,,"","","","","","","","","","","","","",,,
"0c020f14-07fc-48a4-97f3-cff60c03108c","Others",,"Misc","Others","N/A",,,,,,"","","","","","","","","","","","","",,,
"5d57e009-404d-4679-8344-cac83a6c2ba1","PMTCT-Risk group",,"Misc","Risk group","Coded",,,,,,"","Sex worker","People who inject drugs","MSM and transgenders","Blood or organ recipient","Client of sex worker","Migrant","Spouse of migrant","Others","","","","",,,
"ee9283a1-0a37-40e2-8d0c-1cdb9387bc93","PMTCT-Other risk group",,"Misc","Other risk group","Text",,,,,,"","","","","","","","","","","","","",,,
"bcc961ad-e3a8-49ea-9ca8-cf7dee435020","Before pregnancy",,"Misc","Before pregnancy","N/A",,,,,,"","","","","","","","","","","","","",,,
"b7363d0e-8498-4863-ace2-800e8cf909fc","Antenatal period",,"Misc","Antenatal period","N/A",,,,,,"","","","","","","","","","","","","",,,
"712e8f38-0b2f-422f-980d-7c782ac11499","Intrapartum",,"Misc","Intrapartum","N/A",,,,,,"","","","","","","","","","","","","",,,
"dc734746-5e2e-4869-bab9-d00daa2f28e4","Postpartum",,"Misc","Postpartum","N/A",,,,,,"","","","","","","","","","","","","",,,
"b91821b8-7d72-4404-b277-6a300e44e154","PMTCT-Women identified hiv positive during",,"Misc","Women identified hiv positive during","Coded",,,,,,"","Before pregnancy","Antenatal period","Intrapartum","Postpartum","","","","","","","","",,,
"baf8f551-3d05-4576-8163-4f1532656f4b","PMTCT-Diagnosed hiv +ve date",,"Misc","Diagnosed hiv +ve date","Date",,,,,,"","","","","","","","","","","","","",,,
"5c57dba8-15bb-4b00-a2dd-469b2aa68523","Negative",,"Misc","Negative","N/A",,,,,,"","","","","","","","","","","","","",,,
"d76f36c5-c989-417f-a9ba-0ca6721d770a","Positive",,"Misc","Positive","N/A",,,,,,"","","","","","","","","","","","","",,,
"14e8f3ef-a2d1-4c76-991a-b73673aa92c0","PMTCT-Who already know their hiv status",,"Misc","Who already know their hiv status","Coded",,,,,,"","Negative","Positive","","","","","","","","","","",,,
"f5d790b1-1140-499d-9407-c3bbe396c864","PMTCT-Referred if the status is unknown",,"Misc","Referred if the status is unknown","Boolean",,,,,,"","","","","","","","","","","","","",,,
"52c1a6b3-479a-4524-882f-a518bb844a3d","Stage i",,"Misc","Stage i","N/A",,,,,,"","","","","","","","","","","","","",,,
"d558383f-959d-4519-b628-b8e3e51fc764","Stage ii",,"Misc","Stage ii","N/A",,,,,,"","","","","","","","","","","","","",,,
"c7f60075-f1d6-47fe-9b2f-3e0c67217789","Stage iii",,"Misc","Stage iii","N/A",,,,,,"","","","","","","","","","","","","",,,
"501fe15e-7f7d-4adf-85ae-f797c16e48e3","Stage iv",,"Misc","Stage iv","N/A",,,,,,"","","","","","","","","","","","","",,,
"005baaef-260d-42eb-9e91-91aecca402b0","PMTCT-WHO clinical staging",,"Misc","WHO clinical staging","Coded",,,,,,"","Stage i","Stage ii","Stage iii","Stage iv","","","","","","","","",,,
"ca638f1d-744a-4b60-82a1-512d998b8cf5","PMTCT-CD4 count",,"Misc","CD4 count","Numeric",,,,,,"","","","","","","","","","","","","",,,
"57d006bf-0205-4260-9722-98ad70b8db95","PMTCT-ART planned start date",,"Misc","ART planned start date","Date",,,,,,"","","","","","","","","","","","","",,,
"bcc961ad-e3a8-49ea-9ca8-cf7dee435020","Before pregnancy",,"Misc","Before pregnancy","N/A",,,,,,"","","","","","","","","","","","","",,,
"b7363d0e-8498-4863-ace2-800e8cf909fc","Antenatal period",,"Misc","Antenatal period","N/A",,,,,,"","","","","","","","","","","","","",,,
"712e8f38-0b2f-422f-980d-7c782ac11499","Intrapartum",,"Misc","Intrapartum","N/A",,,,,,"","","","","","","","","","","","","",,,
"77d1451c-9b5f-4be9-bf92-5416e202d961","Postnatal",,"Misc","Postnatal","N/A",,,,,,"","","","","","","","","","","","","",,,
