uuid,name,description,class,shortname,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,reference-term-source,reference-term-code,reference-term-relationship
,New,,Misc,New,N/A,,,,,,,,,,,,,
,Re-visit,,Misc,Re-visit,N/A,,,,,,,,,,,,,
,Nutrition-More than 1 visit in a month,,Misc,More than one visit in a month,N/A,,,,,,,,,,,,,
,Nutrition-Visit type,,Misc,Visit type,Coded,,,,,,,New,Re-visit,Nutrition-More than 1 visit in a month,,,,
,Nutrition-Birth weight,,Misc,Birth weight,Numeric,,,,,,,,,,,,,
,Normal,,Misc,,N/A,,,,,,,,,,,,,
,Risky,,Misc,Risky,N/A,,,,,,,,,,,,,
,Very risky,,Misc,Very risky,N/A,,,,,,,,,,,,,
,Nutrition-Birth condition,,Misc,Birth condition,Coded,,,,,,,Normal,Risky,Very risky,,,,
,Nutrition-Weight as on date,,Misc,Weight as on date,Numeric,,,,,,,,,,,,,
,Nutrition-Only breast feeding for 6 months,,Misc,Only breast feeding for 6 months,Boolean,,,,,,,,,,,,,
,Nutrition-Only breast fed till date,,Misc,Only breast fed till date,Date,,,,,,,,,,,,,
,Nutrition-Breast feeding and light food,,Misc,Brest feeding and light food after 6 months,Boolean,,,,,,,,,,,,,
,Nutrition-Breast feeding and light food start date,,Misc,Start date of breast feeding along with light food,Date,,,,,,,,,,,,,
,Nutrition-Bal vita given,,Misc,Bal vita provided,Numeric,,,,,,,,,,,,,
,Nutrition-Bal vita provided by fchv,,Misc,Bal vita provided by FCHV,Boolean,,,,,,,,,,,,,
,Normal,,Misc,,N/A,,,,,,,,,,,,,
,Moderate,,Misc,Moderate,N/A,,,,,,,,,,,,,
,Severe,,Misc,Severe,N/A,,,,,,,,,,,,,
,Nutrition-Nutritional status,,Misc,Nutritional status,Coded,,,,,,,Normal,Moderate,Severe,,,,
,Nutrition-Remarks,,Misc,Remarks,Text,,,,,,,,,,,,,
,Malnutrition-FollowUp,,Misc,Follow up,Date,,,,,,,,,,,,,
