uuid,name,description,class,shortname,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,reference-term-source,reference-term-code,reference-term-relationship
,Number-1,,Misc,1,N/A,,,,,,,,,,,,,,,
,Number-2,,Misc,2,N/A,,,,,,,,,,,,,,,
,Number-3,,Misc,3,N/A,,,,,,,,,,,,,,,
,Number-4,,Misc,4,N/A,,,,,,,,,,,,,,,
,Number-5,,Misc,5,N/A,,,,,,,,,,,,,,,
,Vaccine-Rabies,"Give at 0, 3, 7, 14, 28 days after bite.  Watching animal if domesticated.  If no disease in animal after 10 days, the 14 and 28 day doses are optional.",Misc,Rabies vaccine,Coded,,,,,,,Number-1,Number-2,Number-3,Number-4,Number-5,,,,
,Number-1,,Misc,1,N/A,,,,,,,,,,,,,,,
,Number-2,,Misc,2,N/A,,,,,,,,,,,,,,,
,Vaccine-Tetanus toxoid(TD),"Give for all wounds if <3 doses vaccine previously given.  Give for clean/minor wounds if >3 doses. and last dose > 10 years ago.  Give for dirty/major wounds if >3 doses received and last dose >10 years ago.  Give TD to all pregnant women (2 doses, 4 weeks apart)",Misc,Td vaccine,Coded,,,,,,,Number-1,Number-2,,,,,,,
,Number-1,,Misc,1,N/A,,,,,,,,,,,,,,,
,Number-2,,Misc,2,N/A,,,,,,,,,,,,,,,
,Number-3,,Misc,3,N/A,,,,,,,,,,,,,,,
,Vaccine-DPT,"Give at 6, 10 and 14 weeks of age",Misc,DPT-HepB-Hib,Coded,,,,,,,Number-1,Number-2,Number-3,,,,,,
,Number-1,,Misc,1,N/A,,,,,,,,,,,,,,,
,Vaccine-BCG ,Give at birth or on first contact,Misc,BCG vaccine,Coded,,,,,,,Number-1,,,,,,,,
,Number-1,,Misc,1,N/A,,,,,,,,,,,,,,,
,Number-2,,Misc,2,N/A,,,,,,,,,,,,,,,
,Number-3,,Misc,3,N/A,,,,,,,,,,,,,,,
,Vaccine-OPV,"Give at 6, 10 and 14 weeks of age",Misc,OPV,Coded,,,,,,,Number-1,Number-2,Number-3,,,,,,
,Number-1,,Misc,1,N/A,,,,,,,,,,,,,,,
,Number-2,,Misc,2,N/A,,,,,,,,,,,,,,,
,Vaccine-FIPV,Give at 14 weeks,Misc,FIPV vaccine,Coded,,,,,,,Number-1,Number-2,,,,,,,
,Number-1,,Misc,1,N/A,,,,,,,,,,,,,,,
,Number-2,,Misc,2,N/A,,,,,,,,,,,,,,,
,Number-3,,Misc,3,N/A,,,,,,,,,,,,,,,
,Vaccine-PCV,"Give at 6 weeks, 10 weeks and 9 months",Misc,PCV,Coded,,,,,,,Number-1,Number-2,Number-3,,,,,,
,Number-1,,Misc,1,N/A,,,,,,,,,,,,,,,
,Number-2,,Misc,2,N/A,,,,,,,,,,,,,,,
,Vaccine-Rota,,Misc,Rota vaccine,Coded,,,,,,,Number-1,Number-2,,,,,,,
,Number-1,,Misc,1,N/A,,,,,,,,,,,,,,,
,Number-2,,Misc,2,N/A,,,,,,,,,,,,,,,
,Vaccine-Measles/rubella,Give at 9 and 15 months of age,Misc,Measles/rubella,Coded,,,,,,,Number-1,Number-2,,,,,,,
,Number-1,,Misc,1,N/A,,,,,,,,,,,,,,,
,Vaccine-JE,Give at 12-23 months in high risk districts,Misc,JE,Coded,,,,,,,Number-1,,,,,,,,
,Number-1,,Misc,1,N/A,,,,,,,,,,,,,,,
,Number-2,,Misc,2,N/A,,,,,,,,,,,,,,,
,Number-3,,Misc,3,N/A,,,,,,,,,,,,,,,
,Vaccine-Hepatitis B,"Give at 0, 1 and 5 months",Misc,Hepatitis B,Coded,,,,,,,Number-1,Number-2,Number-3,,,,,,
