"uuid","name","description","class","shortname","datatype","units","High Normal","Low Normal","Allow Decimal","locale","synonym.1","synonym.2","answer.1","answer.2","answer.3","answer.4","answer.5","answer.6","answer.7","reference-term-source","reference-term-code","reference-term-relationship"
"2a3aa78f-0f98-43fc-80a3-215e4baf3290","PNC, PNC visit date",,"Misc","PNC visit date","Date",,,,,,"","","","","","","","","",,,
"126ced65-6e96-4f97-9369-19a49e83325c","Referred in",,"Misc","Referred in","Boolean",,,,,,"","","","","","","","","",,,
"d5b3fd8e-0ebc-445f-b712-272459d7c6f8","PNC-First visit",,"Misc","First visit","Date",,,,,,"","","","","","","","","",,,
"34fb935c-892a-442f-8e40-09a330874f17","PNC-Second visit",,"Misc","Second visit","Date",,,,,,"","","","","","","","","",,,
"ddaa74df-77dc-4281-851f-8621b326313a","PNC-Third visit",,"Misc","Third visit","Date",,,,,,"","","","","","","","","",,,
"36d6ac4e-0c44-4a9a-a410-e9fc3a495328","PNC-Other visit",,"Misc","Other visit","Date",,,,,,"","","","","","","","","",,,
"e4e5abb2-a9c3-41dd-9d35-06c94dea7128","PNC-Visit number","Visit within 24 hours is 1st visit, similarly in 3 days is 2nd visit and in 7 days is 3rd visit. Visit other than mentioned days should be kept in ""other visit""","Misc","Visit number","Coded",,,,,,"","","PNC-First visit","PNC-Second visit","PNC-Third visit","PNC-Other visit","","","",,,
"f8195fbc-c2ba-46ee-839b-5c51a5c44968","PNC-Delivered at bh",,"Misc","Delivered at bh","N/A",,,,,,"","","","","","","","","",,,
"b3654c1c-ca87-4000-8b1e-40ebbd3adcd4","PNC-Transfer in",,"Misc","Transfer in","N/A",,,,,,"","","","","","","","","",,,
"88ea20ac-33df-4063-a1c2-ef6549979edf","RHD-Other",,"Misc",,"N/A",,,,,,"","","","","","","","","",,,
"05f623c8-8782-41db-a1c8-5a81541a301e","PNC-Visit type","Women who delivered at BH should have at least one (1st) PNC visit. c/s cases should have 1,2 and 3rd PNC visit. 
Transfer in - Women delivered other than BH and referred to BH for PNC visit. 
Other -  Women who self-visited / not referred.","Misc","Visit type","Coded",,,,,,"","","PNC-Delivered at bh","PNC-Transfer in","RHD-Other","","","","",,,
"04603be6-db41-4d3b-a49e-7bb76df37dee","Pueperal sepsis",,"Diagnosis","Pueperal sepsis","N/A",,,,,,"","","","","","","","","",,,
"ddee1cd7-9f93-481c-aecf-cbc56dd67e04","PNC-Breast complication",,"Misc","Breast complication","N/A",,,,,,"","","","","","","","","",,,
"ffd3fafb-2c38-451c-81ad-d63ed1088090","Retained placenta",,"Diagnosis","Retained placenta","N/A",,,,,,"","","","","","","","","",,,
"77d40b7b-e09e-4ab4-bbbc-ae036509a796","PNC-Post",,"Misc","Post","N/A",,,,,,"","","","","","","","","",,,
"3bf542ed-1d9e-4105-b5a2-d65f450c8227","Other obstructive complications",,"Misc","Other complications","Text",,,,,,"","","","","","","","","",,,
"38d06edc-3d93-4025-83ad-9d1b43d24f73","Not applicable",,"Misc","Not applicable","N/A",,,,,,"NA","","","","","","","","",,,
"63cbeb0b-830d-4696-91bd-6ca8f25b4e0c","PNC-Obstructive complication",,"Misc","Obstructive complication","Coded",,,,,,"","","Pueperal sepsis","PNC-Breast complication","Retained placenta","PNC-Post","Other obstructive complications","Not applicable","",,,
"908e0c1c-0342-475d-8b57-5bb82d3a2925","PNC-Treatment suggestion during postpartum",,"Misc","Treatment suggestion during postpartum","Text",,,,,,"","","","","","","","","",,,
"af38a530-2a88-4a87-af89-0c8f9c576ca8","PNC-Blood transfusion quantity",,"Misc","Blood transfusion quantity","Numeric",,,,,,"","","","","","","","","",,,
"29e350a6-cd2e-4679-8dcc-909c7b0ed9ab","PNC-IFA tablets provided",,"Misc","IFA tablets provided","Numeric",,,,,,"","","","","","","","","",,,
"62aad890-e15c-41b1-8b81-7181055328aa","PNC-Vitamin a capsules provided",,"Misc","Vitamin a capsules provided","Numeric",,,,,,"","","","","","","","","",,,
"a9a76d7b-8e1a-45a7-ae8a-36dfd4717571","PNC-Remarks",,"Misc","Remarks","Text",,,,,,"","","","","","","","","",,,
"20fd1a4e-5fdd-4f38-a935-8b73ff37b7ae","PNC-Lactation amenorrhoea method",,"Misc","Lactation amenorrhoea method","N/A",,,,,,"","","","","","","","","",,,
"8d916273-2dfa-4314-9b88-54c91d7eebbe","PNC-Post",,"Misc","PPIUCD","N/A",,,,,,"","","","","","","","","",,,
"8a9378bb-902c-46f6-8729-c97743ca656b","Tubectomy",,"Misc","Tubectomy","N/A",,,,,,"","","","","","","","","",,,
"0c020f14-07fc-48a4-97f3-cff60c03108c","Others",,"Misc","Others","N/A",,,,,,"","","","","","","","","",,,
"38d06edc-3d93-4025-83ad-9d1b43d24f73","Not applicable",,"Misc","Not applicable","N/A",,,,,,"NA","","","","","","","","",,,
"552689e8-562f-48ce-8881-27b8de671d00","PNC-Post",,"Misc","Post-partum FP chosen","Coded",,,,,,"","","PNC-Lactation amenorrhoea method","PNC-Post","Tubectomy","Others","Not applicable","","",,,
"748e3d22-b247-4159-8ff6-495f041e6186","PNC-HIV counselling",,"Misc","HIV counselling","Boolean",,,,,,"","","","","","","","","",,,
"93c026ea-876e-41e6-8f17-409bfbad109f","PNC-HIV tested","HIV status needs to be known only if the women was not tested previously during delivery or before 3 months.","Misc","HIV tested","Boolean",,,,,,"","","","","","","","","",,,
"5c57dba8-15bb-4b00-a2dd-469b2aa68523","Negative",,"Misc","Negative","N/A",,,,,,"","","","","","","","","",,,
"d76f36c5-c989-417f-a9ba-0ca6721d770a","Positive",,"Misc","Positive","N/A",,,,,,"","","","","","","","","",,,
"50022921-ed5c-4a0c-8b98-0c12b8bf1892","HCT, Result if tested",,"Misc","If tested, Result","Coded",,,,,,"","","Negative","Positive","","","","","",,,
