uuid,name,description,class,shortname,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,synonym.2,synonym.3,synonym.4,synonym.5,synonym.6,synonym.7,synonym.8,synonym.9,synonym.10,synonym.11,synonym.12,synonym.13,synonym.14,synonym.15,synonym.16,synonym.17,synonym.18,synonym.19,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,reference-term-source,reference-term-code,reference-term-relationship,reference-term-source,reference-term-code,reference-term-relationship
,Skilled birth attendant,,Misc,SBA,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Non sba health worker,,Misc,Non sba,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delivery-Delivery service done by,,Misc,Delivery service done by,Coded,,,,,,,,,,,,,,,,,,,,,,,,,Skilled birth attendant,Non sba health worker,,,,,,,,,,,,,,,,,
,Delivery-Main attendant name,,Misc,Main attendant's name,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Referred in,,Misc,Referred in,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delivery-Delivery date and time,,Misc,Delivery date and time,Datetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BP data-Systolic,,Misc,Systolic,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BP Systolic Data-Systolic abnormal,,Abnormal,Systolic abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BP data-Diastolic,,Misc,Diastolic,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BP Diastolic Data-Diastolic abnormal,,Abnormal,Diastolic abnormal,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sitting,,Misc,Sitting,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Supine,,Misc,Supine,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Others,,Misc,Others,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Posture,,Misc,Posture,Coded,,,,,,,,,,,,,,,,,,,,,,,,,Sitting,Supine,Others,,,,,,,,,,,,,,,,
,Delivery-Completed 4 anc visits per protocol,,Misc,Completed 4 anc visits per protocol,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delivery-Patient condition at the time of admission,,Misc,Patient condition at the time of admission,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spontaneous vaginal delivery,,Misc,Spontaneous vaginal delivery,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Forceps assisted,,Misc,Forceps assisted,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vacuum assisted,,Misc,Vacuum assisted,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Caesarean section,,Misc,Caesarean section,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
