uuid,name,shortname,description,class,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,child.11,child.12,child.13,child.14,child.15,child.16,child.17,child.18,child.19,child.20,child.21,child.22,child.23,child.24,child.25,child.26,referenceTermSource,referenceTermCode,referenceTermRelationship
,"Communicable, Immunizable","Communicable, Immunizable",,Misc,Measles,Diptheria,Whooping Cough,Neonatal Tetanus,Tetanus,Tuberculosis,Multi Drug Resistant Tuberculosis,Extremely Drug Resistant Tuberculosis,Acute Flaccid Paralysis,Rubella,Mumps,Chicken Pox,Hepatitis B,,,,,,,,,,,,,,,,
,"Communicable, Vector Borne","Communicable, Vector Borne",,Misc,Acute Encephalitis Like Syndrome,Filariasis,Clinical Malaria,Plasmodium Falciparum,Plasmodium Vivax,Dengue Fever,Kalaazar,,,,,,,,,,,,,,,,,,,,,,
,"Communicable, Water/Food Borne","Communicable, Water/Food Borne",,Misc,Typhoid,Acute Gastro‐Enteritis,Amoebic Dysentery,Bacillary Dysentery,Presumed Non‐Infectious Diarrhoea,Cholera,Intestinal Worms,Jaundice,Hepatitis A,Hepatitis E,Volume Depletion,,,,,,,,,,,,,,,,,,
,Other Communicable Diseases,Other Communicable Diseases,,Misc,Leprosy,Meningitis,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HIV/STI,HIV/STI,,Misc,HIV Infection,Urethral Discharge Syndrome,Scrotal Swelling Syndrome,Vaginal Discharge Syndrome,Lower Abdominal Pain Syndrome,Neonatal Conjuctive Syndrome,Genital Ulcer Disease Syndrome ‐ Female,Genital Ulcer Disease Syndrome ‐ Male,Inguinal Bubo Syndrome ,Syphilis,,,,,,,,,,,,,,,,,,,
,Other Infected Diseases,Other Infected Diseases,,Misc,Lower Respiratory Tract Infection,Upper Respiratory Tract Infection,Pneumonia,Severe Pneumonia,Bronchitis (Acute & Chronic),Urinary Tract Infection,Viral Influenza,Reproductive Tract Infection‐Female,Reproductive Tract Infection-Male,,,,,,,,,,,,,,,,,,,,
,Nutritional and Metabolic Disorder,Nutritional and Metabolic Disorder,,Misc,"Goitre, Cretinism",Diabetes Mellitus,Malnutrition,Avitaminoses & Other Nutrient Deficiency,Obesity,Anaemia / Polyneuropathy,Polyneuritis,,,,,,,,,,,,,,,,,,,,,,
,Skin Diseases,Skin Diseases,,Misc,Acne,Warts,Chloasma,Urticaria,Dermatitis,Alopecia,Vitiligo,Albinism,Herpes Simplex,Herpes Zoster,Erythroderma,Impetigo,Boils,Abscess,Furunculosis,Fungal Infection,Scabies,Leukoderma,Psoriasis,Acute Lymphadenitis,,,,,,,,,
,"Ear, Nose and Throat Infection","Ear, Nose and Throat Infection",,Misc,Acute Suppurative Otitis Media,Chronic Suppurative Otitis Media,Sinusitis,Acute Tonsilitis,Pharyngitis,Foreign Body In Ear,Foreign Body In Nose ,Foreign Body In Throat,Wax,Nasal Polyps,Deviated Nasal Septum,Rhinitis,Otitis Externa,Reflux Laryngitis,,,,,,,,,,,,,,,
,Oral Health Related Problems,Oral Health Related Problems,,Misc,Dental Caries,Toothache,Periodontal Disease,Other Disorder Of Teeth,Aphthous Oral Ulcer,Tooth Impaction,Hypoplasia,Fungal Infection Lichen Planus,Fungal Infection Candidiasis,Oral Space Infection And  Abscess,,,,,,,,,,,,,,,,,,,
