uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,synonym.3,answer.1,reference-term-source,reference-term-code,reference-term-relationship
,Tablet,,Misc,N/A,Tablet,,,,,,,
,Ointment,,Misc,N/A,Ointment,,,,,,,
,Cream,,Misc,N/A,Cream,,,,,,,
,Injection,,Misc,N/A,Injection,,,,,,,
,Suspension,,Misc,N/A,Suspension,,,,,,,
,Capsule,,Misc,N/A,Capsule,,,,,,,
,Inhaler,,Misc,N/A,Inhaler,,,,,,,
,Lotion,,Misc,N/A,Lotion,,,,,,,
,Syrup,,Misc,N/A,Syrup,,,,,,,
,Oral Rinse,,Misc,N/A,Oral Rinse,,,,,,,
,Drops,,Misc,N/A,Drops,,,,,,,
,Solution,,Misc,N/A,Solution,,,,,,,
,Mouth Paint,,Misc,N/A,Mouth Paint,,,,,,,
,Pessary,,Misc,N/A,Pessary,,,,,,,
,Gel,,Misc,N/A,Gel,,,,,,,
,Rotacap,,Misc,N/A,Rotacap,,,,,,,
,Nasal Solution,,Misc,N/A,Nasal Solution,,,,,,,
,Oral Solution,,Misc,N/A,Oral Solution,,,,,,,
,Powder,,Misc,N/A,Powder,,,,,,,
