uuid,name,description,class,datatype,shortname,synonym.1,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6
,Incompatibility,,Misc,N/A,Incompatibility,,,,,,,,,,
,Compatibility,,Misc,N/A,Compatibility,,,,,,,,,,
,Negative,,Misc,N/A,Negative,,,,,,,,,,
,Positive,,Misc,N/A,Positive,,,,,,,,,,
,Non-Reactive,,Misc,N/A,Non-Reactive,,,,,,,,,,
,Reactive,,Misc,N/A,Reactive,,,,,,,,,,
,Present,,Misc,N/A,Present,,,,,,,,,,
,Absent,,Misc,N/A,Absent,,,,,,,,,,
,Normal 4.2-6.25%,,Misc,N/A,Normal 4.2-6.25%,,,,,,,,,,
,Good Control 5.5-6.8%,,Misc,N/A,Good Control 5.5-6.8%,,,,,,,,,,
,Fair Control 6.8-7.6%,,Misc,N/A,Fair Control 6.8-7.6%,,,,,,,,,,
,Poor Control >7.6%,,Misc,N/A,Poor Control >7.6%,,,,,,,,,,
,Yellowish,,Misc,N/A,Yellowish,,,,,,,,,,
,Reddish,,Misc,N/A,Reddish,,,,,,,,,,
,Milky White,,Misc,N/A,Milky White,,,,,,,,,,
,Deep Yellowish,,Misc,N/A,Deep Yellowish,,,,,,,,,,
,Clear,,Misc,N/A,Clear,,,,,,,,,,
,Turbid,,Misc,N/A,Turbid,,,,,,,,,,
,Slightly turbid,,Misc,N/A,Slightly turbid,,,,,,,,,,
,Alkaline,,Misc,N/A,Alkaline,,,,,,,,,,
,Acidic,,Misc,N/A,Acidic,,,,,,,,,,
,Nil,,Misc,N/A,Nil,,,,,,,,,,
,Trace,,Misc,N/A,Trace,,,,,,,,,,
,1+,,Misc,N/A,1+,,,,,,,,,,
,2++,,Misc,N/A,2++,,,,,,,,,,
,3+++,,Misc,N/A,3+++,,,,,,,,,,
,4++++,,Misc,N/A,4++++,,,,,,,,,,
,5+++++,,Misc,N/A,5+++++,,,,,,,,,,
,6++++++,,Misc,N/A,6++++++,,,,,,,,,,
,Yellowish,,Misc,N/A,Yellowish,,,,,,,,,,
,Brownish,,Misc,N/A,Brownish,,,,,,,,,,
,Reddish,,Misc,N/A,Reddish,,,,,,,,,,
,Greenish,,Misc,N/A,Greenish,,,,,,,,,,
,Loose,,Misc,N/A,Loose,,,,,,,,,,
,Solid,,Misc,N/A,Solid,,,,,,,,,,
,Semi-solid,,Misc,N/A,Semi-solid,,,,,,,,,,
,Greyish White,,Misc,N/A,Greyish White,,,,,,,,,,
,Not Greyish White,,Misc,N/A,Not Greyish White,,,,,,,,,,
,Cloudy,,Misc,N/A,Cloudy,,,,,,,,,,
,Colored,,Misc,N/A,Colored,,,,,,,,,,
,Colorless,,Misc,N/A,Colorless,,,,,,,,,,
,Pale,,Misc,N/A,Pale,,,,,,,,,,
,Straw Color,,Misc,N/A,Straw Color,,,,,,,,,,
,Milky White,,Misc,N/A,Milky White,,,,,,,,,,
,Straw Yellow Color,,Misc,N/A,Straw Yellow Color,,,,,,,,,,
,Not Straw Yellow Color,,Misc,N/A,Not Straw Yellow Color,,,,,,,,,,
,Detected,,Misc,N/A,Detected,,,,,,,,,,
,Not Detected,,Misc,N/A,Not Detected,,,,,,,,,,
,Invalid,,Misc,N/A,Invalid,,,,,,,,,,
,Error,,Misc,N/A,Error,,,,,,,,,,
,No results,,Misc,N/A,No results,,,,,,,,,,
,Indeterminate,,Misc,N/A,Indeterminate,,,,,,,,,,
,A positive,,Misc,N/A,A positive,,,,,,,,,,
,A negative,,Misc,N/A,A negative,,,,,,,,,,
,B positive,,Misc,N/A,B positive,,,,,,,,,,
,B negative,,Misc,N/A,B negative,,,,,,,,,,
,AB positive,,Misc,N/A,AB positive,,,,,,,,,,
,AB negative,,Misc,N/A,AB negative,,,,,,,,,,
,O positive,,Misc,N/A,O positive,,,,,,,,,,
,O negative,,Misc,N/A,O negative,,,,,,,,,,
,HIV negative,,Misc,N/A,HIV negative,,,,,,,,,,
,HIV positive,,Misc,N/A,HIV positive,,,,,,,,,,
,HCV negative,,Misc,N/A,HCV negative,,,,,,,,,,
,HCV positive,,Misc,N/A,HCV positive,,,,,,,,,,
,VDRL negative,,Misc,N/A,VDRL negative,,,,,,,,,,
,VDRL positive,,Misc,N/A,VDRL positive,,,,,,,,,,
,Rifampicin resistant,,Misc,N/A,Rifampicin resistant,,,,,,,,,,
,Rifampicin sensitive,,Misc,N/A,Rifampicin sensitive,,,,,,,,,,
