uuid,name,description,class,datatype,shortname,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,answer.14,answer.15,answer.16
,"ANC, Gravida",,Misc,Numeric,Gravida,,,,,,,,,,,,,,,,,,,
,"ANC, Parity",,Misc,Numeric,Parity,,,,,,,,,,,,,,,,,,,
,"ANC, Last Menstrual Period",,Misc,Date,Last menstrual period,,,,,,,,,,,,,,,,,,,
,"ANC, Expected Delivery Date",,Computed,Date,Expected delivery date,,,,,,,,,,,,,,,,,,,
,"ANC, First TD Date",,Misc,Date,1st TD Date,,,,,,,,,,,,,,,,,,,
,"ANC, Second TD Date",,Misc,Date,2nd TD Date,,,,,,,,,,,,,,,,,,,
,"ANC, Third TD Date",,Misc,Date,3rd TD Date,,,,,,,,,,,,,,,,,,,
,"ANC, HIV Counseling",,Misc,Boolean,HIV counseling,,,,,,,,,,,,,,,,,,,
,"ANC, HIV Testing",,Misc,Boolean,HIV test,,,,,,,,,,,,,,,,,,,
,"ANC, HIV Test Date",,Misc,Date,HIV test date,,,,,,,,,,,,,,,,,,,
,"ANC, HIV Result Received",,Misc,Boolean,HIV test result received,,,,,,,,,,,,,,,,,,,
,"ANC, HIV Test Result",,Misc,Coded,HIV Result,,,,Positive,Negative,,,,,,,,,,,,,,
,"ANC, Syphilis Counseling",,Misc,Boolean,Syphilis counseling,,,,,,,,,,,,,,,,,,,
,"ANC, Partner HIV Status",,Misc,Coded,Partner HIV status,,,,Positive,Negative,Unknown,,,,,,,,,,,,,
,"ANC, Partner Referred",,Misc,Boolean,Partner referred,,,,,,,,,,,,,,,,,,,
,"ANC, Syphilis Tested",,Misc,Boolean,Syphilis tested,,,,,,,,,,,,,,,,,,,
,"ANC, Second Result",,Misc,Coded,Syphilis result,,,,Positive,Negative,,,,,,,,,,,,,,
,"ANC, Syphilis Treated",,Misc,Boolean,Syphilis treated,,,,,,,,,,,,,,,,,,,
,"ANC, ART Started",,Misc,Boolean,ART Started,,,,,,,,,,,,,,,,,,,
,"ANC, ART Start Date",,Misc,Date,ART start date,,,,,,,,,,,,,,,,,,,
,"ANC, Blood Transfusion Provided",,Misc,Boolean,Blood transfusion provided,,,,,,,,,,,,,,,,,,,
,"ANC, Blood Transfusion Date",,Misc,Date,Blood transfusion date,,,,,,,,,,,,,,,,,,,
,"ANC, Blood Transfusion Quantity",,Misc,Numeric,Blood transfusion quantity,,,,,,,,,,,,,,,,,,,
