uuid,name,description,class,datatype,shortname,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,answer.14,answer.15,answer.16
,Number of living children,,Misc,Numeric,Number of living children,,,,,,,,,,,,,,,,,,,
,Weeks of current gestation by LMP method,,Misc,Numeric,Weeks of current gestation by LMP method,,,,,,,,,,,,,,,,,,,
,Weeks of current gestation by examination,,Misc,Numeric,Weeks of current gestation by examination,,,,,,,,,,,,,,,,,,,
,Referred from,,Misc,Coded,Referred from,,,,FCHV,Healthcare provider,Other,,,,,,,,,,,,,
,Abortion procedure,,Misc,Coded,Abortion procedure,,,,Manual Vacuum Aspiration,Electric Vacuum Aspiration,Medical Abortion,Medical Induction,Dilation and Evacuation,Other abortion procedures,,,,,,,,,,
,Pain management given,,Misc,Boolean,Pain management given,,,,,,,,,,,,,,,,,,,
,"Surgical Abortion, Immediate complications",,Misc,Coded,Immediate complications,,,,Bleeding requiring >1 pint of IV fluid,Bleeding requiring blood transfusion,Uterine or Intra-abdominal injury,,,,,,,,,,,,,
,"Surgical Abortion, Late complications",,Misc,Coded,Late complications,,,,Incomplete abortion requiring repeat procedure,Requiring laparotomy,Infection requiring hospitalization/IV antibiotics,Failed abortion,Septic Abortion,,,,,,,,,,,
,Medical Abortion complications,,Misc,Coded,Complications,,,,Bleeding requiring >1 pint of IV fluid,Bleeding requiring blood transfusion,Infection requiring hospitalization/IV antibiotics,,,,,,,,,,,,,
,Medical Abortion follow up status,,Misc,Coded,Follow up status,,,,Complete,Not Complete,,,,,,,,,,,,,,
,PAC Cause,,Misc,Coded,Cause,,,,"PAC Cause, Surgical abortion","PAC Cause, Medical abortion","PAC Cause, Spontaneous abortion",,,,,,,,,,,,,
,PAC Diagnosis,,Misc,Coded,Diagnosis,,,,Bleeding requiring >1 pint of IV fluid,Bleeding requiring blood transfusion,Incomplete abortion requiring repeat procedure,Uterine or Intra-abdominal injury,Infection requiring hospitalization/IV antibiotics,,,,,,,,,,,
,Accepted Family Planning methods,,Misc,Coded,Accepted Family Planning methods,,,,Condom,Pills,Depo Provera,Female sterilization,Male sterilization,Implant,Intra Uterine Contraceptive Device,,,,,,,,,
,Outcome of CAC/PAC,,Misc,Coded,Outcome of CAC/PAC,,,,Normal,Leaving Against Medical Advice,Referred out,Death,,,,,,,,,,,,
