uuid,name,shortname,description,class,reference-term-code,reference-term-relationship,reference-term-source,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,child.11,child.12,child.13,child.14,child.15,child.16,child.17,child.18,child.19,child.20
,"ART, Confirmed HIV +ve",,,Misc,,,,"ART, HIV +ve confirmed date","ART, HIV +ve confirmed place",,,,,,,,,,,,,,,,,,
,"ART, TB assessment at the time of Enrollment in HIV Care",TB assessment at the time of Enrollment in HIV Care,,Misc,,,,"ART, Smear TB assessment at enrollment","ART, Chest X-Ray TB assessment at enrollment","ART, Gene Expert TB assessment at enrollment",,,,,,,,,,,,,,,,,
,"ART, History of Other Chronic Illness",History of Other Chronic Illness,,Misc,,,,"ART, Other chronic disease(s)","ART, Other chronic disease drugs",,,,,,,,,,,,,,,,,,
,"ART, Patient transferred in from another HIV Care or ART Clinic",Patient transferred in from another HIV Care or ART Clinic,,Misc,,,,"ART, Transferred in from","ART, Date of transferred in","ART, Regimen when transferred in",,,,,,,,,,,,,,,,,
,"ART, Patient transferred out to another HIV Care or ART Clinic",Patient transferred out to another HIV Care or ART Clinic,,Misc,,,,"ART, Transferred out to","ART, Date of transferred out","ART, Regimen when transferred out",,,,,,,,,,,,,,,,,
,"ART, HIV Care History",HIV Care History,,Misc,,,,"ART, HIV care enrolled date","ART, HIV care WHO Staging","ART, HIV care CD4 count date","ART, HIV care CD4 count","ART, HIV care CPT start date","ART, HIV care IPT start date","ART, ART eligible date","ART, ART start date","ART, Entry Point","ART, Other Entry Point","ART, Patient transferred in from another HIV Care or ART Clinic","ART, Patient transferred out to another HIV Care or ART Clinic",,,,,,,,
,"ART, Family member",Family Member,,Misc,,,,"ART, Name of family member","ART, Relation with patient","ART, Family member age","ART, Family member gender","ART, Family member HIV status","ART, Family member on ART","ART, Family member regd. no.",,,,,,,,,,,,,
,"ART, Family history",Family History,,Misc,,,,"ART, Household income","ART, Family member",,,,,,,,,,,,,,,,,,
,"ART, For Injection Drug Users",For Injection Drug Users (IDUs),,Misc,,,,"ART, Substitution therapy","ART, If substitution therapy","ART, If alcoholism how","ART, ART receeved before","ART, If ART received","ART, Place of ART taken",,,,,,,,,,,,,,
,"ART, Mothers ARV Regimen Details",Mothers ARV Regimen Details,,Misc,,,,"ART, Mothers ARV Regimen","ART, Mothers ARV Regimen Start Date",,,,,,,,,,,,,,,,,,
,"ART, HIV diagnosed within 2m",Within 2months,,Misc,,,,"ART, HIV diagnosed date within 2m","ART, HIV diagnosis result within 2m",,,,,,,,,,,,,,,,,,
,"ART, HIV diagnosed 2-9m",2-9months,,Misc,,,,"ART, HIV diagnosed date 2-9m","ART, HIV diagnosis result 2-9m",,,,,,,,,,,,,,,,,,
