uuid,name,description,class,datatype,shortname,reference-term-code,reference-term-relationship,reference-term-source,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,answer.14,answer.15,answer.16
,"ART, HIV +ve confirmed date",,Misc,Date,Confirmed date,,,,,,,,,,,,,,,,,,,,
,"ART, HIV +ve confirmed place",,Misc,Text,Confirmed place,,,,,,,,,,,,,,,,,,,,
,"ART, Smear TB assessment at enrollment",,Misc,Coded,Smear(sputum),,,,,Negative,Positive,,,,,,,,,,,,,,
,"ART, Chest X-Ray TB assessment at enrollment",,Misc,Coded,Chest X-Ray,,,,,Negative,Positive,,,,,,,,,,,,,,
,"ART, Gene Xpert TB assessment at enrollment",,Misc,Coded,Gene Xpert,,,,,Negative,Positive,,,,,,,,,,,,,,
,"ART, Other chronic diseases",,Misc,Text,Diseases,,,,,,,,,,,,,,,,,,,,
,"ART, Other chronic disease drugs",,Misc,Text,Drugs,,,,,,,,,,,,,,,,,,,,
,"ART, HIV care enrolled date",,Misc,Date,Enrolled Date,,,,,,,,,,,,,,,,,,,,
,"ART, HIV care WHO Staging",,Misc,Coded,WHO Staging,,,,,Stage I,Stage II,Stage III,Stage IV,,,,,,,,,,,,
,"ART, HIV care CPT start date",,Misc,Date,CPT Start date,,,,,,,,,,,,,,,,,,,,
,"ART, HIV care IPT start date",,Misc,Date,IPT Start date,,,,,,,,,,,,,,,,,,,,
,"ART, ART eligible date",,Misc,Date,ART eligible date,,,,,,,,,,,,,,,,,,,,
,"ART, ART start date",,Misc,Date,ART start date,,,,,,,,,,,,,,,,,,,,
,"ART, Entry Point",,Misc,Coded,Entry Point,,,,,HIV Testing and Counseling,Tuberculosis,Outpatient,Inpatient,Paediatric,Prevention of Mother-to-child Transmission,Sextually Transmitted Infection,Private Health Facility,Non-governmental Organization,Self Referred,Outreach/Special Services,Others,,,,
,"ART, Other Entry Point",,Misc,Text,Others (Specify),,,,,,,,,,,,,,,,,,,,
,"ART, Transferred in from",,Misc,Text,From (site),,,,,,,,,,,,,,,,,,,,
,"ART, Date of transferred in",,Misc,Date,Date of Transfer,,,,,,,,,,,,,,,,,,,,
,"ART, Regimen when transferred in",,Misc,Text,Regimen when transferred,,,,,,,,,,,,,,,,,,,,
,"ART, Transferred out to",,Misc,Text,To(site),,,,,,,,,,,,,,,,,,,,
,"ART, Date of transferred out",,Misc,Date,Date of Transfer,,,,,,,,,,,,,,,,,,,,
,"ART, Regimen when transferred out",,Misc,Text,Regimen when transferred,,,,,,,,,,,,,,,,,,,,
,"ART, Risk Group",,Misc,Coded,Risk Group,,,,,Sex Worker,People Who Inject Drugs,MSM and Transgenders,Blood or Organ Recipient,Client of Sex Worker,Migrant,Spouse/Partner of Migrant,Child(Vertical transmission from mother),Others,,,,,,,
,"ART, Other Risk Group",,Misc,Text,Others (Specify),,,,,,,,,,,,,,,,,,,,
,"ART, Household income",in NRS,Misc,Numeric,Estimated monthly household income,,,,,,,,,,,,,,,,,,,,
,"ART, Name of family member",,Misc,Text,Name of family member,,,,,,,,,,,,,,,,,,,,
,"ART, Relation with patient",,Misc,Text,Relation with patient,,,,,,,,,,,,,,,,,,,,
,"ART, Family member age",,Misc,Numeric,Age (yrs),,,,,,,,,,,,,,,,,,,,
,"ART, Family member gender",,Misc,Coded,Gender,,,,,Male,Female,Transgender,,,,,,,,,,,,,
,"ART, Family member HIV status",,Misc,Coded,HIV status,,,,,Negative,Positive,,,,,,,,,,,,,,
,"ART, Family member on ART",,Misc,Boolean,On ART,,,,,,,,,,,,,,,,,,,,
,"ART, Family member regd. no.",,Misc,Text,Regd. No.,,,,,,,,,,,,,,,,,,,,
,"ART, Substitution therapy",,Misc,Boolean,Substitution therapy,,,,,,,,,,,,,,,,,,,,
,"ART, If substitution therapy",,Misc,Coded,If yes,,,,,Literate,Employed,Alcoholism,,,,,,,,,,,,,
,"ART, If alcoholism how",,Misc,Coded,"If alcoholism, how",,,,,Habitual,Social,,,,,,,,,,,,,,
,"ART, ART receeved before",,Misc,Boolean,ART received before,,,,,,,,,,,,,,,,,,,,
,"ART, If ART received",,Misc,Coded,If yes,,,,,Prevention of Mother-to-child Transmission,Earlier ART,,,,,,,,,,,,,,
,"ART, Place of ART taken",,Misc,Coded,Place of ART taken,,,,,Private,Government,,,,,,,,,,,,,,
,"ART, Mothers ARV Regimen",,Misc,Text,Regimen,,,,,,,,,,,,,,,,,,,,
,"ART, Mothers ARV Regimen Start Date",,Misc,Date,Regimen Start Date,,,,,,,,,,,,,,,,,,,,
,"ART, HIV diagnosed date within 2m",,Misc,Date,Diagnosed Date,,,,,,,,,,,,,,,,,,,,
