uuid,name,shortname,description,class,reference-term-source,reference-term-code,reference-term-relationship,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,child.11,child.12,child.13,child.14,child.15,child.16,child.17,child.18,child.19,child.20,child.21,child.22,child.23,child.24,child.25,child.26
,"Breast Cancer, Receptor Status",Receptor Status,,Misc,,,,"Breast Cancer, Estrogen Receptor","Breast Cancer, Progesterone Receptor","Breast Cancer, HER2 IHC","Breast Cancer, HER2 FISH",,,,,,,,,,,,,,,,,,,,,,
,"Breast Cancer, Right Breast",Right Breast,,Misc,,,,"Breast Cancer, Right Breast Mass","Breast Cancer, Right Breast Size","Breast Cancer, Right Breast Mobility",,,,,,,,,,,,,,,,,,,,,,,
,"Breast Cancer, Left Breast",Left Breast,,Misc,,,,"Breast Cancer, Left Breast Mass","Breast Cancer, Left Breast Size","Breast Cancer, Left Breast Mobility",,,,,,,,,,,,,,,,,,,,,,,
,"Breast Cancer, Lymphadenopathy Level(s)",Lymphadenopathy Level(s),,Misc,,,,"Breast Cancer, Lymphadenopathy Level(s), Axillary Level I/II, Ipsalateral","Breast Cancer, Lymphadenopathy Level(s), Axillary Level I/II, Contralateral","Breast Cancer, Lymphadenopathy Level(s), Infraclavicular/Axillary Level III, Ipsalateral","Breast Cancer, Lymphadenopathy Level(s), Infraclavicular/Axillary Level III, Contralateral","Breast Cancer, Lymphadenopathy Level(s), Supraclavicular, Ipsalateral","Breast Cancer, Lymphadenopathy Level(s), Supraclavicular, Contralateral","Breast Cancer, Lymphadenopathy Level(s), Cervical, Ipsalateral","Breast Cancer, Lymphadenopathy Level(s), Cervical, Contralateral","Breast Cancer, Lymphadenopathy Level(s), Internal Mammary, Ipsalateral","Breast Cancer, Lymphadenopathy Level(s), Internal Mammary, Contralateral","Breast Cancer, Lymphadenopathy Level(s), Notes",,,,,,,,,,,,,,,
,"Breast Cancer, TNM Pathologic Staging",TNM Pathologic Staging,,Misc,,,,"Breast Cancer, TNM Pathologic Staging, Tumor Values","Breast Cancer, TNM Pathologic Staging, Lymph Node Values","Breast Cancer, TNM Pathologic Staging, Metastatic Values",,,,,,,,,,,,,,,,,,,,,,,
,"Breast Cancer, Chemotherapy",Chemotherapy,,Misc,,,,"Breast Cancer, Chemotherapy, Regimen Type","Breast Cancer, Chemotherapy, Regimen Type, Other","Breast Cancer, Chemotherapy, Regimen Timing","Breast Cancer, Chemotherapy, Number of Cycles","Breast Cancer, Chemotherapy, Planned First Cycle","Breast Cancer, Chemotherapy, Planned Regimen End","Breast Cancer, Chemotherapy, Planned changes to standard regimen",,,,,,,,,,,,,,,,,,,
,"Breast Cancer, Surgery",Surgery,,Misc,,,,"Breast Cancer, Surgery, Planned Date","Breast Cancer, Surgery, Modified Radical Mastectomy","Breast Cancer, Surgery, Other Surgery Type","Breast Cancer, Surgery, Surgical Pathology Report Date","Breast Cancer, Surgery, Pathologic N Stage",,,,,,,,,,,,,,,,,,,,,
,"Breast Cancer, Radiation Therapy",Radiation Therapy,,Misc,,,,"Breast Cancer, Radiation Therapy, Planned Date",,,,,,,,,,,,,,,,,,,,,,,,,
,"Breast Cancer, Pathology",Pathology,,Misc,,,,"Breast Cancer, Pathology Report Date","Breast Cancer, Pathologic Diagnosis","Breast Cancer, Pathologic Diagnosis, Other","Breast Cancer, Receptor Status",,,,,,,,,,,,,,,,,,,,,,
,"Breast Cancer, Imaging Studies",Imaging Studies,,Misc,,,,"Breast Cancer, Chest X-ray","Breast Cancer, Chest X-ray Study Date","Breast Cancer, Abdominal/Pelvic Ultrasound","Breast Cancer, Abdominal/Pelvic Ultrasound Study Date","Breast Cancer, CT scan of Chest/Abdomen/Pelvis","Breast Cancer, CT scan of Chest/Abdomen/Pelvis Study Date","Breast Cancer, Imaging - Other","Breast Cancer, Imaging Assessment & Findings",,,,,,,,,,,,,,,,,,
,"Breast Cancer, Confirmed Diagnosis Details",Confirmed Diagnosis Details,,Misc,,,,"Breast Cancer, Right Breast","Breast Cancer, Left Breast","Breast Cancer, Skin Changes","Breast Cancer, Lymphadenopathy Level(s)",,,,,,,,,,,,,,,,,,,,,,
,"Breast Cancer, Confirmed Disease Stage",Confirmed Disease Stage,,Misc,,,,"Breast Cancer, TNM Pathologic Staging","Breast Cancer, Overall Stage","Breast Cancer, Treatment Group",,,,,,,,,,,,,,,,,,,,,,,
,"Breast Cancer, Treatment Plan",Treatment Plan,,Misc,,,,"Breast Cancer, Treatment Intent","Breast Cancer, Treatment Planned",,,,,,,,,,,,,,,,,,,,,,,,
,Breast Cancer - Intake,Breast Cancer - Intake,,Misc,,,,"Breast Cancer, Pathology","Breast Cancer, Imaging Studies","Breast Cancer, Confirmed Diagnosis Details","Breast Cancer, Confirmed Disease Stage","Breast Cancer, Treatment Plan","Breast Cancer, Chemotherapy","Breast Cancer, Surgery","Breast Cancer, Radiation therapy",,,,,,,,,,,,,,,,,,
