uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,,
,"Breast Cancer, Pathology Report Date",,Misc,Date,Pathology Report Date,,,,,,,,,,,,,
,"Breast Cancer, Pathologic Diagnosis",,Misc,Coded,Pathologic Diagnosis,,,,,,Invasive Ductal Carcinoma,Invasive Lobular Carcinoma,Other Invasive Carcinoma (Specify),,,,,
,"Breast Cancer, Pathologic Diagnosis, Other",,Misc,Text,Other,,,,,,,,,,,,,
,"Breast Cancer, Estrogen Receptor",,Misc,Coded,Estrogen Receptor,,,,,,ER+,ER-,Not determined,,,,,
,"Breast Cancer, Progesterone Receptor",,Misc,Coded,Progesterone Receptor,,,,,,PR+,PR-,Not determined,,,,,
,"Breast Cancer, HER2 IHC",,Misc,Coded,HER2 IHC,,,,,,HER2 IHC+,HER2 IHC-,Not determined,,,,,
,"Breast Cancer, HER2 FISH",,Misc,Coded,HER2 FISH,,,,,,HER2 FISH+,HER2 FISH-,Not determined,,,,,
,"Breast Cancer, Chest X-ray",,Misc,Text,Chest X-ray,,,,,,,,,,,,,
,"Breast Cancer, Chest X-ray Study Date",,Misc,Date,Study Date,,,,,,,,,,,,,
,"Breast Cancer, Abdominal/Pelvic Ultrasound",,Misc,Text,Abdominal/Pelvic Ultrasound,,,,,,,,,,,,,
,"Breast Cancer, Abdominal/Pelvic Ultrasound Study Date",,Misc,Date,Study Date,,,,,,,,,,,,,
,"Breast Cancer, CT scan of Chest/Abdomen/Pelvis",,Misc,Text,CT scan of Chest/Abdomen/Pelvis,,,,,,,,,,,,,
,"Breast Cancer, CT scan of Chest/Abdomen/Pelvis Study Date",,Misc,Date,Study Date,,,,,,,,,,,,,
,"Breast Cancer, Imaging Studies, Other",,Misc,Text,Other Imaging,,,,,,,,,,,,,
,"Breast Cancer, Imaging Assessment & Findings",,Misc,Text,Imaging Assessment & Findings,,,,,,,,,,,,,
,"Breast Cancer, Right Breast Mass",,Misc,Numeric,Mass,,,,,,,,,,,,,
,"Breast Cancer, Right Breast Size",,Misc,Text,Size,,,,,,,,,,,,,
,"Breast Cancer, Right Breast Mobility",,Misc,Coded,Mobility,,,,,,Fixed,Mobile,,,,,,
,"Breast Cancer, Left Breast Mass",,Misc,Numeric,Mass,,,,,,,,,,,,,
,"Breast Cancer, Left Breast Size",,Misc,Text,Size,,,,,,,,,,,,,
,"Breast Cancer, Left Breast Mobility",,Misc,Coded,Mobility,,,,,,Fixed,Mobile,,,,,,
,"Breast Cancer, Skin Changes",,Misc,Text,Skin changes,,,,,,,,,,,,,
,"Breast Cancer, Lymphadenopathy Level(s), Axillary Level I/II, Ipsalateral",,Misc,Coded,"Axillary Level I/II, Ipsalateral",,,,,,Mobile,Fixed/Matted,,,,,,
,"Breast Cancer, Lymphadenopathy Level(s), Axillary Level I/II, Contralateral",,Misc,Coded,"Axillary Level I/II, Contralateral",,,,,,Mobile,Fixed/Matted,,,,,,
,"Breast Cancer, Lymphadenopathy Level(s), Infraclavicular/Axillary Level III, Ipsalateral",,Misc,Coded,"Infraclavicular/Axillary Level III, Ipsalateral",,,,,,Mobile,Fixed/Matted,,,,,,
,"Breast Cancer, Lymphadenopathy Level(s), Infraclavicular/Axillary Level III, Contralateral",,Misc,Coded,"Infraclavicular/Axillary Level III, Contralateral",,,,,,Mobile,Fixed/Matted,,,,,,
,"Breast Cancer, Lymphadenopathy Level(s), Supraclavicular, Ipsalateral",,Misc,Coded,"Supraclavicular, Ipsalateral",,,,,,Mobile,Fixed/Matted,,,,,,
,"Breast Cancer, Lymphadenopathy Level(s), Supraclavicular, Contralateral",,Misc,Coded,"Supraclavicular, Contralateral",,,,,,Mobile,Fixed/Matted,,,,,,
,"Breast Cancer, Lymphadenopathy Level(s), Cervical, Ipsalateral",,Misc,Coded,"Cervical, Ipsalateral",,,,,,Mobile,Fixed/Matted,,,,,,
,"Breast Cancer, Lymphadenopathy Level(s), Cervical, Contralateral",,Misc,Coded,"Cervical, Contralateral",,,,,,Mobile,Fixed/Matted,,,,,,
,"Breast Cancer, Lymphadenopathy Level(s), Internal Mammary, Ipsalateral",,Misc,Coded,"Internal Mammary, Ipsalateral",,,,,,Mobile,Fixed/Matted,,,,,,
,"Breast Cancer, Lymphadenopathy Level(s), Internal Mammary, Contralateral",,Misc,Coded,"Internal Mammary, Contralateral",,,,,,Mobile,Fixed/Matted,,,,,,
,"Breast Cancer, Lymphadenopathy Level(s), Notes",,Misc,Text,Notes,,,,,,,,,,,,,
,"Breast Cancer, TNM Pathologic Staging, Tumor Values",,Misc,Coded,Tumor Values,,,,,,T0,T1,T2,T3,T4,TX,Tis,Td4
,"Breast Cancer, TNM Pathologic Staging, Lymph Node Values",,Misc,Coded,Lymph Node Values,,,,,,N0,N1,N2,N3,NX,,,
,"Breast Cancer, TNM Pathologic Staging, Metastatic Values",,Misc,Coded,Metastatic Values,,,,,,M0,M1,MX,,,,,
,"Breast Cancer, Overall Stage",,Misc,Coded,Overall Stage,,,,,,Stage 0,Stage I,Stage IIA,Stage IIB,Stage IIIA,Stage IIIB,Stage IIIC,Stage IV
,"Breast Cancer, Treatment Group",,Misc,Coded,Treatment Group,,,,,,Early,Locally Advanced,Metastatic,,,,,
,"Breast Cancer, Treatment Intent",,Misc,Coded,Treatment Intent,,,,,,Curative,Palliative Systemic ,Palliation Only,,,,,
,"Breast Cancer, Treatment Planned",,Misc,Coded,Treatment Planned,,,,,,Chemotherapy,Surgery,Radiation Therapy,,,,,
,"Breast Cancer, Chemotherapy, Regimen Type",,Misc,Coded,Regimen Type,,,,,,Tamoxifen,AC,Paclitaxel,5-FU,Doxorubicin,Cyclophosphamide,Other,
,"Breast Cancer, Chemotherapy, Regimen Type, Other",,Misc,Text,Other,,,,,,,,,,,,,
