uuid,name,shortname,description,class,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,child.11,child.12,child.13,child.14,child.15,child.16,child.17,child.18,child.19,child.20,child.21,child.22,child.23,child.24,child.25,child.26
,PSBI/LBI/NBI,,,Misc,Respiratory Rate,PSBI/LBI/NBI – Symptoms,Umbilicus Infection,PSBI/LBI/NBI – Temperature,Skin Pustules,Movement,PSBI/LBI/NBI – Jaundice,,,,,,,,,,,,,,,,,,,
,CBIMCI – Diarrhoea,Diarhhoea,,Misc,CBIMCI - Diarrhoea present,Diarrhoea – How many days?,Diarrhoea – Symptoms,Skin pinch,,,,,,,,,,,,,,,,,,,,,,
,Other food and drinks,,,Misc,Receive other food and drinks,Other food and drinks frequency,Other food and drinks fed by,,,,,,,,,,,,,,,,,,,,,,,
,Low weight/ Feeding Problem,,,Misc,Difficult feeding,Breastfed,Breastfeeding frequency,Other food and drinks,Weight condition,Thrush in the mouth,,Thrush in the mouth,,,,,,,,,,,,,,,,,,
,Assess breast feeding,,,Misc,Breastfeeding attachment,Breastfeeding suckling,,,,,,,,,,,,,,,,,,,,,,,,
,CBIMCI – 2months – Counseling,Counseling,,Misc,CBIMCI -  Counseling provided,CBIMCI – 2months – Counseling purpose,,,,,,,,,,,,,,,,,,,,,,,,
,CBIMCI – 2months,,,Misc,Weight,Temperature,CBIMCI - Referred by,PSBI/LBI/NBI,CBIMCI – Diarrhoea,Low weight/ Feeding Problem,Assess breast feeding,CBIMCI – Counseling,CBIMCI – Referred to,CBIMCI – Follow up result,CBIMCI – Remarks,,,,,,,,,,,,,,,
,CBI – General Danger Signs,GDS,,Misc,CBIMCI - General Danger Signs present,General Danger Signs – Symptoms,,,,,,,,,,,,,,,,,,,,,,,,
,CBIMCI – ARI,ARI,,Misc,CBIMCI – ARI present,ARI – How many days?,Respiratory Rate,ARI Symptoms,,,,,,,,,,,,,,,,,,,,,,
,CBIMCI – Fever,Fever,,Misc,CBIMCI - Fever present,Fever – How many days,Malaria risk,Microscopic Fever,Rapid Diagnostic Tests,Fever – Symptoms,,,,,,,,,,,,,,,,,,,,
,CBIMCI – Ear infection,Ear infection,,Misc,CBIMCI – Ear Infection present,Ear Infection – How many days?,Ear discharge days,Ear Infection Symptoms,,,,,,,,,,,,,,,,,,,,,,
,CBIMCI – Nutrition status,Nutrition status,,Misc,Weight condition,Pallor,,,,,,,,,,,,,,,,,,,,,,,,
,CBIMCI – 5years – Counseling,Counseling,,Misc,CBIMCI – Counseling provided,CBIMCI – 5years - Counseling purpose,,,,,,,,,,,,,,,,,,,,,,,,
,CBIMCI – 5years,,,Misc,Weight,Temperature,CBI – General Danger Signs,CBIMCI – ARI,CBIMCI – Diarrhoea,CBIMCI – Fever,CBIMCI – Ear infection,CBIMCI – Nutrition status,CBIMCI – 5years – Counseling,CBIMCI – Referred to,CBIMCI – Follow up result,CBIMCI – Remarks,,,,,,,,,,,,,,
