uuid,name,description,class,datatype,shortname,synonym.1,units,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7
,Convulsion,,Misc,N/A,,,,,,,,,,
,Severe chest indrawing,,Misc,N/A,,,,,,,,,,
,Nasal flaring,,Misc,N/A,,,,,,,,,,
,Bulging fontanelle,,Misc,N/A,,,,,,,,,,
,Lethargic/ Unconscious ,,Misc,N/A,,,,,,,,,,
,Unable to feed,,Misc,N/A,,,,,,,,,,
,Umbilicus red,,Misc,N/A,,,,,,,,,,
,Umbilicus infection to skin,,Misc,N/A,,,,,,,,,,
,Blood Umbilicus with pus,,Misc,N/A,,,,,,,,,,
,>99.5,,Misc,N/A,,,,,,,,,,
,<99.5,,Misc,N/A,,,,,,,,,,
,<10,,Misc,N/A,,,,,,,,,,
,Severe and >10,,Misc,N/A,,,,,,,,,,
,Jaundice present,,Misc,N/A,Yes,,,,,,,,,
,Jaundice upto hands and feet,,Misc,N/A,Upto hands and feet,,,,,,,,,
,Skin pinch – Normal,,Misc,N/A,Normal,,,,,,,,,
,Skin pinch – Slowly,,Misc,N/A,Slowly,,,,,,,,,
,Skin pinch – Very Slowly,,Misc,N/A,Very Slowly,,,,,,,,,
,Breastfeeding attachment – Good,,Misc,N/A,Good,,,,,,,,,
,Breastfeeding attachment – Not well,,Misc,N/A,Not well,,,,,,,,,
,Breastfeeding attachment – Not at all,,Misc,N/A,Not at all,,,,,,,,,
,Breastfeeding suckling – Effectively,,Misc,N/A,Effectively,,,,,,,,,
,Breastfeeding suckling – Not Effectively,,Misc,N/A,Not effectively,,,,,,,,,
,Breastfeeding suckling – Not at all,,Misc,N/A,Not at all,,,,,,,,,
,CBIMCI Counseling – Regular follow up,,Misc,N/A,Regular follow up,,,,,,,,,
,CBIMCI Counseling – Immediate visit,,Misc,N/A,Immediate visit,,,,,,,,,
,CBIMCI Counseling – Keep warm,,Misc,N/A,Keep warm,,,,,,,,,
,CBIMCI Counseling – Breast feeding,,Misc,N/A,Breast feeding,,,,,,,,,
,CBIMCI - Referred by,,Misc,Coded,Referred by,,,CHW,HF,None,,,,
,Respiratory Rate,,Misc,Numeric,,,,,,,,,,
,CBIMCI – PSBI/LBI/NBI – Symptoms,,Misc,Coded,Symptoms,,,Convulsion,Severe chest indrawing,Nasal flaring,Bulging fontanelle,Lethargic/ Unconscious ,Unable to feed,
,Umbilicus Infection,,Misc,Coded,,,,Umbilicus red,Umbilicus infection to skin,Blood Umbilicus with pus,,,,
,PSBI/LBI/NBI – Temperature,,Misc,Coded,Temperature,,,<99.5,>99.5,,,,,
,Skin Pustules,,Misc,Coded,,,,<10,Severe and >10,,,,,
,PSBI/LBI/NBI – Movement,,Misc,Coded,,,,Normal,Less than normal,,,,,
,PSBI/LBI/NBI – Jaundice,,Misc,Coded,Jaundice,,,Jaundice present,Jaundice upto hands and feet,,,,,
,CBIMCI - Diarrhoea present,,Misc,Boolean,Diarrhoea,,,,,,,,,
,Diarrhoea – How many days?,,Misc,Numeric,How many days?,,,,,,,,,
,Diarrhoea – Symptoms,,Misc,Coded,Symptoms,,,Blood,Restless/Irritable,Sunken eyes,Lethargic/Unconscious,,,
,Skin pinch,,Misc,Coded,,,,Skin pinch – Normal,Skin pinch – Slowly,Skin pinch – Very Slowly,,,,
,Difficult feeding,,Misc,Boolean,,,,,,,,,,
,Breastfed,,Misc,Boolean,,,,,,,,,,
,Breastfeeding frequency,,Misc,Numeric,How many times in 24 hours?,,,,,,,,,
,Receive other food and drinks,,Misc,Boolean,,,,,,,,,,
,Other food and drinks frequency,,Misc,Numeric,How many times in 24 hours?,,,,,,,,,
,Other food and drinks fed by,,Misc,Coded,,,,Bottle,Spoon,,,,,
,Weight condition,,Misc,Coded,Weight,,,Normal weight,Low weight,Very low weight,,,,
,Thrush in the mouth,,Misc,Boolean,,,,,,,,,,
,Breastfeeding attachment,,Misc,Coded,Attachment,,,Breastfeeding attachment – Good,Breastfeeding attachment – Not well,Breastfeeding attachment – Not at all,,,,
,Breastfeeding suckling,,Misc,Coded,Suckling,,,Breastfeeding suckling – Effective,Breastfeeding suckling – Not Effective,Breastfeeding suckling – Not at all,,,,
,CBIMCI – Counseling provided,,Misc,Boolean,Counseling provided,,,,,,,,,
,CBIMCI – 2months – Counseling purpose,,Misc,Coded,Counseling provided for,,,CBIMCI Counseling – Regular follow up,CBIMCI Counseling – Immediate visit,CBIMCI Counseling – Keep warm,CBIMCI Counseling – Breast feeding,,,
,CBIMCI – Referred to,,Misc,Text,Referred to,,,,,,,,,
,CBIMCI – Follow up result,,Misc,Coded,Follow up result,,,Result on follow up – Worse,Result on follow up – Same,Result on follow up – Improved,,,,
,CBIMCI – Remarks,,Misc,Text,Remarks,,,,,,,,,
,Unable to drink,,Misc,N/A,,,,,,,,,,
,Vomiting all,,Misc,N/A,,,,,,,,,,
,Chest indrawing,,Misc,N/A,,,,,,,,,,
,Strider,,Misc,N/A,,,,,,,,,,
,Stiff neck,,Misc,N/A,,,,,,,,,,
,Falciparum,,Misc,N/A,,,,,,,,,,
,Vivex,,Misc,N/A,,,,,,,,,,
,General rash,,Misc,N/A,,,,,,,,,,
,Red eyes,,Misc,N/A,,,,,,,,,,
,Nosal discharge,,Misc,N/A,,,,,,,,,,
,Mouth ulcer,,Misc,N/A,,,,,,,,,,
,Ear pain,,Misc,N/A,,,,,,,,,,
,Tender swelling behind the ear,,Misc,N/A,,,,,,,,,,
,Pallor – Some,,Misc,N/A,Some,,,,,,,,,
,Pallor – Severe,,Misc,N/A,Severe,,,,,,,,,
,CBIMCI Counseling – Food,,Misc,N/A,Food,,,,,,,,,
,CBIMCI Counseling – Fluids,,Misc,N/A,Fluids,,,,,,,,,
,CBIMCI - General Danger Signs present,,Misc,Boolean,GDS,,,,,,,,,
,General Danger Signs – Symptoms,,Misc,Coded,Symptoms,,,Convulsion,Unable to drink,Vomiting all,Lethargic/Unconscious,,,
,CBIMCI – ARI present,,Misc,Boolean,ARI,,,,,,,,,
,ARI – How many days?,,Misc,Numeric,How many days?,,,,,,,,,
,ARI Symptoms,,Misc,Coded,,,,Chest indrawing,Strider,,,,,
,CBIMCI - Fever present,,Misc,Boolean,Fever,,,,,,,,,
,Fever – How many days,,Misc,Numeric,How many days?,,,,,,,,,
,Malaria risk,,Misc,Coded,,,,Low,Medium,High,,,,
,Microscopic Fever,,Misc,Coded,Microscopic,,,Positive,Negative,,,,,
,Rapid Diagnostic Tests,,Misc,Coded,RDT,,,Positive,Negative,,,,,
,Fever – Symptoms,,Misc,Coded,Symptoms,,,Stiff neck,Falciparum,Vivex,General rash,Red eyes,Nosal discharge,Mouth ulcer
,CBIMCI – Ear Infection present,,Misc,Boolean,Ear infection,,,,,,,,,
,Ear Infection – How many days?,,Misc,Numeric,How many days?,,,,,,,,,
,Ear discharge days,,Misc,Numeric,,,,,,,,,,
,Ear Infection Symptoms,,Misc,Coded,,,,Ear pain,Tender swelling behind the ear,,,,,
,Pallor,,Misc,Coded,,,,Some,Severe,,,,,
