uuid,name,class,datatype,shortname,description,reference-term-code,reference-term-relationship,reference-term-source,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5
,"COPD, Last Visit Date",Misc,Date,Last Visit Date,,,,,,,,,,
,"COPD, Previous followup location",Misc,Text,Previous followup location,,,,,,,,,,
,"COPD, Diagnosis Status",Misc,Coded,Diagnosis Status,,,,,,No Previous Diagnosis,Confirmed Elsewhere,,,
,"COPD, Date Confirmed",Misc,Date,Date Confirmed,,,,,,,,,,
,"COPD, Diagnosis Location",Misc,Text,Diagnosis Location,,,,,,,,,,
,"COPD, Smoking history",Misc,Boolean,Smoking history,,,,,,,,,,
,"COPD, Packs per Day",Misc,Numeric,Packs per Day,,,,,,,,,,
,"COPD, Numbers of years",Misc,Numeric,Numbers of years since smoking,,,,,,,,,,
,"COPD, Non Smoker",Misc,Boolean,Non smoker (presumed indoor smoke inhalation),,,,,,,,,,
,"COPD, Diagnostic clues",Misc,Coded,Diagnostic clues,Dyspnea<br>Sputum<br>Chronic cough >3 months in 2 successive years <br>Wheezing<br>Chest tightness,,,,,Dyspnea,Sputum,Chronic cough > 3 months,Wheezing,Chest tightness
,"COPD, Note for all other Diagnostic clues",Misc,Text,All other diagnostic clues,,,,,,,,,,
,"COPD, Chest X-ray",Misc,Text,Chest X-ray,"<b>CXR features</b><br>- Increased radiolucency of the lung, a flat diaphragm<br>- Bullae, defined as radiolucent areas larger than one centimeter<br>- advanced disease → cardiac shadow enlarged due to pulmonary hypertension and cor pulmonale",,,,,,,,,
,"COPD, Peak expiratory flow",Misc,Text,Peak expiratory flow,,,,,,,,,,
,"COPD, FEV1 / FVC",Misc,Text,FEV1 / FVC,,,,,,,,,,
,"COPD, CT Scan",Misc,Text,CT Scan,,,,,,,,,,
,"COPD, Family history of COPD",Misc,Boolean,Family history of COPD,,,,,,,,,,
,"COPD, Current Home Medications",Misc,Coded,Current Home Medications,,,,,,Beta Blocker,Ipratropium,Oral Steroid,Antibiotics,
,"COPD, All other medicines",Misc,Text,All other current medicines,,,,,,,,,,
