name,description,class,datatype,shortname,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6
Nephroblastoma – Disease work-up -  Imaging – Chest X-ray,,Misc,Boolean,Chest X-ray,,,,,,,,,,,
Nephroblastoma – Disease work-up - Imaging – Abdominal Ultrasound,,Misc,Boolean,Abdominal Ultrasound,,,,,,,,,,,
Nephroblastoma – Disease work-up – Imaging – CT Scan of Abdomen / Pelvis,,Misc,Boolean,CT Scan of Abdomen / Pelvis,,,,,,,,,,,
Nephroblastoma – Disease work-up – Imaging – CT Scan of Chest,,Misc,Boolean,CT Scan of Chest,,,,,,,,,,,
Nephroblastoma – Disease work-up – Imaging – Other,,Misc,Boolean,Other,,,,,,,,,,,
Nephroblastoma – Disease work-up – Imaging – None,,Misc,Date,Study date,,,,,,,,,,,
Nephroblastoma – Disease work-up – Imaging – Chest X-ray – Study date,,Misc,Date,Study date,,,,,,,,,,,
Nephroblastoma – Disease work-up – Imaging – Abdominal Ultrasound -– Study date,,Misc,Date,Study date,,,,,,,,,,,
Nephroblastoma – Disease work-up – Imaging – CT Scan of Abdomen / Pelvis – Study date,,Misc,Date,Study date,,,,,,,,,,,
Nephroblastoma – Disease work-up – Imaging – CT Scan of Chest – Study date,,Misc,Date,Study date,,,,,,,,,,,
Nephroblastoma – Disease work-up – Imaging – Other – Study date,,Misc,Date,Study date,,,,,,,,,,,
Nephroblastoma – Disease work-up – Imaging – Chest X-ray – Site Butaro,,Misc,Boolean,Butaro,,,,,,,,,,,
Nephroblastoma – Disease work-up – Imaging – Abdominal Ultrasound – Butaro,,Misc,Boolean,Butaro,,,,,,,,,,,
Nephroblastoma – Disease work-up – Imaging – CT Scan of Abdomen / Pelvis – Butaro,,Misc,Boolean,Butaro,,,,,,,,,,,
Nephroblastoma – Disease work-up – Imaging – CT Scan of Chest – Butaro,,Misc,Boolean,Butaro,,,,,,,,,,,
Nephroblastoma – Disease work-up - Imaging – Other – Butaro,,Misc,Boolean,Butaro,,,,,,,,,,,
Nephroblastoma – Disease work-up – Imaging – Chest X-ray – Other,,Misc,Text,Other,,,,,,,,,,,
Nephroblastoma – Disease work-up – Imaging – Abdominal Ultrasound – Other,,Misc,Text,Other,,,,,,,,,,,
Nephroblastoma – Disease work-up – Imaging – CT Scan of Abdomen / Pelvis – Other,,Misc,Text,Other,,,,,,,,,,,
Nephroblastoma – Disease work-up – Imaging – CT Scan of Chest – Other,,Misc,Text,Other,,,,,,,,,,,
Nephroblastoma – Disease work-up – Imaging – Other – Other,,Misc,Text,Other,,,,,,,,,,,
Nephroblastoma – Disease work-up – Imaging Assessment – Non-metastatic,,Misc,Boolean,Non-metastatic,,,,,,,,,,,
Nephroblastoma – Disease work-up – Imaging Assessment – Metastatic,,Misc,Boolean,Metastatic,,,,,,,,,,,
Nephroblastoma – Disease work-up – Imaging Assessment – Bilateral,,Misc,Boolean,Bilateral,,,,,,,,,,,
Nephroblastoma – Disease work-up – Imaging Assessment – Unknown,,Misc,Boolean,Unknown,,,,,,,,,,,
Nephroblastoma – Disease work-up – Imaging Assessment,,Misc,Coded,Imaging Assessment,,,,,,Nephroblastoma – Disease work-up – Imaging Assessment – Non-metastatic,Nephroblastoma – Disease work-up – Imaging Assessment – Metastatic,Nephroblastoma – Disease work-up – Imaging Assessment – Bilateral,Nephroblastoma – Disease work-up – Imaging Assessment – Unknown,,
Nephroblastoma – Disease work-up – Imaging Assessment – Left Kidney mass,,Misc,Text,Left Kidney mass,,,,,,,,,,,
Nephroblastoma – Disease work-up – Imaging Assessment – Left Kidney – Size,,Misc,Text,Size,,,,,,,,,,,
Nephroblastoma – Disease work-up – Imaging Assessment – Right Kidney mass,,Misc,Text,Right Kidney mass,,,,,,,,,,,
Nephroblastoma – Disease work-up – Imaging Assessment – Right Kidney – Size,,Misc,Text,Size,,,,,,,,,,,
Nephroblastoma – Disease work-up – Notes – Biopsy – FNA,,Misc,N/A,FNA,,,,,,,,,,,
Nephroblastoma – Disease work-up – Notes – Biopsy – Open Biopsy,,Misc,N/A,Open Biopsy,,,,,,,,,,,
Nephroblastoma – Disease work-up – Notes – Biopsy,,Misc,Coded,Biopsy,,,,,,Nephroblastoma – Disease work-up – Notes – Biopsy – FNA,Nephroblastoma – Disease work-up – Notes – Biopsy – Open Biopsy,,,,
Nephroblastoma – Disease work-up – Notes – Pathologic Diagnosis – Nephroblastoma,,Misc,Boolean,Nephroblastoma (Wilm's Tumor),,,,,,,,,,,
Nephroblastoma – Disease work-up – Notes – Pathologic Diagnosis – Other,,Misc,N/A,Other,,,,,,,,,,,
Nephroblastoma – Disease work-up – Notes – Pathologic Diagnosis – Other – Details,,Misc,Text,Other Details,,,,,,,,,,,
Nephroblastoma – Disease work-up – All current medications,,Misc,Text,All current medications,,,,,,,,,,,
Nephroblastoma – Disease work-up - All known Allergies,,Misc,Text,All known Allergies,,,,,,,,,,,
Nephroblastoma – Disease work-up – HIV Status,,Diagnosis,Boolean,HIV Status,,,,,,,,,,,
Nephroblastoma – Disease work-up – Pre operative – Treatment Intent– Curative,,Misc,N/A,Curative,,,,,,,,,,,
Nephroblastoma – Disease work-up – Pre operative – Treatment Intent – Palliative systemic,,Misc,N/A,Palliative systemic,,,,,,,,,,,
Nephroblastoma – Disease work-up - Pre operative – Treatment Intent – Palliation Only,,Misc,N/A,Palliation only,,,,,,,,,,,
Nephroblastoma – Disease work-up - Pre operative – Treatment Intent,,Misc,Coded,Treatment Intent,,,,,,Nephroblastoma – Disease work-up – Pre operative – Treatment Intent– Curative,Nephroblastoma – Disease work-up – Pre operative – Treatment Intent – Palliative systemic,Nephroblastoma – Disease work-up - Pre operative – Treatment Intent – Palliation Only,,,
Nephroblastoma – Disease work-up – Pret operative chemotherapy – Planned,,Misc,N/A,Planned,,,,,,,,,,,
Nephroblastoma – Disease work-up – Pre operative chemotherapy – Not Planned,,Misc,N/A,Not Planned,,,,,,,,,,,
Nephroblastoma – Disease work-up – Pre operative chemotherapy,,Misc,Coded,Pre operative chemotherapy,,,,,,Nephroblastoma – Disease work-up - Post operative chemotherapy – Planned,Nephroblastoma – Disease work-up - Post operative chemotherapy – Not Planned,,,,
Nephroblastoma – Disease work-up – Pre operative chemotherapy – Regimen – Vincristine / Actinomycin D,,Misc,N/A,Vincristine / Actinomycin D,,,,,,,,,,,
Nephroblastoma – Disease work-up – Pre operative chemotherapy – Regimen – Vincristine / Actinomycin D / Doxorubicin,,Misc,N/A,Vincristine / Actinomycin D / Doxorubicin,,,,,,,,,,,
