name	shortname	description	class	reference-term-source	reference-term-code	reference-term-relationship	child.1	child.2	child.3	child.4	child.5	child.6	child.7	child.8	child.9	child.10	child.11	child.12	child.13	child.14	child.15	child.16	child.17	child.18	child.19	child.20	child.21	child.22	child.23	child.24	child.25	child.26
Nephroblastoma, Imaging Studies	Imaging studies						Nephroblastoma, Chest X-ray	Nephroblastoma, Chest X-ray study date	Nephroblastoma, Abdominal Ultrasound	Nephroblastoma, Abdominal Ultrasound study date	Nephroblastoma, CT scan of Abdomen / Pelvis	Nephroblastoma, CT scan of Abdomen / Pelvis study date	Nephroblastoma, CT scan of Chest	Nephroblastoma, CT scan of Chest study date																		
Nephroblastoma, Imaging assessment set	Imaging Assessment						Nephroblastoma, Imaging assessment	Nephroblastoma, Left kidney mass	Nephroblastoma, Left kidney size	Nephroblastoma, Right kidney mass	Nephroblastoma, Right kidney size	Nephroblastoma, Notes	Nephroblastoma, Biopsy for inconclusive imaging	Nephroblastoma, Pathological diagnosis, Nephroblastoma	Nephroblastoma, Pathological diagnosis, Other																	
Nephroblastoma, Pre-Operative Treatment plan	Pre-operative Treatment Plan						Nephroblastoma, Pre-operative treatment intent	Nephroblastoma, Pre-operative Chemotherapy, Planned	Nephroblastoma, Pre-operative Chemotherapy, Regimen	Nephroblastoma, Pre-operative Chemotherapy, Planned first cycle	Nephroblastoma, Pre-operative Chemotherapy, Planned regimen end	Nephroblastoma, Pre-operative Chemotherapy, Standard regimen change																				
Nephroblastoma, Surgery type	Surgery type						Nephroblastoma, Surgery Planned, Left side	Nephroblastoma, Surgery Planned, Left side other	Nephroblastoma, Surgery Planned, Right side	Nephroblastoma, Surgery Planned, Right side other																						
Nephroblastoma, Surgical procedure	Surgical Procedure						Nephroblastoma, Surgical procedure, Left side	Nephroblastoma, Surgical procedure, Left side other	Nephroblastoma, Surgical procedure, Right side	Nephroblastoma, Surgical procedure, Right side other	Nephroblastoma, Surgical procedure, Other notes																					
Nephroblastoma, Surgery	Surgery						Nephroblastoma, Surgery Planned	Nephroblastoma, Surgery Planned date	Nephroblastoma, Surgery type	Nephroblastoma, Notes from operative report	Nephroblastoma, Date of surgery	Nephroblastoma, Surgical procedure	Nephroblastoma, Surgical pathology, report date	Nephroblastoma, Surgical, Pathological diagnosis, Nephroblastoma	Nephroblastoma, Surgical, Pathological diagnosis, Other																	
Nephroblastoma, Bilateral staging	Bilateral Staging						Nephroblastoma, Bilateral staging, Right	Nephroblastoma, Bilateral staging, Left																								
Nephroblastoma, Confirmed Disease stage	Confirmed Disease stage						Nephroblastoma, Overall stage	Nephroblastoma, Bilateral staging																								
Nephroblastoma, Post-Operative Treatment plan	Post-operative Treatment Plan						Nephroblastoma, Post-operative treatment intent	Nephroblastoma, Post-operative Chemotherapy, Planned	Nephroblastoma, Post-operative Chemotherapy, Regimen	Nephroblastoma, Post-operative Chemotherapy, Planned first cycle	Nephroblastoma, Post-operative Chemotherapy, Planned regimen end	Nephroblastoma, Post-operative Chemotherapy, Standard regimen change																				
Nephroblastoma, Radiation therapy	Radiation therapy						Nephroblastoma, Radiation therapy planned	Nephroblastoma, Radiation therapy planned date																								
Nephroblastoma	Nephroblastoma						Nephroblastoma, Imaging Studies	Nephroblastoma, Imaging assessment set	Nephroblastoma, Pre-Operative Treatment plan	Nephroblastoma, Surgery type	Nephroblastoma, Surgical procedure	Nephroblastoma, Surgery	Nephroblastoma, Bilateral staging	Nephroblastoma, Confirmed Disease stage	Nephroblastoma, Post-Operative Treatment plan	Nephroblastoma, Radiation therapy	Nephroblastoma, Oncologist	Nephroblastoma, Surgeon	Nephroblastoma, Treatment plan confirmed by													
