uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6
,Squamous cell carcinoma,,Misc,N/A,Squamous cell carcinoma,,,,,,,,,,,
,Adenocarcinoma,,Misc,N/A,Adenocarcinoma,,,,,,,,,,,
,"Confirmed disease stage, I, IA",,Misc,N/A,IA,,,,,,,,,,,
,"Confirmed disease stage, II, IIA",,Misc,N/A,IIA,,,,,,,,,,,
,"Confirmed disease stage, III, IIIA",,Misc,N/A,IIIA,,,,,,,,,,,
,"Confirmed disease stage, IV, IVA",,Misc,N/A,IVA,,,,,,,,,,,
,"Confirmed disease stage, I, IB",,Misc,N/A,IB,,,,,,,,,,,
,"Confirmed disease stage, II, IIB",,Misc,N/A,IIB,,,,,,,,,,,
,"Confirmed disease stage, III, IIIB",,Misc,N/A,IIIB,,,,,,,,,,,
,"Confirmed disease stage, IV, IVA",,Misc,N/A,IVB,,,,,,,,,,,
,S/P Surgery,,Misc,N/A,S/P Surgery,,,,,,,,,,,
,S/P Chemotherapy,,Misc,N/A,S/P Chemotherapy,,,,,,,,,,,
,S/P Radiotherapy,,Misc,N/A,S/P Radiotherapy,,,,,,,,,,,
,S/P Other,,Misc,N/A,S/P Other,,,,,,,,,,,
,Curative,,Misc,N/A,Curative,,,,,,,,,,,
,Palliative systemic therapy,,Misc,N/A,Palliative systemic therapy,,,,,,,,,,,
,Palliation Only,,Misc,N/A,Palliation Only,,,,,,,,,,,
,Adjuvant,,Misc,N/A,Adjuvant,,,,,,,,,,,
,Neoadjuvant,,Misc,N/A,Neoadjuvant,,,,,,,,,,,
,Concurrent,,Misc,N/A,Concurrent,,,,,,,,,,,
,Carboplatim/pacilitaxel,,Misc,N/A,Carboplatim/pacilitaxel,,,,,,,,,,,
,Cisplatin,,Misc,N/A,Cisplatin,,,,,,,,,,,
