uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8
,"Cervical Cancer, Pathology Report Date",,Misc,Date,Pathology Report Date,,,,,,,,,,,,,
,"Cervical Cancer, Pathologic Diagnosis",,Misc,Coded,Pathologic Diagnosis,,,,,,Squamous Cell Carcinoma,Adenocarcinoma,,,,,,
,"Cervical Cancer, Pathologic Diagnosis, Other",,Misc,Text,Other Details,,,,,,,,,,,,,
,"Cervical Cancer, Chest X-ray",,Misc,Text,Chest X-ray,,,,,,,,,,,,,
,"Cervical Cancer, Chest X-ray Study Date",,Misc,Date,Study Date,,,,,,,,,,,,,
,"Cervical Cancer, Abdominal/Pelvic Ultrasound",,Misc,Text,Abdominal/Pelvic Ultrasound,,,,,,,,,,,,,
,"Cervical Cancer, Abdominal/Pelvic Ultrasound Study Date",,Misc,Date,Study Date,,,,,,,,,,,,,
,"Cervical Cancer, CT Scan of Chest/Abdomen/Pelvis",,Misc,Text,CT scan of Chest/Abdomen/Pelvis,,,,,,,,,,,,,
,"Cervical Cancer, CT Scan of Chest/Abdomen/Pelvis Study Date",,Misc,Date,Study Date,,,,,,,,,,,,,
,"Cervical Cancer, Imaging Studies, Other",,Misc,Text,Other Imaging,,,,,,,,,,,,,
,"Cervical Cancer, Imaging Assessment & Findings",,Misc,Text,Imaging Assessment & Findings,,,,,,,,,,,,,
,"Cervical Cancer, Mass, Location",,Misc,Text,Location,,,,,,,,,,,,,
,"Cervical Cancer, Mass, Size",,Misc,Text,Size,,,,,,,,,,,,,
,"Cervical Cancer, Mass, Notes",,Misc,Text,Notes,,,,,,,,,,,,,
,"Cervical Cancer, Confirmed Disease Stage, Overall Stage",,Misc,Coded,Overall Stage,,,,,,Stage IA,Stage IB,Stage IIA,Stage IIB,Stage IIIA,Stage IIIB,Stage IVA,Stage IVB
,"Cervical Cancer, Confirmed Disease Stage, Unable to stage",,Misc,Coded,Reason if unable to stage,,,,,,S/P Surgery,S/P Chemotherapy,S/P Radiotherapy,Other,,,,
,"Cervical Cancer, Confirmed Disease Stage, Other ",,Misc,Text,Other,,,,,,,,,,,,,
,"Cervical Cancer, Current Medications",,Misc,Text,All Current Medications,,,,,,,,,,,,,
,"Cervical Cancer, Known Allergies",,Misc,Text,All Known Allergies,,,,,,,,,,,,,
,"Cervical Cancer, HIV Positive",,Misc,Boolean,HIV Positive,,,,,,,,,,,,,
,"Cervical Cancer, Treatment Intent",,Misc,Coded,Treatment Intent,,,,,,Curative,Palliative Systemic,Palliation Only,,,,,
,"Cervical Cancer, Treatment Planned",,Misc,Coded,Treatment Planned,,,,,,Chemotherapy,Surgery,Radiation Therapy,,,,,
,"Cervical Cancer, Chemotherapy, Regimen Type",,Misc,Coded,Regimen Type,,,,,,Carboplatin/Paclitaxel,Cisplatin,Other,,,,,
,"Cervical Cancer, Chemotherapy, Regimen Type, Other",,Misc,Text,Other,,,,,,,,,,,,,
,"Cervical Cancer, Chemotherapy, Regimen Timing",,Misc,Coded,Regimen Timing,,,,,,Neoadjuvant,Adjuvant,Concurrent,,,,,
,"Cervical Cancer, Chemotherapy, Number of Cycles",,Misc,Numeric,Number of Cycles,,,,,,,,,,,,,
,"Cervical Cancer, Chemotherapy, Planned First Cycle",,Misc,Date,Planned First Cycle,,,,,,,,,,,,,
,"Cervical Cancer, Chemotherapy, Planned Regimen End",,Misc,Date,Planned Regimen End,,,,,,,,,,,,,
,"Cervical Cancer, Chemotherapy, Planned changes to standard regimen",,Misc,Text,Planned changes to standard regimen,,,,,,,,,,,,,
,"Cervical Cancer, Surgery, Planned Date",,Misc,Date,Planned Date,,,,,,,,,,,,,
,"Cervical Cancer, Surgery, Surgery Type",,Misc,Text,Surgery Type,,,,,,,,,,,,,
,"Cervical Cancer, Radiation Therapy, Planned Date",,Misc,Date,Planned Date,,,,,,,,,,,,,
