uuid,name,shortname,description,class,reference-term-source,reference-term-code,reference-term-relationship,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,child.11,child.12,child.13,child.14,child.15,child.16,child.17,child.18,child.19,child.20,child.21,child.22,child.23,child.24,child.25,child.26
,PSBI/LBI/NBI,,,Misc,,,,Respiratory Rate,"PSBI/LBI/NBI, Symptoms",Umbilicus Infection,"PSBI/LBI/NBI, Temperature","PSBI/LBI/NBI, Skin Pustules","PSBI/LBI/NBI, Movement","PSBI/LBI/NBI, Jaundice",,,,,,,,,,,,,,,,,,,
,"Childhood Illness,  Diarrhoea",Diarrhoea,,Misc,,,,"Childhood Illness, Diarrhoea present","Diarrhoea, Days","Diarrhoea, Symptoms","Diarrhoea, Skin pinch",,,,,,,,,,,,,,,,,,,,,,
,"Low weight/ Feeding Problem, Other food and drinks",Other food and drinks,,Misc,,,,Receive other food and drinks,Other food and drinks frequency,Other food and drinks fed by,,,,,,,,,,,,,,,,,,,,,,,
,Low weight/ Feeding Problem,,,Misc,,,,Difficult feeding,Breastfed,Breastfeeding frequency,Other food and drinks,Weight condition,Thrush in the mouth,,,,,,,,,,,,,,,,,,,,
,Assess breast feeding,,,Misc,,,,Breastfeeding attachment,Breastfeeding suckling,,,,,,,,,,,,,,,,,,,,,,,,
,"Childhood Illness,  2months,  Counseling",Counseling,,Misc,,,,"Childhood Illness, Counseling provided","Childhood Illness, 2 months, Counseling purpose",,,,,,,,,,,,,,,,,,,,,,,,
,Childhood Illness( Children aged below 2 months),Childhood Illness( Children aged below 2 months),,Misc,,,,Temperature,"Childhood Illness, Referred by",PSBI/LBI/NBI,"Childhood Illness,  Diarrhoea",Low weight/ Feeding Problem,Assess breast feeding,"Childhood Illness,  2months,  Counseling","Childhood Illness, Referred to","Childhood Illness, Follow up result","Childhood Illness, Remarks",,,,,,,,,,,,,,,,
,"Childhood Illness, General Danger Signs",General Danger Signs,,Misc,,,,"Childhood Illness, General Danger Signs present","Childhood Illness, General Danger Signs, Symptoms",,,,,,,,,,,,,,,,,,,,,,,,
,"Childhood Illness,  Acute Respiratory Infection",Acute Respiratory Infection,,Misc,,,,"Childhood Illness, Acute Respiratory Infection present","Acute Respiratory Illness, Days",Respiratory Rate,"Acute Respiratory Illness, Symptoms",,,,,,,,,,,,,,,,,,,,,,
,"Childhood Illness,  Fever",Fever,,Misc,,,,"Childhood Illness, Fever present","Fever, Days",Malaria risk,Microscopic Fever,Rapid Diagnostic Tests,"Fever, Symptoms",,,,,,,,,,,,,,,,,,,,
,"Childhood Illness,  Ear infection",Ear infection,,Misc,,,,"Childhood Illness, Ear Infection present","Ear infection, Days","Ear discharge, Days","Ear infections, Symptoms",,,,,,,,,,,,,,,,,,,,,,
,"Childhood Illness,  Nutrition status",Nutrition status,,Misc,,,,Weight condition,"Nutrition Status, Pallor",,,,,,,,,,,,,,,,,,,,,,,,
,"Childhood Illness,  5years, Counseling",Counseling,,Misc,,,,"Childhood Illness, Counseling provided","Childhood Illness, 5years, Counseling purpose",,,,,,,,,,,,,,,,,,,,,,,,
,Childhood Illness( Children aged 2 months to 5 years),Childhood Illness( Children aged 2 months to 5 years),,Misc,,,,Temperature,"Childhood Illness, General Danger Signs","Childhood Illness,  Acute Respiratory Infection","Childhood Illness,  Diarrhoea","Childhood Illness,  Fever","Childhood Illness,  Ear infection","Childhood Illness,  Nutrition status","Childhood Illness,  5years, Counseling","Childhood Illness, Referred to","Childhood Illness, Follow up result","Childhood Illness, Remarks",,,,,,,,,,,,,,,
