uuid,name,description,class,datatype,shortname,synonym.1,reference-term-source,reference-term-code,reference-term-relationship,answer.3,answer.4,answer.5,answer.6,answer.7
,"Childhood Illness, Referred by",,Misc,Coded,Referred by,,,,,None,,,,
,Respiratory Rate,,Misc,Numeric,,,,,,,,,,
,"PSBI/LBI/NBI, Symptoms",,Misc,Coded,Symptoms,,,,,Nasal flaring,Bulging fontanelle,Lethargic/ Unconscious ,Unable to feed,
,Umbilicus Infection,,Misc,Coded,,,,,,Blood Umbilicus with pus,,,,
,"PSBI/LBI/NBI, Temperature",,Misc,Coded,Temperature,,,,,,,,,
,"PSBI/LBI/NBI, Skin Pustules",,Misc,Coded,,,,,,,,,,
,"PSBI/LBI/NBI, Movement",,Misc,Coded,,,,,,,,,,
,"PSBI/LBI/NBI, Jaundice",,Misc,Coded,Jaundice,,,,,,,,,
,"Childhood Illness, Diarrhoea present",,Misc,Boolean,Diarrhoea present,,,,,,,,,
,"Diarrhoea, Days",,Misc,Numeric,How many days?,,,,,,,,,
,"Diarrhoea, Symptoms",,Misc,Coded,Symptoms,,,,,Sunken eyes,Lethargic/Unconscious,,,
,"Diarrhoea, Skin pinch",,Misc,Coded,,,,,,Very Slowly,,,,
,Difficult feeding,,Misc,Boolean,,,,,,,,,,
,Breastfed,,Misc,Boolean,,,,,,,,,,
,Breastfeeding frequency,,Misc,Numeric,"Breast feeding, How many times in 24 hours?",,,,,,,,,
,Receive other food and drinks,,Misc,Boolean,,,,,,,,,,
,Other food and drinks frequency,,Misc,Numeric,"Other food and drinks, How many times in 24 hours?",,,,,,,,,
,Other food and drinks fed by,,Misc,Coded,,,,,,,,,,
,Weight condition,,Misc,Coded,Weight,,,,,Very low weight,,,,
,Thrush in the mouth,,Misc,Boolean,,,,,,,,,,
,Breastfeeding attachment,,Misc,Coded,Attachment,,,,,Not at all,,,,
,Breastfeeding suckling,,Misc,Coded,Suckling,,,,,Not at all,,,,
,"Childhood Illness, Counseling provided",,Misc,Boolean,Counseling provided,,,,,,,,,
,"Childhood Illness, 2 months, Counseling purpose",,Misc,Coded,Counseling provided for,,,,,Keep warm,Breast feeding,,,
,"Childhood Illness, Referred to",,Misc,Text,Referred to,,,,,,,,,
,"Childhood Illness, Follow up result",,Misc,Coded,Follow up result,,,,,Improved,,,,
,"Childhood Illness, Remarks",,Misc,Text,Remarks,,,,,,,,,
,"Childhood Illness, General Danger Signs present",,Misc,Boolean,General Danger Signs present,,,,,,,,,
,"Childhood Illness, General Danger Signs",,Misc,Coded,General Danger Signs,,,,,Vomiting all,Lethargic/Unconscious,,,
,"Childhood Illness, Acute Respiratory Infection present",,Misc,Boolean,Acute Respiratory Infection,,,,,,,,,
,"Acute Respiratory Illness, Days",,Misc,Numeric,How many days?,,,,,,,,,
,"Acute Respiratory Illness, Symptoms",,Misc,Coded,,,,,,,,,,
,"Childhood Illness, Fever present",,Misc,Boolean,Fever,,,,,,,,,
,"Fever, Days",,Misc,Numeric,How many days?,,,,,,,,,
,Malaria risk,,Misc,Coded,,,,,,High,,,,
,Microscopic Fever,,Misc,Coded,Microscopic,,,,,,,,,
,Rapid Diagnostic Tests,,Misc,Coded,Rapid Diagnostic Tests,,,,,,,,,
,"Fever, Symptoms",,Misc,Coded,Symptoms,,,,,Vivex,General rash,Red eyes,Nosal discharge,Mouth ulcer
,"Childhood Illness, Ear Infection present",,Misc,Boolean,Ear infection,,,,,,,,,
,"Ear infection, Days",,Misc,Numeric,How many days?,,,,,,,,,
,"Ear discharge, Days",,Misc,Numeric,Ear discharge days,,,,,,,,,
,"Ear infections, Symptoms",,Misc,Coded,,,,,,,,,,
,"Nutrition Status, Pallor",,Misc,Coded,,,,,,,,,,
,"Childhood Illness, 5years, Counseling purpose",,Misc,Coded,,,,,,Food,Fluids,,,
