uuid,name,description,class,shortname,datatype,units,High Normal,Low Normal,synonym.1,synonym.2,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,reference-term-source,reference-term-code,reference-term-relationship,reference-term-source,reference-term-code,reference-term-relationship
,"Chronic OPD Details, Chief Complaint",,Misc,Chief Complaint,Text,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic OPD Details, Location",,Misc,Location,Text,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic OPD Details, Quality",,Misc,Quality,Coded,,,,,,Sharp,Burning,Radiating,Crampy,Tingling,Pressure,,,,,,,,,,,,
,"Chronic OPD Details, Severity",,Misc,Severity,Numeric,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic OPD Details, Duration",When did it Start,Misc,Duration,Text,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic OPD Details, Timing","Constant / Intermittent, how long dies it last",Misc,Timing,Text,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic OPD Details, Context",What were you doing when it started,Misc,Context,Text,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic OPD Details, Modifying Factors",Anything make it better or worse,Misc,Modifying Factors,Text,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic OPD Details, Associated Signs or Symptoms",,Misc,Associated signs or symptoms,Text,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic OPD Details, Constitutional",,Misc,Constitutional,Coded,,,,,,Weight Loss,Night Sweats,Fatigue,Fever,Chills,,,,,,,,,,,,,
,"Chronic OPD Details, Eyes",,Misc,Eyes,Coded,,,,,,Visual Changes,Eye Pain,Floaters,,,,,,,,,,,,,,,
,"Chronic OPD Details, ENT",,Misc,ENT,Coded,,,,,,Congestion,Epistaxis,Tinnitus,Sore Throat,,,,,,,,,,,,,,
,"Chronic OPD Details, CV",,Misc,CV,Coded,,,,,,Chest Pain,Shortness of Breath,Reduced Exercise Tolerance,PND,Orthopnea,Edema,Palpitations,,,,,,,,,,,
,"Chronic OPD Details, Respair",,Misc,Respair,Coded,,,,,,Cough,Sputum,Wheeze,Hemoptysis,SOB,,,,,,,,,,,,,
,"Chronic OPD Details, GI",,Misc,GI,Coded,,,,,,Abdominal Pain,Trouble Swallowing,Indigestion,Bloating,Cramping,N/V/D/C,BRBPR,Melena,Tenesmus,,,,,,,,,
,"Chronic OPD Details, Urinary",,Misc,Urinary,Coded,,,,,,Dysuria,Incontinence,Nocturia,Polyuria,Decreased Stream,,,,,,,,,,,,,
,"Chronic OPD Details, Genital",,Misc,Genital,Coded,,,,,,Vaginal / Penile Discharge,Ulcers,,,,,,,,,,,,,,,,
,"Chronic OPD Details, Date of LMP",,Misc,Date of LMP,Date,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic OPD Details, Frequency",,Misc,Frequency,Boolean,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic OPD Details, Regularity",,Misc,Regularity,Boolean,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic OPD Details, Heavy / Light",,Misc,Heavy / Light,Coded,,,,,,Heavy,Light,,,,,,,,,,,,,,,,
,"Chronic OPD Details, Contraception",,Misc,Contraception,Boolean,,,,,,,,,,,,,,,,,,,,,,,
,"Chronic OPD Details, MSK",,Misc,MSK,Coded,,,,,,Pain,Stiffness,Joint Swelling,ROM,Functional Deficits,,,,,,,,,,,,,
,"Chronic OPD Details, Skin / Breast",,Misc,Skin / Breast,Coded,,,,,,Pruritus,General rash,Wound,Nodules,Tumors,Dryness,Lumps,Nipple Discharge,,,,,,,,,,
,"Chronic OPD Details, Neuro",,Misc,Neuro,Coded,,,,,,Change in Shight,Change in Smell,Change in Hearing,Change in Taste,Seizures,Faints,Parasthesias,Numbness,Weakness,Balance,Change in Speech,,,,,,,
,"Chronic OPD Details, Psych",,Misc,Psych,Coded,,,,,,Depression,Sleep Changes,Anxiety,Performance,Paranoia,Lack of Energy,Mania,,,,,,,,,,,
,"Chronic OPD Details, Endocrine",,Misc,Endocrine,Coded,,,,,,Heat / Cold Intolerence,Polyuria,Polydypsia,Darkening of Skin,,,,,,,,,,,,,,
