uuid,name,shortname,description,class,reference-term-source,reference-term-code,reference-term-relationship,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,child.11,child.12,child.13,child.14,child.15,child.16,child.17,child.18,child.19,child.20,child.21,child.22,child.23,child.24,child.25,child.26
,"Colon_DST, Pathology",Pathology,,N/A,,,,"Colon_DST, Pathology report date","Colon_DST, Pathologic Diagnosis – Invasive Adenocarcinoma","Colon_DST, Pathologic Diagnosis – Other",,,,,,,,,,,,,,,,,,,,,,,
,"Colon_DST, Colonoscopy",Colonoscopy,,N/A,,,,"Colon_DST, Colonoscopy date","Colon_DST, Colonoscopy findings",,,,,,,,,,,,,,,,,,,,,,,,
,"Colon_DST, Imaging",Imaging studies,,N/A,,,,"Colon_DST, Chest X-ray","Colon_DST, Chest X-ray – Study date","Colon_DST, Abdominal Ultrasound","Colon_DST, Abdominal Ultrasound – Study date","Colon_DST, CT scan of Abdomen/Pelvis","Colon_DST, CT scan of Abdomen/Pelvis – Study date","Colon_DST, Barium Enema","Colon_DST, Chest X-ray – Study date","Colon_DST, Imaging – Other","Colon_DST, Imaging Assessment",,,,,,,,,,,,,,,,
,"Colon_DST, Confirmed diagnosis details",Confirmed diagnosis details,,N/A,,,,"Colon_DST, Mass Location","Colon_DST, Mass size","Colon_DST, Mass Location – Other",,,,,,,,,,,,,,,,,,,,,,,
,"Colon_DST, Pre operative staging",Pre operative staging,,N/A,,,,"Colon_DST, Pre operative staging, Resectable Disease","Colon_DST, Pre operative staging, Metastatic Disease","Colon_DST, Pre operative staging, Patient surgical resection",,,,,,,,,,,,,,,,,,,,,,,
,"Colon_DST, Treatment Plan",Treatment Plan,,N/A,,,,"Colon_DST, Treatment intent",,,,,,,,,,,,,,,,,,,,,,,,,
,"Colon_DST, Surgery",Surgery,,N/A,,,,"Colon_DST, Surgery planned","Colon_DST, Surgery planned Date","Colon_DST, Colectomy surgery","Colon_DST, Other surgery",,,,,,,,,,,,,,,,,,,,,,
,"Colon_DST, Post operative staging",Post operative staging,,N/A,,,,"Colon_DST, Post operative staging, Operative notes","Colon_DST, Date of Surgery","Colon_DST, Procedure, Colectomy","Colon_DST, Procedure, Other","Colon_DST, Procedure, Other Notes","Colon_DST, Surgical Pathology report date",,,,,,,,,,,,,,,,,,,,
,"Colon_DST, Confirmed disease stage",Confirmed disease stage,,N/A,,,,"Colon_DST, TNM Pathologic staging, T","Colon_DST, TNM Pathologic staging, N","Colon_DST, TNM Pathologic staging, M","Colon_DST, Overall stage",,,,,,,,,,,,,,,,,,,,,,
,"Colon_DST, Post operative / Palliative chemotherapy",Post operative / Palliative chemotherapy,,N/A,,,,"Colon_DST, Post Operative / Palliative Chemotherapy Planned","Colon_DST, Post Operative / Palliative Chemotherapy, Regimen – 5-FU/Leucovorin","Colon_DST, Post Operative / Palliative Chemotherapy, Cycles","Colon_DST, Post Operative / Palliative Chemotherapy, Planned first cycle","Colon_DST, Post Operative / Palliative Chemotherapy, Planned regimen end","Colon_DST, Post Operative / Palliative Chemotherapy, Planned regimen change",,,,,,,,,,,,,,,,,,,,
,"Colon_DST, Radiation therapy",Radiation therapy,,N/A,,,,"Colon_DST, Radiation therapy Planned","Colon_DST, Radiation therapy Planned date",,,,,,,,,,,,,,,,,,,,,,,,
,Colon_DST,Colon DST,,N/A,,,,"Colon_DST, follow up for","Colon_DST, Pathology","Colon_DST, Colonoscopy","Colon_DST, Imaging","Colon_DST, Confirmed diagnosis details","Colon_DST, Pre operative staging","Colon_DST, Treatment Plan","Colon_DST, Surgery","Colon_DST, Post operative staging","Colon_DST, Confirmed disease stage","Colon_DST, Post operative / Palliative chemotherapy","Colon_DST, Radiation therapy","Colon_DST, Oncologist","Colon_DST, Surgeon","Colon_DST, Plan confirmed by",,,,,,,,,,,
