uuid,name,shortname,description,class,reference-term-source,reference-term-code,reference-term-relationship,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,child.11,child.12,child.13,child.14,child.15,child.16,child.17,child.18,child.19,child.20,child.21,child.22,child.23,child.24,child.25,child.26
,"Colon Cancer, TNM Pathologic Staging",TNM Pathologic Staging,,Misc,,,,"Colon Cancer, TNM Pathologic Staging, Tumor Values","Colon Cancer, TNM Pathologic Staging, Lymph Node Values","Colon Cancer, TNM Pathologic Staging, Metastatic Values",,,,,,,,,,,,,,,,,,,,,,,
,"Colon Cancer, Pathology",Pathology,,Misc,,,,"Colon Cancer, Pathology Report Date","Colon Cancer, Pathologic Diagnosis, Invasive Adenocarcinoma","Colon Cancer, Pathologic Diagnosis, Other",,,,,,,,,,,,,,,,,,,,,,,
,"Colon Cancer, Colonoscopy",Colonoscopy,,Misc,,,,"Colon Cancer, Colonoscopy, Date","Colon Cancer, Colonoscopy, Findings",,,,,,,,,,,,,,,,,,,,,,,,
,"Colon Cancer, Imaging",Imaging Studies,,Misc,,,,"Colon Cancer, Chest X-ray","Colon Cancer, Chest X-ray Study Date","Colon Cancer, Abdominal Ultrasound","Colon Cancer, Abdominal Ultrasound Study Date","Colon Cancer, CT scan of Abdomen/Pelvis","Colon Cancer, CT scan of Abdomen/Pelvis Study Date","Colon Cancer, CT scan of Chest","Colon Cancer, CT scan of Chest Study Date","Colon Cancer, Barium Enema","Colon Cancer, Barium Enema Study Date","Colon Cancer, Imaging Studies, Other","Colon Cancer, Imaging Assessment & Findings",,,,,,,,,,,,,,
,"Colon Cancer, Confirmed Diagnosis Details",Confirmed Diagnosis Details,,Misc,,,,"Colon Cancer, Mass, Location","Colon Cancer, Mass, Size","Colon Cancer, Mass, Other","Colon Cancer, Pre-Operative Clinical Staging",,,,,,,,,,,,,,,,,,,,,,
,"Colon Cancer, Treatment Plan",Treatment Plan,,Misc,,,,"Colon Cancer, Treatment Intent","Colon Cancer, Treatment Planned",,,,,,,,,,,,,,,,,,,,,,,,
,"Colon Cancer, Surgery",Surgery,,Misc,,,,"Colon Cancer, Surgery, Date","Colon Cancer, Surgery, Colectomy","Colon Cancer, Surgery, Other",,,,,,,,,,,,,,,,,,,,,,,
,"Colon Cancer, Post-Operative Staging",Post-Operative Staging,,Misc,,,,"Colon Cancer, Surgical Pathology Report Date",,,,,,,,,,,,,,,,,,,,,,,,,
,"Colon Cancer, Confirmed Disease Stage",Confirmed Disease Stage,,Misc,,,,"Colon Cancer, TNM Pathologic Staging","Colon Cancer, Overall Stage",,,,,,,,,,,,,,,,,,,,,,,,
,"Colon Cancer, Post operative / Palliative chemotherapy",Post-Operative / Palliative Chemotherapy,,Misc,,,,"Colon Cancer, Post-Operative / Palliative Chemotherapy, 5-FU/Leucovorin","Colon Cancer, Post-Operative / Palliative Chemotherapy, Cycles","Colon Cancer, Post-Operative / Palliative Chemotherapy, Planned First Cycle","Colon Cancer, Post-Operative / Palliative Chemotherapy, Planned Regimen End","Colon Cancer, Post-Operative / Palliative Chemotherapy, Planned change to standard regimen",,,,,,,,,,,,,,,,,,,,,
,"Colon Cancer, Radiation therapy",Radiation therapy,,Misc,,,,"Colon Cancer, Radiation Therapy Planned Date",,,,,,,,,,,,,,,,,,,,,,,,,
,Colon Cancer - Intake,Colon Cancer - Intake,,Misc,,,,"Colon Cancer, Pathology","Colon Cancer, Colonoscopy","Colon Cancer, Imaging Studies","Colon Cancer, Confirmed Diagnosis Details","Colon Cancer, Treatment Plan","Colon Cancer, Surgery","Colon Cancer, Surgical Pathology Report Date","Colon Cancer, Confirmed Disease Stage","Colon Cancer, Post-Operative / Palliative Chemotherapy","Colon Cancer, Radiation Therapy",,,,,,,,,,,,,,,,
