uuid,name,description,class,datatype,shortname,reference-term-code,reference-term-relationship,reference-term-source,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8
,"Congestive Heart Failure, Last Visit Date",,Misc,Date,Last Visit Date,,,,,,,,,,,,
,"Congestive Heart Failure, Previous Followup Location",,Misc,Text,Previous Followup Location,,,,,,,,,,,,
,"Congestive Heart Failure, Diagnosis Status",,Misc,Coded,Diagnosis Status,,,,,No Previous Diagnosis,Confirmed Elsewhere,,,,,,
,"Congestive Heart Failure, Date Confirmed",,Misc,Date,Date Confirmed,,,,,,,,,,,,
,"Congestive Heart Failure, Diagnosis Location",,Misc,Text,Diagnosis Location,,,,,,,,,,,,
,"Congestive Heart Failure, Chest X-ray",,Misc,Text,Chest X-ray,,,,,,,,,,,,
,"Congestive Heart Failure, EKG",,Misc,Text,EKG,,,,,,,,,,,,
,"Congestive Heart Failure, Echocardiogram",,Misc,Text,Echocardiogram,,,,,,,,,,,,
,"Congestive Heart Failure, Stress Test / Cath",,Misc,Text,Stress Test / Cath,,,,,,,,,,,,
,"Congestive Heart Failure, Last Exacerbation Within 12 months",,Question,Boolean,Exacerbation within 12months,,,,,,,,,,,,
,"Congestive Heart Failure, Last Exacerbation date",,Misc,Date,Last Exacerbation date,,,,,,,,,,,,
,"Congestive Heart Failure, Last Exacerbation Treated at",,Misc,Coded,Treated at,,,,,"Treated at, Home","Treated at, Inpatient",,,,,,
,"Congestive Heart Failure, Last Exacerbation Inpatient Details",,Misc,Text,Impatient details,,,,,,,,,,,,
,"Congestive Heart Failure, Last Exacerbation Hospitalizations",,Misc,Coded,Hospitalizations,,,,,Zero,One,Two,Greater than or 3,,,,
,"Congestive Heart Failure, Last Exacerbation Treated as Outpatient",,Misc,Coded,Treated as Outpatient,,,,,Zero,One,Two,Greater than or 3,,,,
,"Congestive Heart Failure, Major comorbidities",,Misc,Coded,Major comorbidities,,,,,HIV,Diabetes,Hypertension,Hyperlipidemia,Atrial Fibrillation,Alcohol Abuse,Valvular Heart Disease,Drugs (cocaine)
,"Congestive Heart Failure, Smoking History",,Misc,Boolean,Smoking History,,,,,,,,,,,,
,"Congestive Heart Failure, Packs per day",,Misc,Numeric,Packs per day,,,,,,,,,,,,
,"Congestive Heart Failure, Number of years",,Misc,Numeric,Number of years,,,,,,,,,,,,
,"Congestive Heart Failure, Current Smoker",,Misc,Boolean,Current Smoker,,,,,,,,,,,,
,"Congestive Heart Failure, Quit Smoking Since",,Misc,Text,Quit Smoking Since,,,,,,,,,,,,
,"Congestive Heart Failure, Alcohol Abuse",,Misc,Boolean,Alcohol Abuse,,,,,,,,,,,,
,"Congestive Heart Failure, Currently Exposed to Alcohol",,Misc,Boolean,Currently Exposed to Alcohol,,,,,,,,,,,,
,"Congestive Heart Failure, Alcohol Abuse Details",,Misc,Text,Alcohol Abuse Details,,,,,,,,,,,,
,"Congestive Heart Failure, Current Home Medications",,Misc,Coded,Current Home Medications,,,,,Furosemide,Beta Blocker,Calcium CH Blocker,Nitroglycerin,Digoxin,Aspirin,Ace Inhibitor,
,"Congestive Heart Failure, All Other Medicines",,Misc,Text,All other medicines,,,,,,,,,,,,
