uuid,name,description,class,datatype,shortname,reference-term-code,reference-term-relationship,reference-term-source,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6
,"Coronary Artery Disease, Last Visit Date",,Misc,Date,Last Visit Date,,,,,,,,,,
,"Coronary Artery Disease, Previous followup location",,Misc,Text,Previous followup location,,,,,,,,,,
,"Coronary Artery Disease, Diagnosis status",,Misc,Coded,Diagnosis status,,,,,No Previous Diagnosis,Confirmed Elsewhere,,,,
,"Coronary Artery Disease, Date confirmed",,Misc,Date,Date confirmed,,,,,,,,,,
,"Coronary Artery Disease, Diagnosis location",,Misc,Text,Diagnosis location,,,,,,,,,,
,"Coronary Artery Disease, Diagnosis",,Misc,Coded,Diagnosis,,,,,Myocardiac infarction,Angiography,Stenting / bypass history,,,
,"Coronary Artery Disease, Diagnosis Results",,Misc,Text,Results,,,,,,,,,,
,"Coronary Artery Disease, Risk factors",,Misc,Coded,Risk factors,,,,,Hypertension,Diabetes,Hyperlipidemia,Age > 60/65 m/f,Smoking,Family History early M.I.
,"Coronary Artery Disease, Soft risk factors",,Misc,Coded,Soft risk factors,,,,,Obesity,Lack of exercise,Female,,,
,"Coronary Artery Disease,  Lipid panel",,Misc,Text,Lipid panel,,,,,,,,,,
,"Coronary Artery Disease, A1C",,Misc,Text,A1C,,,,,,,,,,
,"Coronary Artery Disease, EKG",,Misc,Text,EKG,,,,,,,,,,
,"Coronary Artery Disease, Stress test / cath",,Misc,Text,Stress test / Cath,,,,,,,,,,
,"Coronary Artery Disease, Angiography",,Misc,Text,Angiography,,,,,,,,,,
,"Coronary Artery Disease, Exercise",,Misc,Coded,Exercise,,,,,None / Sedentary,Standing at work,Labor for work,Cardio exercise,,
,"Coronary Artery Disease, Smoking history",,Misc,Boolean,Smoking,,,,,,,,,,
,"Coronary Artery Disease, Packs per Day",,Misc,Numeric,Packs per Day,,,,,,,,,,
,"Coronary Artery Disease, Numbers of years",,Misc,Numeric,Numbers of years,,,,,,,,,,
,"Coronary Artery Disease, Current Smoker",,Misc,Boolean,Current Smoker,,,,,,,,,,
,"Coronary Artery Disease, Quit smoking since",,Misc,Text,Quit smoking since,,,,,,,,,,
,"Coronary Artery Disease, Alcohol abuse",,Misc,Boolean,Alcohol abuse,,,,,,,,,,
,"Coronary Artery Disease, Currently exposed to Alcohol",,Misc,Boolean,Currently exposed to Alcohol,,,,,,,,,,
,"Coronary Artery Disease, Alcohol abuse Details",,Misc,Text,Alcohol abuse - Details,,,,,,,,,,
,"Coronary Artery Disease, Current Home Medications",,Misc,Coded,Current Home Medications,,,,,Statin,Beta Blocker,Ace Inhibitor,Calcium CH Blocker,Nitroglycerin,Aspirin
,"Coronary Artery Disease,  All Other Medications",,Misc,Text,All Other Medications,,,,,,,,,,
