uuid,name,description,class,datatype,shortname,reference-term-code,reference-term-relationship,reference-term-source,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8
,"DRTuberculosis, Type",Enter this for all new cases,Misc,Coded,Type,,,,,Pulmonary,Extra pulmonary,Not Applicable,,,,,
,"DRTuberculosis, Diagnosis Category",Enter this for all new cases,Misc,Coded,Category of diagnosis,,,,,New Diagnosis,Relapse,Treatment after loss to follow-up,Treatment After Failure Category I,Treatment After Failure Category II,Transfer In,Still Under Treatment,Others
,"DRTuberculosis, Other Details of Category of Diagnosis",,Misc,Text,Other Details of Diagnosis Category,,,,,,,,,,,,
,"DRTuberculosis, HIV Infection",,Misc,Coded,HIV Infection,,,,,Yes,No,Unknown,,,,,
,"DRTuberculosis, Is patient on ART",,Misc,Boolean,Is patient on ART,,,,,,,,,,,,
,"DRTuberculosis, Is patient on CPT",,Misc,Boolean,Is patient on CPT,,,,,,,,,,,,
,"DRTuberculosis, Second line drugs received previously",,Misc,Coded,Second line drugs received previously,,,,,Yes,No,Unknown,,,,,
,"DRTuberculosis, Date of Sample taken for DST",,Misc,Date,Date of sample taken for DST,,,,,,,,,,,,
,"DRTuberculosis, Reasons for entering in second-line TB treatment register",,Misc,Coded,Reasons for entering in second-line TB treatment register,,,,,Confirmed RRTB or MDRTB,Presumptive RRTB or MDRTB,,,,,,
,"DRTuberculosis, Drug Regimen",,Misc,Text,Drug Regimen,,,,,,,,,,,,
,"DRTuberculosis, Regimen start date",,Misc,Date,Regimen Start Date,,,,,,,,,,,,
,"DRTuberculosis, Tests ordered",Enter this for both new and follow-up cases,Misc,Coded,Tests ordered,,,,,Sputum Smear,Sputum Culture,Gene Expert,,,,,
,"DRTuberculosis, Treatment outcome",,Misc,Coded,Treatment Outcome,,,,,Treatment cured,Treatment completed,Treatment Defaulted,Treatment Failed,Death During Treatment,Not Evaluated,,
,"DRTuberculosis, Remarks",,Misc,Text,Remarks,,,,,,,,,,,,
