uuid,name,class,datatype,shortname,description,reference-term-code,reference-term-relationship,reference-term-source,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,answer.14,answer.15,answer.16,answer.17,answer.18,answer.19,answer.20,answer.21,answer.22,answer.23,answer.24,answer.25,answer.26,answer.27,answer.28,answer.29,answer.30,answer.31,answer.32,answer.33,answer.34,answer.35,answer.36,answer.37,answer.38,answer.39,answer.40,answer.41,answer.42,answer.43,answer.44,answer.45,answer.46,answer.47,answer.48,answer.49,answer.50,answer.51,answer.52,answer.53,answer.54,answer.55,answer.56,answer.57,answer.58,answer.59,answer.60,answer.61,answer.62,answer.63,answer.64,answer.65,answer.66,answer.67,answer.68,answer.69,answer.70,answer.71,answer.72,answer.73,answer.74,answer.75,answer.76,answer.77,answer.78,answer.79,answer.80,answer.81,answer.82,answer.83,answer.84,answer.85,answer.86,answer.87,answer.88,answer.89,answer.90,answer.91,answer.92,answer.93,answer.94,answer.95,answer.96,answer.97,answer.98,answer.99,answer.100,answer.101,answer.102,answer.103,answer.104,answer.105,answer.106,answer.107,answer.108,answer.109,answer.110,answer.111,answer.112,answer.113,answer.114,answer.115,answer.116,answer.117,answer.118,answer.119,answer.120,answer.121,answer.122,answer.123,answer.124,answer.125,answer.126,answer.127,answer.128,answer.129,answer.130,answer.131,answer.132,answer.133,answer.134,answer.135,answer.136,answer.137,answer.138,answer.139,answer.140,answer.141,answer.142,answer.143,answer.144,answer.145,answer.146,answer.147,answer.148,answer.149,answer.150,answer.151,answer.152,answer.153,answer.154,answer.155,answer.156,answer.157,answer.158,answer.159,answer.160,answer.161,answer.162,answer.163,answer.164,answer.165,answer.166,answer.167,answer.168,answer.169,answer.170,answer.171,answer.172,answer.173,answer.174,answer.175,answer.176,answer.177,answer.178,answer.179,answer.180,answer.181,answer.182,answer.183,answer.184,answer.185,answer.186,answer.187,answer.188,answer.189,answer.190,answer.191,answer.192,answer.193,answer.194,answer.195,answer.196,answer.197,answer.198,answer.199,answer.200,answer.201,answer.202,answer.203,answer.204,answer.205,answer.206,answer.207,answer.208,answer.209,answer.210,answer.211,answer.212,answer.213,answer.214,answer.215,answer.216,answer.217,answer.218,answer.219,answer.220,answer.221,answer.222,answer.223,answer.224,answer.225,answer.226,answer.227,answer.228,answer.229,answer.230,answer.231,answer.232,answer.233,answer.234,answer.235,answer.236,answer.237,answer.238,answer.239,answer.240,answer.241,answer.242,answer.243,answer.244,answer.245,answer.246,answer.247,answer.248,answer.249,answer.250,answer.251,answer.252,answer.253,answer.254,answer.255,answer.256,answer.257,answer.258,answer.259,answer.260,answer.261,answer.262,answer.263
,"Death Note, Cause, Answers",Misc,Coded,Death cause,,,,,,Measles,Diptheria,Whooping Cough,Neonatal Tetanus,Tetanus,Tuberculosis,Multi Drug Resistant Tuberculosis,Extremely Drug Resistant Tuberculosis,Acute Flaccid Paralysis,Rubella,Mumps,Chicken Pox,Hepatitis B,Acute Encephalitis Like Syndrome,Filariasis,Clinical Malaria,Plasmodium Falciparum,Plasmodium Vivax,Dengue Fever,Kalaazar,Typhoid,Acute Gastro‐Enteritis,Amoebic Dysentery,Bacillary Dysentery,Presumed Non‐Infectious Diarrhoea,Cholera,Intestinal Worms,Jaundice,Hepatitis A,Hepatitis E,Volume Depletion,Leprosy,Meningitis,HIV Infection,Urethral Discharge Syndrome,Scrotal Swelling Syndrome,Vaginal Discharge Syndrome,Lower Abdominal Pain Syndrome,Neonatal Conjuctive Syndrome,Genital Ulcer Disease Syndrome ‐ Female,Genital Ulcer Disease Syndrome ‐ Male,Inguinal Bubo Syndrome ,Syphilis,Lower Respiratory Tract Infection,Upper Respiratory Tract Infection,Pneumonia,Severe Pneumonia,Bronchitis (Acute & Chronic),Urinary Tract Infection,Viral Influenza,Reproductive Tract Infection‐Female,Reproductive Tract Infection-Male,"Goitre, Cretinism",Diabetes Mellitus,Malnutrition,Avitaminoses & Other Nutrient Deficiency,Obesity,Anaemia / Polyneuropathy,Polyneuritis,Acne,Warts,Chloasma,Urticaria,Dermatitis,Alopecia,Vitiligo,Albinism,Herpes Simplex,Herpes Zoster,Erythroderma,Impetigo,Boils,Abscess,Furunculosis,Fungal Infection,Scabies,Leukoderma,Psoriasis,Acute Lymphadenitis,Acute Suppurative Otitis Media,Chronic Suppurative Otitis Media,Sinusitis,Acute Tonsilitis,Pharyngitis,Foreign Body In Ear,Foreign Body In Nose ,Foreign Body In Throat,Wax,Nasal Polyps,Deviated Nasal Septum,Rhinitis,Otitis Externa,Reflux Laryngitis,Dental Caries,Toothache,Periodontal Disease,Other Disorder Of Teeth,Aphthous Oral Ulcer,Tooth Impaction,Hypoplasia,Fungal Infection Lichen Planus,Fungal Infection Candidiasis,Oral Space Infection And  Abscess,Conjunctivitis,Trachoma,Cataract,Blindness,Refractive Error,Glaucoma,Colour Blindness,Exophthalmos,Sty,Chalazion,Pterygium,Diabetic Retinopathy,Hypertensive Retinopathy,Entropion,Ectropion,Traumatic Eye Disease,Uveitis,Age Related Macular Degeneration,Amblyopia,Squint,Retinitis Pigmentosa,Night Blindness,Retinoblastoma,Ectopic Pregnancy,Abortion Complication,Pregnancy Induced Hypertension,Pre‐Eclampsia,Antepartum Eclampsia,Intrapartum Eclampsia,Postpartum Eclampsia,Hyperemesis Grivadarum,Antepartum Haemorrhage,Prolonged Labour,Obstructed Labor,Ruptured Uterus,Postpartum Haemorrhage,Retained Placenta,Other Complications Of Labor And Delivery,Pueperal Sepsis,Pelvic Inflammatory Disease,Prolapsed Uterus,Menstrual Disorder,Dysfunctional Uterine Bleeding,Sub‐Fertility (Female),Sub‐Fertility (Male),Dementia,Addiction,Schizophrenia,Psychosis,Bipolar Affective Disorder,Depression,Phobic Anxiety,Other Anxiety,Obsessive-Compulsive Disorder,Conversive Disorder,Neurosis,Mental Retardation,Epilepsy,Migraine,Mental Illness,Breast Cancer,Cervical Cancer,Lung Cancer,Oesophagus Cancer,Stomach Cancer,Thyroid Cancer,Liver Cancer,Pancreatic Cancer,Bone  Marrow Cancer,Gall Bladder Cancer,Colorectal Cancer,Oral Cancer,Lymphoma Cancer,Ovary Cancer,Urinary Bladder Cancer,Nasopharyngeal Cancer,Head & Neck Cancer,Other Cancer,Hypertension,Congestive Heart Failure ,Cardiac Heart Failure,Chronic Obstructive Pulmonary Disease,Acute Rheumatic Fever,Rheumatic Heart Disease,Ischemic Heart Disease,Other Cardiovascular Problems,Bronchial Asthma,Acute Renal Failure,Chronic Renal Failure,Nephritis,Nephrotic Syndrome,Headache,Pyrexia Of Unknown Origin,Gastritis,Insect Bite,Abdominal Pain,Cirrhosis Of Liver,Burns And Scalds,Toxic Effect,Dog Bite,Other Rabies Susceptible Animal Bite,Snake Bite: Poisonous,Snake Bite: Non‐Poisonous,Physical Disability,Falls,Road Traffic Accident,Rheumatoid Arthritis,Arthritis,Osteo Arthrosis,Back Ache,Acid Peptic Disorders,Anal Fissure,Anal Fistula,Fistula Of Intestine,Renal Stones,Breast Lumps,Mastitis,Mastalgia Breast,Lumps,Sebaceous Cyst,Pilonidal Sinus,Appendicitis,Cholecystitis,Cholelithiasis,Hernia,Hydrocoele,Phimosis,Haemorrhoids,Epididymitis,Prostatism,Not Mentioned Above And Other,"Encounter for supervision of normal first pregnancy, unspecified trimester","Encounter for supervision of normal first pregnancy, first trimester","Encounter for supervision of normal first pregnancy, second trimester","Encounter for supervision of normal first pregnancy, third trimester",Multiple gestation,Twin pregnancy,Triplet pregnancy,Quadruplet pregnancy,Other multiple gestation,"Multiple gestation, unspecified",Single spontaneous delivery,Spontaneous breech delivery,Single delivery by forceps and vacuum extractor,Vacuum extractor delivery,Single delivery by caesarean section,Other assisted single delivery,Multiple delivery,Spontaneous abortion,Medical abortion,Other abortion,Haemorrhage in early pregnancy,Premature rupture of membranes,"Placental disorder, unspecified",Placenta praevia,Premature separation of placenta (abruptio placentae),Complications of anaesthesia during labour and delivery,,,
,"Death Note, Pronounced Death Date and Time",Misc,Datetime,Pronounced Death date and time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Death Note, Provider Name",Misc,Text,Provider name who pronounced death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Death Note, Brought dead",Misc,Boolean,Brought dead ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Death Note, Postmortem done",Misc,Boolean,Postmortem done ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Death Note, Primary Cause of Death",Misc,Coded,Primary Cause of Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Death Note, Secondary Cause of Death",Misc,Coded,Secondary Cause of Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Death Note, Tertiary Cause of Death",Misc,Coded,Tertiary Cause of Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Death Note, Expected / Unexpected",Misc,Coded,Expected / Unexpected,,,,,,Expected,Unexpected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Death Note, Other Co-morbidities",Misc,Text,Other co-morbidities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
