uuid,name,description,class,datatype,shortname,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,answer.14,answer.15,answer.16
,"Diabetes, Diagnosed Date",,Misc,Date,Diagnosed Date,,,,,,,,,,,,,,,,
,"Diabetes, Diabetes Type",,Misc,Coded,Diabetes Type,Type 1 Diabetes,Type 2 Diabetes,Gestational Diabetes,,,,,,,,,,,,,
,"Diabetes, Treatment at the time of Diagnosis",,Misc,Text,Treatment at the time of Diagnosis,,,,,,,,,,,,,,,,
,"Diabetes, Blood Sugar Level",,Misc,Numeric,Blood Sugar Level,,,,,,,,,,,,,,,,
,"Diabetes, Last Visit Date",,Misc,Date,Last Visit Date,,,,,,,,,,,,,,,,
,"Diabetes, On Treatment",,Misc,Boolean,On Treatment,,,,,,,,,,,,,,,,
,"Diabetes, Current Treatment Details",,Misc,Text,Current Treatment Details,,,,,,,,,,,,,,,,
,"Diabetes, Treatment Outcome",,Misc,Text,Treatment Outcome,,,,,,,,,,,,,,,,
,"Diabetes, Complication",,Misc,Text,Complication,,,,,,,,,,,,,,,,
,"Diabetes, Current Status",,Misc,Text,Current Status,,,,,,,,,,,,,,,,
,"Diabetes, Associated Disease(s)",,Misc,Text,Associated Disease(s),,,,,,,,,,,,,,,,
