uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6
,"Diabetes, Last Visit Date",,Misc,Date,Date of last Visit,,,,,,,,,,,
,"Diabetes, Previous Followup Location",,Misc,Text,Previous Followup Location,,,,,,,,,,,
,"Diabetes, Diagnosis Confirmed",,Misc,Coded,Diagnosis Confirmed,,,,,,No Previous Diagnosis,Confirmed Elsewhere,,,,
,"Diabetes, Diabetes Type",,Diagnosis,Coded,Diabetes type,,,,,,Type 1 DM,Type 2 DM,,,,
,"Diabetes, Last Known A1C Date",,Misc,Date,Last known A1C Date,,,,,,,,,,,
,"Diabetes, Last known A1C Result",,Misc,Text,Last known A1C Result,,,,,,,,,,,
,"Diabetes, Last Known Fasting Blood Sugar",,Misc,Date,Last known Fasting Blood Sugar,,,,,,,,,,,
,"Diabetes, Last known A1C Result",,Misc,Text,Last known Fasting Blood Sugar,,,,,,,,,,,
,"Diabetes, Suspicion",,Diagnosis,Coded,If new patient / suspicion,,,,,,Polyuria,Blurred Vision,Polydypsia,Nocturia,Weight Loss,
,"Diabetes, Cormorbidities",,Diagnosis,Coded,Cormorbidities,,,,,,Hypertension,Hyperlipidemia,Coronary DZ,Obesity,Heart failure,CKD
,"Diabetes, Family History of Diabetes",,Misc,Boolean,Family History of Diabetes,,,,,,,,,,,
,"Diabetes, Details Of Family History Of Diabetes",,Misc,Text,Details Of Family History Of Diabetes,,,,,,,,,,,
,"Diabetes, A1C",,Misc,Text,A1C,,,,,,,,,,,
,"Diabetes, Fasting Glucose",,Misc,Text,Fasting Glucose,,,,,,,,,,,
,"Diabetes, Lipid Panel",,Misc,Text,Lipid Panel,,,,,,,,,,,
,"Diabetes, Exercise",,Misc,Coded,Exercise,,,,,,None / Sedentary,Standing at work,Labor for work,Cardio exercise,,
,"Diabetes, Smoking History",,Misc,Boolean,Smoking history,,,,,,,,,,,
,"Diabetes, Packs Per Day",,Misc,Numeric,Packs per day,,,,,,,,,,,
,"Diabetes, Number Of Years",,Misc,Numeric,Number of years,,,,,,,,,,,
,"Diabetes, Alcohol Abuse",,Misc,Boolean,Alcohol abuse,,,,,,,,,,,
,"Diabetes, Details Of Alcohol Abuse",,Misc,Text,Details of Alcohol abuse,,,,,,,,,,,
,"Diabetes, Current Home Medications",,Misc,Coded,Current home medication,,,,,,Metformin,Glipizide,Insulin 70/30,,,
,"Diabetes, Other Current Home Medications",,Misc,Text,Other current home medications,,,,,,,,,,,
