uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6
,Gastric – Disease work up – Type of cancer – Gastric Cancer,,Diagnosis,N/A,Gastric cancer,,,,,,,,,,,
,Gastric – Disease work up – Type of cancer – Distal Esophageal or Gastro-estophageal Junction Cancer,,Diagnosis,N/A,Distal Esophageal or Gastro-estophageal Junction Cancer,,,,,,,,,,,
,Gastric – Disease work up – Type of cancer,,Diagnosis,Coded,Type of cancer,,,,,,Gastric – Disease work up – Type of cancer – Gastric Cancer,Gastric – Disease work up – Type of cancer – Distal Esophageal or Gastro-estophageal Junction Cancer,,,,
,Gastric – Disease work up –Type of cancer-  Pathology report date,,Misc,Date,Pathology Date,,,,,,,,,,,
,Gastric – Disease work up –Type of cancer-  Institute issuing pathology report – BWH,,Misc,N/A,BWH,,,,,,,,,,,
,Gastric – Disease work up –Type of cancer-  Institute issuing pathology report – Butaro,,Misc,N/A,Butaro,,,,,,,,,,,
,Gastric – Disease work up –Type of cancer-  Institute issuing pathology report – KFH,,Misc,N/A,KFH,,,,,,,,,,,
,Gastric – Disease work up –Type of cancer-  Institute issuing pathology report – CHUK,,Misc,N/A,CHUK,,,,,,,,,,,
,Gastric – Disease work up –Type of cancer-  Institute issuing pathology report – CHUB,,Misc,N/A,CHUB,,,,,,,,,,,
,Gastric – Disease work up –Type of cancer-  Institute issuing pathology report – Other,,Misc,N/A,Other,,,,,,,,,,,
,Gastric – Disease work up –Type of cancer-  Institute issuing pathology report – Other details,,Misc,Text,Other details,,,,,,,,,,,
,Gastric – Disease work up –Type of cancer-  Institute issuing pathology report,,Misc,Coded,Institute issuing pathology report,,,,,,Gastric – Disease work up –Type of cancer-  Institute issuing pathology report – BWH,Gastric – Disease work up –Type of cancer-  Institute issuing pathology report – Butaro,Gastric – Disease work up –Type of cancer-  Institute issuing pathology report – KFH,Gastric – Disease work up –Type of cancer-  Institute issuing pathology report – CHUK,Gastric – Disease work up –Type of cancer-  Institute issuing pathology report – CHUB,Gastric – Disease work up –Type of cancer-  Institute issuing pathology report – Other
,Gastric – Disease work up –Type of cancer- Pathological diagnosis – Invasive Adenocarcinoma,,Diagnosis,N/A,Invasive Adenocarcinoma,,,,,,,,,,,
,Gastric – Disease work up –Type of cancer- Pathological diagnosis – Other,,Diagnosis,N/A,Other,,,,,,,,,,,
,Gastric – Disease work up –Type of cancer- Pathological diagnosis – Other – Other details,,Misc,Text,Other details,,,,,,,,,,,
,Gastric – Disease work up –Type of cancer- Pathological diagnosis,,Misc,Coded,Pathological diagnosis,,,,,,Gastric – Disease work up –Type of cancer- Pathological diagnosis – Invasive Adenocarcinoma,Gastric – Disease work up –Type of cancer- Pathological diagnosis – Other,,,,
,Gastric – Disease work up – Endoscopy – Endoscopy Date,,Misc,Date,Endoscopy Date,,,,,,,,,,,
,Gastric – Disease work up – Endoscopy – Endoscopy Institution – Butaro,,Misc,N/A,Butaro,,,,,,,,,,,
,Gastric – Disease work up – Endoscopy – Endoscopy Institution – KFH,,Misc,N/A,KFH,,,,,,,,,,,
,Gastric – Disease work up – Endoscopy – Endoscopy Institution – CHUK,,Misc,N/A,CHUK,,,,,,,,,,,
,Gastric – Disease work up – Endoscopy – Endoscopy Institution – CHUB,,Misc,N/A,CHUB,,,,,,,,,,,
,Gastric – Disease work up – Endoscopy – Endoscopy Institution – Other,,Misc,N/A,Other,,,,,,,,,,,
,Gastric – Disease work up – Endoscopy – Endoscopy Institution – Other details,,Misc,Text,Other details,,,,,,,,,,,
,Gastric – Disease work up – Endoscopy – Endoscopy Institution,,Misc,Coded,Endoscopy Institution,,,,,,Gastric – Disease work up – Endoscopy – Endoscopy Institution – Butaro,Gastric – Disease work up – Endoscopy – Endoscopy Institution – KFH,Gastric – Disease work up – Endoscopy – Endoscopy Institution – CHUK,Gastric – Disease work up – Endoscopy – Endoscopy Institution – CHUB,Gastric – Disease work up – Endoscopy – Endoscopy Institution – Other,
,Gastric – Disease work up – Endoscopy – Endoscopy Findings,,Misc,Text,Endoscopy findings,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – Chest X-ray,,Misc,Boolean,Chest X-ray,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – Abdominal untrasound,,Misc,Boolean,Abdominal untrasound,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – CT scan of Abdomen / Pelvis,,Misc,Boolean,CT scan of Abdomen / Pelvis,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – CT scan of Chest,,Misc,Boolean,CT scan of Chest,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – Other,,Misc,Boolean,Other,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – Other – Other details,,Misc,Text,Other details,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – Chest X-ray – Study date,,Misc,Date,Study date,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – Abdominal untrasound – Study date,,Misc,Date,Study date,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – CT scan of Abdomen / Pelvis – Study date,,Misc,Date,Study date,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – CT scan of Chest – Study date,,Misc,Date,Study date,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – Other – Study date,,Misc,Date,Study date,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – Chest X-ray – Site – Butaro,,Misc,N/A,Butaro,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – Chest X-ray – Site – CHUK,,Misc,N/A,CHUK,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – Chest X-ray – Site – KFH,,Misc,N/A,KFH,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – Chest X-ray – Site – Other,,Misc,N/A,Other,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – Chest X-ray – Site – Other – Other details,,Misc,Text,Other details,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – Chest X-ray – Site,,Misc,Coded,Site,,,,,,Gastric – Disease work up – Imaging studies – Chest X-ray – Site – Butaro,Gastric – Disease work up – Imaging studies – Chest X-ray – Site – CHUK,Gastric – Disease work up – Imaging studies – Chest X-ray – Site – KFH,Gastric – Disease work up – Imaging studies – Chest X-ray – Site – Other,,
,Gastric – Disease work up – Imaging studies – Abdominal Ultrasound – Site – Butaro,,Misc,N/A,Butaro,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – Abdominal Ultrasound – Site – CHUK,,Misc,N/A,CHUK,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – Abdominal Ultrasound – Site – KFH,,Misc,N/A,KFH,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – Abdominal Ultrasound – Site – Other,,Misc,N/A,Other,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – Abdominal Ultrasound – Site – Other – Other details,,Misc,Text,Other details,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – Abdominal Ultrasound – Site,,Misc,Coded,Site,,,,,,Gastric – Disease work up – Imaging studies – Abdominal Untrasound – Site – Butaro,Gastric – Disease work up – Imaging studies – Abdominal Untrasound – Site – CHUK,Gastric – Disease work up – Imaging studies – Abdominal Untrasound – Site – KFH,Gastric – Disease work up – Imaging studies – Abdominal Untrasound – Site – Other,,
,Gastric – Disease work up – Imaging studies – CT Scan of Abdomen / Pelvis – Site – Butaro,,Misc,N/A,Butaro,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – CT Scan of Abdomen / Pelvis – Site – CHUK,,Misc,N/A,CHUK,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – CT Scan of Abdomen / Pelvis – Site – KFH,,Misc,N/A,KFH,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – CT Scan of Abdomen / Pelvis – Site – Other,,Misc,N/A,Other,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – CT Scan of Abdomen / Pelvis – Site – Other – Other details,,Misc,Text,Other details,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – CT Scan of Abdomen / Pelvis – Site,,Misc,Coded,Site,,,,,,Gastric – Disease work up – Imaging studies – CT Scan of Abdomen / Pelvis – Site – Butaro,Gastric – Disease work up – Imaging studies – CT Scan of Abdomen / Pelvis – Site – CHUK,Gastric – Disease work up – Imaging studies – CT Scan of Abdomen / Pelvis – Site – KFH,Gastric – Disease work up – Imaging studies – CT Scan of Abdomen / Pelvis – Site – Other,,
,Gastric – Disease work up – Imaging studies – CT Scan of Chest – Site – Butaro,,Misc,N/A,Butaro,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – CT Scan of Chest – Site – CHUK,,Misc,N/A,CHUK,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – CT Scan of Chest – Site – KFH,,Misc,N/A,KFH,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – CT Scan of Chest – Site – Other,,Misc,N/A,Other,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – CT Scan of Chest – Site – Other – Other details,,Misc,Text,Other details,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – CT Scan of Chest – Site,,Misc,Coded,Site,,,,,,Gastric – Disease work up – Imaging studies – CT Scan of Chest – Site – Butaro,Gastric – Disease work up – Imaging studies – CT Scan of Chest – Site – CHUK,Gastric – Disease work up – Imaging studies – CT Scan of Chest – Site – KFH,Gastric – Disease work up – Imaging studies – CT Scan of Chest – Site – Other,,
,Gastric – Disease work up – Imaging studies – Other – Site – Butaro,,Misc,N/A,Butaro,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – Other – Site – CHUK,,Misc,N/A,CHUK,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – Other – Site – KFH,,Misc,N/A,KFH,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – Other – Site – Other,,Misc,N/A,Other,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – Other – Site – Other – Other details,,Misc,Text,Other details,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – Other – Site,,Misc,Coded,Site,,,,,,Gastric – Disease work up – Imaging studies – Other – Site – Butaro,Gastric – Disease work up – Imaging studies – Other – Site – CHUK,Gastric – Disease work up – Imaging studies – Other – Site – KFH,Gastric – Disease work up – Imaging studies – Other – Site – Other,,
,Gastric – Disease work up – Imaging studies – None,,Misc,Boolean,None,,,,,,,,,,,
,Gastric – Disease work up – Imaging studies – Imaging Assessment,,Misc,Text,Imaging Assessment,,,,,,,,,,,
,Gastric – Disease work up – Confirmed diagnosis details – Mass location – Distal Esophagus,,Misc,N/A,Distal Esophagus,,,,,,,,,,,
,Gastric – Disease work up – Confirmed diagnosis details – Mass location – Gastro-esophageal Junction,,Misc,N/A,Gastro-esophageal Junction,,,,,,,,,,,
,Gastric – Disease work up – Confirmed diagnosis details – Mass location – Fundus of Stomach,,Misc,N/A,Fundus of Stomach,,,,,,,,,,,
,Gastric – Disease work up – Confirmed diagnosis details – Mass location – Body of Stomach,,Misc,N/A,Body of Stomach,,,,,,,,,,,
,Gastric – Disease work up – Confirmed diagnosis details – Mass location – Pylorus,,Misc,N/A,Pylorus,,,,,,,,,,,
,Gastric – Disease work up – Confirmed diagnosis details – Mass location – Other,,Misc,N/A,Other,,,,,,,,,,,
,Gastric – Disease work up – Confirmed diagnosis details – Mass location – Other – Other details,,Misc,Text,Other details,,,,,,,,,,,
,Gastric – Disease work up – Confirmed diagnosis details – Mass location,,Misc,Coded,Mass Location,,,,,,Gastric – Disease work up – Confirmed diagnosis details – Mass location – Distal Esophagus,Gastric – Disease work up – Confirmed diagnosis details – Mass location – Gastro-esophageal Junction,Gastric – Disease work up – Confirmed diagnosis details – Mass location – Fundus of Stomach,Gastric – Disease work up – Confirmed diagnosis details – Mass location – Body of Stomach,Gastric – Disease work up – Confirmed diagnosis details – Mass location – Pylorus,Gastric – Disease work up – Confirmed diagnosis details – Mass location – Other
,Gastric – Disease work up – Confirmed diagnosis details – Mass Size,,Misc,Text,Mass Size,,,,,,,,,,,
,Gastric – Disease work up – Confirmed diagnosis details – lymphadenopathy (specify) – Superclavicular,,Misc,N/A,Superclavicular,,,,,,,,,,,
,Gastric – Disease work up – Confirmed diagnosis details – lymphadenopathy (specify) – Periumbilical,,Misc,N/A,Periumbilical,,,,,,,,,,,
,Gastric – Disease work up – Confirmed diagnosis details – lymphadenopathy (specify) – Left auxilliary,,Misc,N/A,Left auxilliary,,,,,,,,,,,
,Gastric – Disease work up – Confirmed diagnosis details – lymphadenopathy (specify) – Other,,Misc,N/A,Other,,,,,,,,,,,
,Gastric – Disease work up – Confirmed diagnosis details – lymphadenopathy (specify) – Other – Other details,,Misc,Text,Other details,,,,,,,,,,,
,Gastric – Disease work up – Confirmed diagnosis details – lymphadenopathy (specify),,Misc,Coded,lymphadenopathy (specify),,,,,,Gastric – Disease work up – Confirmed diagnosis details – lymphadenopathy (specify) – Superclavicular,Gastric – Disease work up – Confirmed diagnosis details – lymphadenopathy (specify) – Periumbilical,Gastric – Disease work up – Confirmed diagnosis details – lymphadenopathy (specify) – Left auxilliary,Gastric – Disease work up – Confirmed diagnosis details – lymphadenopathy (specify) – Other,Gastric – Disease work up – Confirmed diagnosis details – lymphadenopathy (specify) – Other – Other details,
,Gastric – Disease work up – Confirmed diagnosis details – Other mass details,,Misc,Text,Other Mass details,,,,,,,,,,,
,Gastric – Disease work up – Pre operative Clinical staging – Resectable / Curable Disease,,Misc,N/A,Resectable / Curable Disease,,,,,,,,,,,
,Gastric – Disease work up – Pre operative Clinical staging – Locally Advanced Unresectable Disease,,Misc,N/A,Locally Advanced Unresectable Disease,,,,,,,,,,,
,Gastric – Disease work up – Pre operative Clinical staging – Metastatic Disease,,Misc,N/A,Metastatic Disease,,,,,,,,,,,
,Gastric – Disease work up – Pre operative Clinical staging – Patient s/p surgical resection,,Misc,N/A,Patient s/p surgical resection,,,,,,,,,,,
,Gastric – Disease work up – Pre operative Clinical staging,,Misc,Coded,Pre operative Clinical staging,,,,,,Gastric – Disease work up – Pre operative Clinical staging – Resectable / Curable Disease,Gastric – Disease work up – Pre operative Clinical staging – Locally Advanced Unresectable Disease,Gastric – Disease work up – Pre operative Clinical staging – Metastatic Disease,Gastric – Disease work up – Pre operative Clinical staging – Patient s/p surgical resection,,
,Gastric – Disease work up – Treatment Plan – Intent - Curative,,Misc,N/A,Curative,,,,,,,,,,,
