uuid,name,shortname,description,class,reference-term-source,reference-term-code,reference-term-relationship,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,child.11,child.12,child.13,child.14,child.15,child.16,child.17,child.18,child.19,child.20,child.21,child.22,child.23
,"Gastric, Type of cancer",Type of cancer,,Misc,,,,"Gastric, Cancer type","Gastric, Pathology report date","Gastric, Pathological diagnosis",,,,,,,,,,,,,,,,,,,,
,"Gastric, Endoscopy",Endoscopy,,Misc,,,,"Gastric, Endoscopy Date","Gastric, Endoscopy Findings",,,,,,,,,,,,,,,,,,,,,
,"Gastric, Imaging studies",Imaging Studies,,Misc,,,,"Gastric, Chest X-ray","Gastric, Chest X-ray – Study date","Gastric,  Abdominal ultrasound","Gastric, Abdominal ultrasound – Study date","Gastric, CT scan of Abdomen / Pelvis","Gastric, CT scan of Abdomen / Pelvis – Study date","Gastric, CT scan of Chest","Gastric, CT scan of Chest – Study date","Gastric, Imaging studies – None","Gastric, Imaging Assessment",,,,,,,,,,,,,
,"Gastric, Confirmed diagnosis details",Confirmed diagnosis details,,Misc,,,,"Gastric, Mass location","Gastric, Mass location – Other","Gastric, Mass Size","Gastric, lymphadenopathy","Gastric, Other mass details",,,,,,,,,,,,,,,,,,
,"Gastric, Pre operative clinical staging",Pre operative clinical staging,,Misc,,,,"Gastric, Pre operative Clinical staging","Gastric, Treatment Intent",,,,,,,,,,,,,,,,,,,,,
,"Gastric, Surgery",Surgery,,Misc,,,,"Gastric, Surgery planned","Gastric, Surgery Planned Date","Gastric, Type of Surgery","Gastric, Type of Surgery – Other",,,,,,,,,,,,,,,,,,,
,"Gastric, Pre operative chemotherapy",Pre operative chemotherapy,,Misc,,,,"Gastric, Pre operative chemotherapy Planned","Gastric, Pre operative chemotherapy, Regimen - Folfox","Gastric, Pre operative chemotherapy, Cycles","Gastric, Pre operative chemotherapy, Planned first cycle Start Date","Gastric, Pre operative chemotherapy, Planned regimen end – End Date","Gastric, Post operative Chemotherapy, Planned changes to standard regimen",,,,,,,,,,,,,,,,,
,"Gastric, Post operative staging",Post operative staging,,Misc,,,,"Gastric, Post operative, Notes from Operative report","Gastric, Post operative, Date of Surgery","Gastric, Post operative, Procedure","Gastric, Post operative, Procedure – Other","Gastric, Post operative, Surgical Pathology Date",,,,,,,,,,,,,,,,,,
,"Gastric, Confirmed Disease stage",Confirmed Disease stage,,Misc,,,,"Gastric, TNM Pathologic Staging, T","Gastric, TNM Pathologic Staging, N","Gastric, TNM Pathologic Staging, M","Gastric, Overall Stage","Gastric, H Pylori Status – Positive","Gastric, H Pylori Status – Negative","Gastric, H Pylori Status – Not Determined",,,,,,,,,,,,,,,,
,"Gastric, Post operative chemotherapy",Post operative chemotherapy,,Misc,,,,"Gastric, Post operative Chemotherapy Planned","Gastric, Post operative Chemotherapy, Regimen – FOLFOX","Gastric, Post operative Chemotherapy, Planned first cycle","Gastric, Post operative Chemotherapy, Planned regimen end","Gastric, Post operative Chemotherapy, Planned changes to standard regimen",,,,,,,,,,,,,,,,,,
,"Gastric, Radiation therapy",Radiation therapy,,Misc,,,,"Gastric, Radiation Therapy Planned","Gastric,  Radiation Therapy, Planned Date",,,,,,,,,,,,,,,,,,,,,
,Gastrtic Template,Gastric,,Misc,,,,"Gastric, Staging and treatment plan confirmed by","Gastric, Type of cancer","Gastric, Endoscopy","Gastric, Imaging studies","Gastric, Confirmed diagnosis details","Gastric, Pre operative clinical staging","Gastric, Surgery","Gastric, Pre operative chemotherapy","Gastric, Post operative staging","Gastric, Confirmed Disease stage","Gastric, Post operative chemotherapy","Gastric, Radiation therapy","Gastric, Oncologist","Gastric, Surgeon","Gastric, Staging and treatment plan confirmed by",,,,,,,,
