uuid,name,shortname,description,class,reference-term-source,reference-term-code,reference-term-relationship,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,child.11,child.12,child.13,child.14,child.15,child.16,child.17,child.18,child.19,child.20,child.21,child.22,child.23
,"Gastric Cancer, TNM Pathologic Staging",TNM Pathologic Staging,,Misc,,,,"Gastric Cancer, TNM Pathologic Staging, Tumor Stage","Gastric Cancer, TNM Pathologic Staging, Lymph Node Stage","Gastric Cancer, TNM Pathologic Staging, Metastatic Stage",,,,,,,,,,,,,,,,,,,,
,"Gastric Cancer, Pathology",Pathology,,Misc,,,,"Gastric Cancer, Pathology Report Date","Gastric Cancer, Pathologic Diagnosis, Invasive Adenocarcinoma","Gastric Cancer, Pathologic Diagnosis, Other",,,,,,,,,,,,,,,,,,,,
,"Gastric Cancer, Endoscopy",Endoscopy,,Misc,,,,"Gastric Cancer, Endoscopy, Date","Gastric Cancer, Endoscopy, Findings",,,,,,,,,,,,,,,,,,,,,
,"Gastric Cancer, Imaging Studies",Imaging Studies,,Misc,,,,"Gastric Cancer, Chest X-ray","Gastric Cancer, Chest X-ray Study Date","Gastric Cancer, Abdominal Ultrasound","Gastric Cancer, Abdominal Ultrasound Study Date","Gastric Cancer, CT scan of Abdomen/Pelvis","Gastric Cancer, CT scan of Abdomen/Pelvis Study Date","Gastric Cancer, CT scan of Chest","Gastric Cancer, CT scan of Chest Study Date","Gastric Cancer, Imaging Studies, Other","Gastric Cancer, Imaging Assessment & Findings",,,,,,,,,,,,,
,"Gastric Cancer, Confirmed Diagnosis Details",Confirmed Diagnosis Details,,Misc,,,,"Gastric Cancer, Mass, Location","Gastric Cancer, Mass, Size","Gastric Cancer, Mass, Lymphadenopathy","Gastric Cancer, Mass, Other","Gastric Cancer, Pre-Operative Clinical Staging",,,,,,,,,,,,,,,,,,
,"Gastric Cancer, Treatment Plan",Treatment Plan,,Misc,,,,"Gastric Cancer, Treatment Intent","Gastric Cancer, Treatment Planned",,,,,,,,,,,,,,,,,,,,,
,"Gastric Cancer, Surgery",Surgery,,Misc,,,,"Gastric Cancer, Surgery, Date","Gastric Cancer, Surgery, Type","Gastric Cancer, Surgery, Other","Gastric Cancer, Surgical Pathology Report Date",,,,,,,,,,,,,,,,,,,
,"Gastric Cancer, Pre-Operative Chemotherapy",Pre-Operative Chemotherapy,,Misc,,,,"Gastric Cancer, Pre-Operative Chemotherapy, Folfox","Gastric Cancer, Pre-Operative Chemotherapy, Cycles","Gastric Cancer, Pre-Operative Chemotherapy, Planned First Cycle","Gastric Cancer, Pre-Operative Chemotherapy, Planned Regimen End","Gastric Cancer, Pre-Operative Chemotherapy, Planned changes to standard regimen",,,,,,,,,,,,,,,,,,
,"Gastric Cancer, Confirmed Disease Stage",Confirmed Disease Stage,,Misc,,,,"Gastric Cancer, TNM Pathologic Staging","Gastric Cancer, Overall Stage",,"Gastric Cancer, H. pylori Status",,,,,,,,,,,,,,,,,,,
,"Gastric Cancer, Post-Operative Chemotherapy",Post-Operative Chemotherapy,,Misc,,,,"Gastric Cancer, Post-Operative Chemotherapy, Folfox","Gastric Cancer, Post-Operative Chemotherapy, Cycles","Gastric Cancer, Post-Operative Chemotherapy, Planned First Cycle","Gastric Cancer, Post-Operative Chemotherapy, Planned Regimen End","Gastric Cancer, Post-Operative Chemotherapy, Planned changes to standard regimen",,,,,,,,,,,,,,,,,,
,"Gastric Cancer, Radiation Therapy",Radiation Therapy,,Misc,,,,"Gastric Cancer, Radiation Therapy Planned Date",,,,,,,,,,,,,,,,,,,,,,
,Gastric Cancer Intake Template,Gastric Cancer – Intake,,Misc,,,,"Gastric Cancer, Pathology","Gastric Cancer, Endoscopy","Gastric Cancer, Imaging Studies","Gastric Cancer, Confirmed Diagnosis Details","Gastric Cancer, Treatment Plan","Gastric Cancer, Surgery","Gastric Cancer, Pre-Operative Chemotherapy","Gastric Cancer, Confirmed Disease Stage","Gastric Cancer, Post-Operative Chemotherapy","Gastric Cancer, Radiation Therapy",,,,,,,,,,,,,
