uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,,
,"Gastric Cancer, Pathology Report Date",,Misc,Date,Pathology Report Date,,,,,,,,,,,,,
,"Gastric Cancer, Pathologic Diagnosis, Invasive Adenocarcinoma",,Misc,Boolean,Invasive Adenocarcinoma,,,,,,,,,,,,,
,"Gastric Cancer, Pathologic Diagnosis, Other",,Misc,Text,Other,,,,,,,,,,,,,
,"Gastric Cancer, Endoscopy, Date",,Misc,Text,Date,,,,,,,,,,,,,
,"Gastric Cancer, Endoscopy, Findings",,Misc,Text,Findings,,,,,,,,,,,,,
,"Gastric Cancer, Chest X-ray",,Misc,Text,Chest X-ray,,,,,,,,,,,,,
,"Gastric Cancer, Chest X-ray Study Date",,Misc,Date,Study Date,,,,,,,,,,,,,
,"Gastric Cancer, Abdominal Ultrasound",,Misc,Text,Abdominal Ultrasound,,,,,,,,,,,,,
,"Gastric Cancer, Abdominal Ultrasound Study Date",,Misc,Date,Study Date,,,,,,,,,,,,,
,"Gastric Cancer, CT scan of Abdomen/Pelvis",,Misc,Text,CT scan of Abdomen/Pelvis,,,,,,,,,,,,,
,"Gastric Cancer, CT scan of Abdomen/Pelvis Study Date",,Misc,Date,Study Date,,,,,,,,,,,,,
,"Gastric Cancer, CT scan of Chest",,Misc,Text,CT scan of Chest,,,,,,,,,,,,,
,"Gastric Cancer, CT scan of Chest Study Date",,Misc,Date,Study Date,,,,,,,,,,,,,
,"Gastric Cancer, Imaging Studies, Other",,Misc,Text,Other,,,,,,,,,,,,,
,"Gastric Cancer, Imaging Assessment & Findings",,Misc,Text,Imaging Assessment & Findings,,,,,,,,,,,,,
,"Gastric Cancer, Mass, Location",,Misc,Coded,Location,,,,,,Distal Esophagus,Gastro-esophageal Junction,Fundus of Stomach,Body of Stomach,Pylorus,Other,,
,"Gastric Cancer, Mass, Size",,Misc,Text,Size,,,,,,,,,,,,,
,"Gastric Cancer, Mass, Lymphadenopathy",,Misc,Coded,Lymphadenopathy,,,,,,Superclavicular,Periumbilical,Left Axillary,Other,,,,
,"Gastric Cancer, Mass, Other",,Misc,Text,Other Details,,,,,,,,,,,,,
,"Gastric Cancer, Pre-Operative Clinical Staging",,Misc,Coded,Pre-Operative Clinical Staging,,,,,,Resectable/Curable Disease,Locally Advanced Unresectable Disease,Metastatic Disease,Patient S/P Surgical Resection,,,,
,"Gastric Cancer, Treatment Intent",,Misc,Coded,Treatment Intent,,,,,,Curative,Palliative Systemic,Palliation Only,,,,,
,"Gastric Cancer, Treatment Planned",,Misc,Coded,Treatment Planned,,,,,,Pre-Operative Chemotherapy,Surgery,Post-Operative Chemotherapy,Radiation Therapy,,,,
,"Gastric Cancer, Surgery, Date",,Misc,Date,Date,,,,,,,,,,,,,
,"Gastric Cancer, Surgery, Type",,Misc,Coded,Type,,,,,,Gasttrectomy,Esophagectomy,Other,,,,,
,"Gastric Cancer, Surgery, Other",,Misc,Text,Other Surgery,,,,,,,,,,,,,
,"Gastric Cancer, Surgical Pathology Report Date",,Misc,Date,Surgical Pathology Report Date,,,,,,,,,,,,,
,"Gastric Cancer, TNM Pathologic Staging, Tumor Values",,Misc,Coded,Tumor Values,,,,,,T0,T1,T2,T3,T4,TX,Tis,Td4
,"Gastric Cancer, TNM Pathologic Staging, Lymph Node Values",,Misc,Coded,Lymph Node Values,,,,,,N0,N1,N2,N3,NX,,,
,"Gastric Cancer, TNM Pathologic Staging, Metastatic Values",,Misc,Coded,Metastatic Values,,,,,,M0,M1,MX,,,,,
,"Gastric Cancer, Overall Stage",,Misc,Coded,Overall Stage,,,,,,0,I,IIA,IIB,IIIA,IIIB,IIIC,IV
,"Gastric Cancer, H. pylori Status",,Misc,Coded,H. pylori Status,,,,,,Positive,Negative,Not determined,,,,,
,"Gastric Cancer, Pre-Operative Chemotherapy, Folfox",,Misc,Boolean,Folfox,,,,,,,,,,,,,
,"Gastric Cancer, Pre-Operative Chemotherapy, Cycles",,Misc,Text,No of Cycles,,,,,,,,,,,,,
,"Gastric Cancer, Pre-Operative Chemotherapy, Planned First Cycle",,Misc,Date,Planned First Cycle,,,,,,,,,,,,,
,"Gastric Cancer, Pre-Operative Chemotherapy, Planned Regimen End",,Misc,Date,Planned Regimen End,,,,,,,,,,,,,
,"Gastric Cancer, Pre-Operative Chemotherapy, Planned change to standard regimen",,Misc,Text,Planned changes to standard regimen,,,,,,,,,,,,,
,"Gastric Cancer, Post-Operative Chemotherapy, Folfox",,Misc,Boolean,Folfox,,,,,,,,,,,,,
,"Gastric Cancer, Post-Operative Chemotherapy, Cycles",,Misc,Text,No of Cycles,,,,,,,,,,,,,
,"Gastric Cancer, Post-Operative Chemotherapy, Planned First Cycle",,Misc,Date,Planned First Cycle,,,,,,,,,,,,,
,"Gastric Cancer, Post-Operative Chemotherapy, Planned Regimen End",,Misc,Date,Planned Regimen End,,,,,,,,,,,,,
,"Gastric Cancer, Post-Operative Chemotherapy, Planned change to standard regimen",,Misc,Text,Planned changes to standard regimen,,,,,,,,,,,,,
,"Gastric Cancer, Radiation Therapy Planned Date",,Misc,Date,Planned Date,,,,,,,,,,,,,
