uuid,name,shortname,description,class,reference-term-source,reference-term-code,reference-term-relationship,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,child.11,child.12,child.13,child.14,child.15,child.16
,"General Chronic Disease OPD, Systolic Data",Systolic data,,Concept Details,,,,"General Chronic Disease OPD, Systolic","General Chronic Disease OPD, Systolic Abnormal",,,,,,,,,,,,,,
,"General Chronic Disease OPD, Diastolic Data",Diastolic data,,Concept Details,,,,"General Chronic Disease OPD, Diastolic","General Chronic Disease OPD, Diastolic Abnormal",,,,,,,,,,,,,,
,"General Chronic Disease OPD, Blood Pressure",Blood pressure,,ConvSet,,,,"General Chronic Disease OPD, Systolic Data","General Chronic Disease OPD, Diastolic Data",,,,,,,,,,,,,,
,"General Chronic Disease OPD, Pulse Data",Pulse data,,Concept Details,,,,"General Chronic Disease OPD, Pulse","General Chronic Disease OPD, Pulse Abnormal",,,,,,,,,,,,,,
,"General Chronic Disease OPD, RR Data",RR data,,Concept Details,,,,"General Chronic Disease OPD, RR","General Chronic Disease OPD, RR Abnormal",,,,,,,,,,,,,,
,"General Chronic Disease OPD, SAT Data",SAT data,,Concept Details,,,,"General Chronic Disease OPD, SAT","General Chronic Disease OPD, SAT Abnormal",,,,,,,,,,,,,,
,"General Chronic Disease OPD, Temperature Data",Temperature data,,Concept Details,,,,"General Chronic Disease OPD, Temperature","General Chronic Disease OPD, Temperature Abnormal",,,,,,,,,,,,,,
,"General Chronic Disease OPD, Pulse Details",Pulse details,,ConvSet,,,,"General Chronic Disease OPD, Pulse Data",,,,,,,,,,,,,,,
,"General Chronic Disease OPD, RR Details",RR details,,ConvSet,,,,"General Chronic Disease OPD, RR Data",,,,,,,,,,,,,,,
,"General Chronic Disease OPD, SAT Details",SAT details,,ConvSet,,,,"General Chronic Disease OPD, SAT Data",,,,,,,,,,,,,,,
,"General Chronic Disease OPD, Temperature Details",Temperature details,,ConvSet,,,,"General Chronic Disease OPD, Temperature Data",,,,,,,,,,,,,,,
,General Chronic Disease OPD,General Chronic Disease OPD,,Misc,,,,"General Chronic Disease OPD, Chief Complaint","General Chronic Disease OPD, Chronic Disease Diagnosis","General Chronic Disease OPD, HPI","General Chronic Disease OPD, PMH / PSH","General Chronic Disease OPD, SH","General Chronic Disease OPD, Medications","General Chronic Disease OPD, Blood Pressure","General Chronic Disease OPD, Pulse Details","General Chronic Disease OPD, RR Details","General Chronic Disease OPD, SAT Details","General Chronic Disease OPD, Temperature Details","General Chronic Disease OPD, Physical Examination Details","General Chronic Disease OPD, Investigations","General Chronic Disease OPD, Assessment / Plan","General Chronic Disease OPD, Counseling","General Chronic Disease OPD, Followup"
