uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6
,5-FU,,Misc,N/A,5-FU,,,,,,,,,,,
,AC,,Misc,N/A,AC,,,,,,,,,,,
,Active Surveillance,,Misc,N/A,Active Surveillance,,,,,,,,,,,
,Adenocarcinoma,,Misc,N/A,Adenocarcinoma,,,,,,,,,,,
,Adjuvant,,Misc,N/A,Adjuvant,,,,,,,,,,,
,Alcohol Abuse,,Misc,N/A,,,,,,,,,,,,
,Articular,,Misc,N/A,Articular,,,,,,,,,,,
,Bilateral,,Misc,N/A,Bilateral,,,,,,,,,,,
,Body of Stomach,,Misc,N/A,Body of Stomach,,,,,,,,,,,
,Borderline Lepromatous,,Misc,N/A,BL,,,,,,,,,,,
,Borderline Tuberculoid,,Misc,N/A,BT,,,,,,,,,,,
,Carboplatin/Paclitaxel,,Misc,N/A,Carboplatin/Paclitaxel,,,,,,,,,,,
,Chemotherapy,,Misc,N/A,Chemotherapy,,,,,,,,,,,
,Cisplatin,,Misc,N/A,Cisplatin,,,,,,,,,,,
,Combination of all,,Misc,N/A,Combination of all,,,,,,,,,,,
,Concurrent,,Misc,N/A,Concurrent,,,,,,,,,,,
,Curative,,Misc,N/A,Curative,,,,,,,,,,,
,Cutaneous,,Misc,N/A,Cutaneous,,,,,,,,,,,
,Cyclophosphamide,,Misc,N/A,Cyclophosphamide,,,,,,,,,,,
,Death,,Misc,N/A,Death,,,,,,,,,,,
,Death During Treatment,,Misc,N/A,Death During Treatment,,,,,,,,,,,
,Deteriorated,,Misc,N/A,D,,,,,,,,,,,
,Diarrhea for 2 weeks ,,Misc,N/A,Diarrhea for 2 weeks ,,,,,,,,,,,
,Distal Esophagus,,Misc,N/A,Distal Esophagus,,,,,,,,,,,
,Do Not Know,,Misc,N/A,Do Not Know,,,,,,,,,,,
,Doxorubicin,,Misc,N/A,Doxorubicin,,,,,,,,,,,
,Early,,Misc,N/A,Early,,,,,,,,,,,
,ER-,,Misc,N/A,ER-,,,,,,,,,,,
,ER+,,Misc,N/A,ER+,,,,,,,,,,,
,Esophagectomy,,Misc,N/A,Esophagectomy,,,,,,,,,,,
,Extrapulmonary,,Misc,N/A,Extrapulmonary,,,,,,,,,,,
,Fixed,,Misc,N/A,Fixed,,,,,,,,,,,
,Fixed/matted,,Misc,N/A,Fixed/matted,,,,,,,,,,,
,Flat,,Misc,N/A,Flat,,,,,,,,,,,
,FNA,,Misc,N/A,FNA,,,,,,,,,,,
,Fundus of Stomach,,Misc,N/A,Fundus of Stomach,,,,,,,,,,,
,Ganja,,Misc,N/A,,,,,,,,,,,,
,Gastrectomy,,Misc,N/A,Gastrectomy,,,,,,,,,,,
,Gastro-esophageal Junction,,Misc,N/A,Gastro-esophageal Junction,,,,,,,,,,,
,Genital,,Misc,N/A,Genital,,,,,,,,,,,
,GI,,Misc,N/A,GI,,,,,,,,,,,
,Good Condition,,Misc,N/A,Good Condition,,,,,,,,,,,
,Gudakhu,,Misc,N/A,,,,,,,,,,,,
,Healthy,,Misc,N/A,Healthy,,,,,,,,,,,
,HER2 FISH-,,Misc,N/A,HER2 FISH-,,,,,,,,,,,
,HER2 FISH+,,Misc,N/A,HER2 FISH+,,,,,,,,,,,
,HER2 IHC-,,Misc,N/A,HER2 IHC-,,,,,,,,,,,
,HER2 IHC+,,Misc,N/A,HER2 IHC+,,,,,,,,,,,
,Histoid,,Misc,N/A,Histoid,,,,,,,,,,,
,Improved,,Misc,N/A,I,,,,,,,,,,,
,Intestinal,,Misc,N/A,Intestinal,,,,,,,,,,,
,Invasive Ductal Carcinoma,,Misc,N/A,Invasive Ductal Carcinoma,,,,,,,,,,,
,Invasive Lobular Carcinoma,,Misc,N/A,Invasive Lobular Carcinoma,,,,,,,,,,,
,Left Axillary,,Misc,N/A,Left Axillary,,,,,,,,,,,
,Left Side,,Misc,N/A,Left Side,,,,,,,,,,,
,Lepromatous,,Misc,N/A,LL,,,,,,,,,,,
,Liver,,Misc,N/A,Liver,,,,,,,,,,,
,Locally Advanced,,Misc,N/A,Locally Advanced,,,,,,,,,,,
,Locally Advanced Unresectable Disease,,Misc,N/A,Locally Advanced Unresectable Disease,,,,,,,,,,,
,Lost of Follow Up,,Misc,N/A,L,,,,,,,,,,,
,Lung,,Misc,N/A,Lung,,,,,,,,,,,
,Lymph Node,,Misc,N/A,Lymph Node,,,,,,,,,,,
,M0 Metastatic Stage,,Misc,N/A,M0,,,,,,,,,,,
,M1 Metastatic Stage,,Misc,N/A,M1,,,,,,,,,,,
,Meningeal,,Misc,N/A,Meningeal,,,,,,,,,,,
,Metastatic,,Misc,N/A,Metastatic,,,,,,,,,,,
,Metastatic Disease,,Misc,N/A,Metastatic Disease,,,,,,,,,,,
,Metastatic Disease (Stage IV),,Misc,N/A,Metastatic Disease (Stage IV),,,,,,,,,,,
,Midspectrum Borderline,,Misc,N/A,BB,,,,,,,,,,,
,Mobile,,Misc,N/A,Mobile,,,,,,,,,,,
