uuid,name,description,class,datatype,shortname,reference-term-code,reference-term-relationship,reference-term-source,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,answer.14,answer.15,answer.16
,"HCT, Pre-test Counseling",,Misc,Boolean,Pre-test Counseling,,,,,,,,,,,,,,,,,,,,
,"HCT, Tested before",,Misc,Boolean,HIV Tested Before,,,,,,,,,,,,,,,,,,,,
,"HCT, Result if tested",,Misc,Coded,"If tested, Result",,,,,Negative,Positive,,,,,,,,,,,,,,
,"HCT, Reason for test",,Misc,Coded,Medical Reason for Test,,,,,STI,TB,Pregnancy,HIV/AIDS Symptoms,None,Others,,,,,,,,,,
,"HCT, Other reason for test",,Misc,Text,Others(Specify),,,,,,,,,,,,,,,,,,,,
,"HCT, Pregnancy Status",,Misc,Coded,Pregnancy Status,,,,,Yes,No,DK,Not Applicable,,,,,,,,,,,,
,"HCT, Risk Group",,Misc,Coded,Risk Group,,,,,Sex Worker,People Who Inject Drugs,MSM & TG,Blood or Organ Recipient,Client of Sex Worker,Migrant,Spouse/Partner of Migrant,Others,,,,,,,,
,"HCT, Other Risk Group",,Misc,Text,Others(Specify),,,,,,,,,,,,,,,,,,,,
,"HCT, Informed Consent",,Misc,Boolean,Informed Consent,,,,,,,,,,,,,,,,,,,,
,"HCT, Initial",,Misc,Coded,Initial,,,,,Negative,Positive,Not Applicable,,,,,,,,,,,,,
,"HCT, Confirmatory",,Misc,Coded,Confirmatory,,,,,Negative,Positive,Not Applicable,,,,,,,,,,,,,
,"HCT, Post-test Counseling",,Misc,Boolean,Post-test Counseling,,,,,,,,,,,,,,,,,,,,
,"HCT, Result Recieved",,Misc,Boolean,Result Recieved,,,,,,,,,,,,,,,,,,,,
,"HCT, Result",,Misc,Coded,Test Result,,,,,Negative,Positive,,,,,,,,,,,,,,
,"HCT, Partner Counseling",,Misc,Boolean,Partner Counseling,,,,,,,,,,,,,,,,,,,,
,"HCT, WHO Staging",,Misc,Coded,WHO Staging,,,,,Asymptomatic,Mild Symptoms,Severe Symptoms,,,,,,,,,,,,,
,"HCT, CD4 Count",,Misc,Numeric,CD4 Count,,,,,,,,,,,,,,,,,,,,
,"HCT, Referral",,Misc,Coded,Referral,,,,,Referral In,Referral Out,,,,,,,,,,,,,,
