uuid,name,shortname,description,class,reference-term-code,reference-term-relationship,reference-term-source,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,child.11,child.12,child.13,child.14,child.15,child.16,child.17,child.18,child.19,child.20
,"HIVTC, Mothers ARV Regimen Details",Mothers ARV Regimen Details,,Misc,,,,"HIVTC, Mothers ARV Regimen","HIVTC, Mothers ARV Regimen Start Date",,,,,,,,,,,,,,,,,,
,"HIVTC, Ealry Infant Diagnosis",Early Infant Diagnosis,,Misc,,,,"HIVTC, Early Infant Diagnosis Age Group","HIVTC, HIV diagnosed date","HIVTC, HIV diagnosis result",,,,,,,,,,,,,,,,,
,"HIVTC, HIV Exposed Baby",HIV Exposed Baby,,Misc,,,,"HIVTC, Ealry Infant Diagnosis","HIVTC, CPT Prophylaxis start date after 6wks",,,,,,,,,,,,,,,,,,
,"HIVTC, For PMTCT Cases",For PMTCT Cases,,Misc,,,,"HIVTC, Mothers ARV Regimen Details","HIVTC, HIV Exposed Baby",,,,,,,,,,,,,,,,,,
,"HIVTC, TB assessment at the time of Enrollment in HIV Care",TB assessment at the time of Enrollment in HIV Care,,Misc,,,,"HIVTC, Smear TB assessment at enrollment","HIVTC, Culture TB assessment at enrollment","HIVTC, Chest X-Ray TB assessment at enrollment","HIVTC, Gene Xpert TB assessment at enrollment",,,,,,,,,,,,,,,,
,"HIVTC, History of TB",History of TB,,Misc,,,,"HIVTC, TB Type","HIVTC, TB Treatment start date","HIVTC, TB Regimen","HIVTC, TB Treatment Outcome",,,,,,,,,,,,,,,,
,"HIVTC, History of Other Chronic Illness",History of Other Chronic Illness,,Misc,,,,"HIVTC, Other chronic diseases","HIVTC, Other chronic disease drugs",,,,,,,,,,,,,,,,,,
,"HIVTC, Transferred in",Transferred in,,Misc,,,,"HIVTC, Transferred in from","HIVTC, Date of transferred in","HIVTC, Regimen when transferred in",,,,,,,,,,,,,,,,,
,"HIVTC, Transferred out",Transferred out,,Misc,,,,"HIVTC, Transferred out to","HIVTC, Date of transferred out","HIVTC, Regimen when transferred out",,,,,,,,,,,,,,,,,
,"HIVTC, HIV Care History Intake",HIV Care History,,Misc,,,,"HIVTC, HIV +ve diagnosed date","HIVTC, HIV care enrolled date","HIVTC, HIV care WHO Staging","HIVTC, HIV care CPT started","HIVTC, HIV care CPT start date","HIVTC, HIV care IPT started","HIVTC, HIV care IPT start date","HIVTC, TB assessment at the time of Enrollment in HIV Care","HIVTC, History of TB","HIVTC, History of Other Chronic Illness","HIVTC, ART eligible date","HIVTC, ART start date","HIVTC, ART Regimen","HIVTC, Transferred in","HIVTC, Transferred out",,,,,
,"HIVTC, HIV Care History Progress",HIV Care History,,Misc,,,,"HIVTC, IPT Follow-up","HIVTC, Transferred out",,,,,,,,,,,,,,,,,,
,"HIVTC, Treatment Switched",Treatment Switched,,Misc,,,,"HIVTC, Treatment switched date","HIVTC, Regimen when treatment switched","HIVTC, Reason for treatment switch",,,,,,,,,,,,,,,,,
,"HIVTC, Treatment Substituted",Treatment Substituted,,Misc,,,,"HIVTC, Treatment substituted date","HIVTC, Regimen when treatment substituted","HIVTC, Reason for treatment substitute",,,,,,,,,,,,,,,,,
,"HIVTC, HIV Care and Treatment History",HIV Care and Treatment History,,Misc,,,,"HIVTC, Opportunistic Infection Diagnosis","HIVTC, Other Opportunistic Infection Diagnosis","HIVTC, Opportunistic Infection Treatment","HIVTC, TB Screened",,,,,,,,,,,,,,,,
,"HIVTC, ART History",ART History,,Misc,,,,"HIVTC, ART current status","HIVTC, ART Treatment Adherence","HIVTC, Need Family Planning assessment","HIVTC, If not FP why",,,,,,,,,,,,,,,,
,HIV Treatment and Care Intake Template,HIV Treatment and Care - Intake,,Misc,,,,"HIVTC, Risk Group","HIVTC, Other Risk Group","HIVTC, Entry Point","HIVTC, Other Entry Point","HIVTC, For PMTCT Cases","HIVTC, HIV Care History Intake","HIVTC, Viral Load","HIVTC, Viral Load date",,,,,,,,,,,,
,HIV Treatment and Care Progress Template,HIV Treatment and Care - Progress,,Misc,,,,"HIVTC, HIV Care History Progress","HIVTC, Viral Load","HIVTC, Viral Load date","HIVTC, Treatment Switched","HIVTC, Treatment Substituted","HIVTC, HIV Care and Treatment History","HIVTC, ART History","HIVTC, ART cohort","HIVTC, Date of Death","HIVTC, Mortality coding",,,,,,,,,,
