uuid,name,shortname,description,class,reference-term-code,reference-term-relationship,reference-term-source,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,child.11,child.12,child.13,child.14,child.15,child.16,child.17,child.18,child.19,child.20
,"HIVTC, Mothers ARV Regimen Details",Mothers ARV Regimen Details,,Misc,,,,"HIVTC, Mothers ARV Regimen","HIVTC, Mothers ARV Regimen Start Date",,,,,,,,,,,,,,,,,,
,"HIVTC, HIV diagnosed within 2m",Within 2months,,Misc,,,,"HIVTC, HIV diagnosed date within 2m","HIVTC, HIV diagnosis result within 2m",,,,,,,,,,,,,,,,,,
,"HIVTC, HIV diagnosed 2-9m",2-9months,,Misc,,,,"HIVTC, HIV diagnosed date 2-9m","HIVTC, HIV diagnosis result 2-9m",,,,,,,,,,,,,,,,,,
,"HIVTC, HIV diagnosed 9-18m",9-18months,,Misc,,,,"HIVTC, HIV diagnosed date 9-18m","HIVTC, HIV diagnosis result 9-18m",,,,,,,,,,,,,,,,,,
,"HIVTC, HIV diagnosed after 18m",Anybody after 18months,,Misc,,,,"HIVTC, HIV diagnosed date after 18m","HIVTC, HIV diagnosis result after 18m",,,,,,,,,,,,,,,,,,
,"HIVTC, Ealry Infant Diagnosis",Early Infant Diagnosis,,Misc,,,,"HIVTC, HIV diagnosed within 2m","HIVTC, HIV diagnosed 2-9m","HIVTC, HIV diagnosed 9-18m","HIVTC, HIV diagnosed after 18m",,,,,,,,,,,,,,,,
,"HIVTC, HIV Exposed Baby",HIV Exposed Baby,,Misc,,,,"HIVTC, Ealry Infant Diagnosis","HIVTC, CPT Prophylaxis started date after 6wks",,,,,,,,,,,,,,,,,,
,"HIVTC, For PMTCT Cases",For PMTCT Cases,,Misc,,,,"HIVTC, Mothers ARV Regimen Details","HIVTC, HIV Exposed Baby",,,,,,,,,,,,,,,,,,
,"HIVTC, TB assessment at the time of Enrollment in HIV Care",TB assessment at the time of Enrollment in HIV Care,,Misc,,,,"HIVTC, Smear TB assessment at enrollment","HIVTC, Culture TB assessment at enrollment","HIVTC, Chest X-Ray TB assessment at enrollment","HIVTC, Gene Expert TB assessment at enrollment",,,,,,,,,,,,,,,,
,"HIVTC, History of TB",History of TB,,Misc,,,,"HIVTC, TB Type","HIVTC, TB Treatment started date","HIVTC, TB Regimen","HIVTC, TB Treatment Outcome",,,,,,,,,,,,,,,,
,"HIVTC, History of Other Chronic Illness",History of Other Chronic Illness,,Misc,,,,"HIVTC, Other chronic disease(s)","HIVTC, Other chronic disease drugs",,,,,,,,,,,,,,,,,,
,"HIVTC, Transferred in",Transferred in,,Misc,,,,"HIVTC, Transferred in from","HIVTC, Date of transferred in","HIVTC, Regimen when transferred in",,,,,,,,,,,,,,,,,
,"HIVTC, Transferred out",Transferred out,,Misc,,,,"HIVTC, Transferred out to","HIVTC, Date of transferred out","HIVTC, Regimen when transferred out",,,,,,,,,,,,,,,,,
,"HIVTC, HIV Care History Intake",HIV Care History,,Misc,,,,"HIVTC, HIV +ve diagnosed date","HIVTC, HIV care enrolled date","HIVTC, HIV care WHO Staging","HIVTC, HIV care CD4 count date","HIVTC, HIV care CD4 count","HIVTC, HIV care CPT started","HIVTC, HIV care CPT started date","HIVTC, HIV care IPT started","HIVTC, HIV care IPT started date","HIVTC, TB assessment at the time of Enrollment in HIV Care","HIVTC, History of TB","HIVTC, History of Other Chronic Illness","HIVTC, ART eligible date","HIVTC, ART start date","HIVTC, ART Regimen","HIVTC, Transferred in","HIVTC, Transferred out",,,
,"HIVTC, CD4 count weight height","CD4, Weight and Height",,Misc,,,,"HIVTC, CD4 count","HIVTC, CD4 count date","HIVTC, Height","HIVTC, Weight","HIVTC, Viral Load","HIVTC, Viral Load date",,,,,,,,,,,,,,
,"HIVTC, HIV Care History Progress",HIV Care History,,Misc,,,,"HIVTC, IPT Follow-up","HIVTC, Transferred in","HIVTC, Transferred out",,,,,,,,,,,,,,,,,
,"HIVTC, Treatment Switched",Treatment Switched,,Misc,,,,"HIVTC, Treatment switched date","HIVTC, Regimen when treatment switched","HIVTC, Reason for treatment switch",,,,,,,,,,,,,,,,,
,"HIVTC, Treatment Substituted",Treatment Substituted,,Misc,,,,"HIVTC, Treatment substituted date","HIVTC, Regimen when treatment substituted","HIVTC, Reason for treatment substitute",,,,,,,,,,,,,,,,,
,"HIVTC, HIV Care and Treatment History",HIV Care and Treatment History,,Misc,,,,"HIVTC, Opportunistic Infection Diagnosis","HIVTC, Other Opportunistic Infection Diagnosis","HIVTC, Opportunistic Infection Treatment","HIVTC, TB Screened",,,,,,,,,,,,,,,,
,"HIVTC, ART History",ART History,,Misc,,,,"HIVTC, ART current status","HIVTC, ART Treatment Adherence","HIVTC, Need FP assessment","HIVTV, If not FP why",,,,,,,,,,,,,,,,
,HIVTC Intake Template,HIV Treatment and Care – Intake,,Misc,,,,"HIVTC, Risk Group","HIVTC, Other Risk Group","HIVTC, Entry Point","HIVTC, Other Entry Point","HIVTC, For PMTCT Cases","HIVTC, HIV Care History Intake","HIVTC, CD4 count weight height",,,,,,,,,,,,,
,HIVTC Progress Template,HIV Treatment and Care – Progress,,Misc,,,,"HIVTC, HIV Care History Progress","HIVTC, CD4 count weight height","HIVTC, Treatment Switched","HIVTC, Treatment Substituted","HIVTC, HIV Care and Treatment History","HIVTC, ART History","HIVTC, ART cohort","HIVTC, Date of Death","HIVTC, Mortality coding",,,,,,,,,,,
