uuid,name,description,class,datatype,shortname,reference-term-code,reference-term-relationship,reference-term-source,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10
,"Hypertension, Last Visit Date",,Misc,Date,Last Visit Date,,,,,,,,,,,,,,
,"Hypertension, Previous Followup Location",,Misc,Text,Previous Followup Location,,,,,,,,,,,,,,
,"Hypertension, Diagnosis Status",,Misc,Coded,Diagnosis Status,,,,,No Previous Diagnosis,Confirmed Elsewhere,,,,,,,,
,"Hypertension, Date Confirmed",,Misc,Date,Date Confirmed,,,,,,,,,,,,,,
,"Hypertension, Hypertensive Emergency 12 Months",,Misc,Boolean,Hypertensive Emergency or Cardiac Hospitalization in 12 Months,,,,,,,,,,,,,,
,"Hypertension, Hypertensive Emergency Cause",,Misc,Coded,Hypertensive Emergency or Cardiac Hospitalization For,,,,,Hypertension,Congestive Heart Failure,Myocardiac Infraction,Chest Pain,,,,,,
,"Hypertension, EKG",,Misc,Text,EKG,,,,,,,,,,,,,,
,"Hypertension, Echocardiogram",,Misc,Text,Echocardiogram,,,,,,,,,,,,,,
,"Hypertension, Lipids",,Misc,Text,Lipids,,,,,,,,,,,,,,
,"Hypertension, Primary Hypertension","Poorly understood mechanism, but risk factors above",Misc,Text,Primary / Essential Hypertension,,,,,,,,,,,,,,
,"Hypertension, Secondary Hypertension",,Misc,Coded,Secondary Hypertension,,,,,Primary Renal Disease,Oral Contraceptives,Drug Induced,Pain Due To Other Illness,Endocrine Hypothyroidism,Hyperthyroidism,Hyperparathyroidism,Coarctation Of Aorta,Renovascular Disease,Obstructive Sleep Apnea
,"Hypertension, Smoking History",,Misc,Boolean,Smoking History,,,,,,,,,,,,,,
,"Hypertension, Smokes Packs Per Day",,Misc,Numeric,Smokes Packs Per Day,,,,,,,,,,,,,,
,"Hypertension, Number of years since smoking",,Misc,Numeric,Number of years since smoking,,,,,,,,,,,,,,
,"Hypertension, Alcohol Abuse",,Misc,Boolean,Alcohol Abuse,,,,,,,,,,,,,,
,"Hypertension, Alcohol Abuse Details",,Misc,Text,Alcohol Abuse Details,,,,,,,,,,,,,,
,"Hypertension, Current Home Medications",,Misc,Coded,Current Home Medications,,,,,HCTZ,Ace Inhibitor,Beta Blocker,Calcium CH Blocker,Nitroglycerin,Digoxin,,,,
