uuid,name,class,datatype,shortname,description,reference-term-code,reference-term-relationship,reference-term-source,synonym.1,answer.1,answer.2
,"Impatient Progress Note, Details",Misc,Text,Brief One liner,"(patient age, gender, presenting symptoms and presumed diagnosis):<br>
provide small free text box<br>",,,,,,
,"Impatient Progress Note, Events in 24 Hours",Misc,Text,Events in last 24 hours,,,,,,,
,"Impatient Progress Note, Patient Subjective / Concerns",Misc,Text,Patient Subjective / Concerns,,,,,,,
,"Impatient Progress Note, Systolic",Misc,Numeric,Systolic,,,,,,,
,"Impatient Progress Note, Systolic Abnormal",Abnormal,Boolean,Systolic Abnormal,,,,,,,
,"Impatient Progress Note, Diastolic",Misc,Numeric,Diastolic,,,,,,,
,"Impatient Progress Note, Diastolic Abnormal",Abnormal,Boolean,Diastolic Abnormal,,,,,,,
,"Impatient Progress Note, Pulse",Misc,Numeric,Pulse,,,,,,,
,"Impatient Progress Note, Pulse Abnormal",Abnormal,Boolean,Pulse Abnormal,,,,,,,
,"Impatient Progress Note, RR",Misc,Numeric,RR,,,,,,,
,"Impatient Progress Note, RR Abnormal",Abnormal,Boolean,RR Abnormal,,,,,,,
,"Impatient Progress Note, SAT",Misc,Numeric,SAT,,,,,,,
,"Impatient Progress Note, SAT Abnormal",Abnormal,Boolean,SAT Abnormal,,,,,,,
,"Impatient Progress Note, Temperature",Misc,Numeric,Temperature,,,,,,,
,"Impatient Progress Note, Temperature Abnormal",Abnormal,Boolean,Temperature Abnormal,,,,,,,
,"Impatient Progress Note, Physical Examination Details",Misc,Text,Physical Examination Details,,,,,,,
,"Impatient Progress Note, Other Imaging / Microbiology",Misc,Text,Other Imaging / Microbiology,,,,,,,
,"Impatient Progress Note, Assessment and Plan",Misc,Text,Assessment and Plan,,,,,,,
,"Impatient Progress Note, Assessment and Plan Reviewed",Misc,Boolean,Assessment and Plan reviewed,,,,,,,
,"Impatient Progress Note, Provider Name",Misc,Text,Provider Name,,,,,,,
