name,description,class,datatype,shortname,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6
KS_DST – Final Diagnosis & Staging – Pathology report date,,Diagnosis,Date,Pathology report date,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Institution issuing pathology report – BHW,,Misc,N/A,BWH,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Institution issuing pathology report – Butaro,,Misc,N/A,Butaro,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Institution issuing pathology report – KFH,,Misc,N/A,KFH,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Institution issuing pathology report – CHUK,,Misc,N/A,CHUK,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Institution issuing pathology report – CHUB,,Misc,N/A,CHUB,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Institution issuing pathology report – Other,,Misc,Text,Other,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Institution issuing pathology report,,Misc,Coded,Institution issuing pathology report,,,,,,KS_DST – Final Diagnosis & Staging – Institution issuing pathology report – BHW,KS_DST – Final Diagnosis & Staging – Institution issuing pathology report – Butaro,KS_DST – Final Diagnosis & Staging – Institution issuing pathology report – KFH,KS_DST – Final Diagnosis & Staging – Institution issuing pathology report – CHUK,KS_DST – Final Diagnosis & Staging – Institution issuing pathology report – CHUB,
KS_DST – Final Diagnosis & Staging – Pathological Diagnosis – Kaposi's Sarcoma,,Misc,Boolean,Pathological Diagnosis - Kaposi's Sarcoma,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – HIV Status – Positive,,Misc,N/A,Positive,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – HIV Status – Negative,,Misc,N/A,Negative,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – HIV Status,,Misc,Coded,HIV Status,,,,,,KS_DST – Final Diagnosis & Staging – HIV Status – Positive,KS_DST – Final Diagnosis & Staging – HIV Status – Negative,,,,
KS_DST – Final Diagnosis & Staging – HIV Status – Diagnosis Date,,Misc,Date,Diagnosis Date,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – CD4 Count – Text,,Misc,Text,CD4 Count,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – CD4 Count – Test Date,,Misc,Date,Test Date,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – ARV Status – On ART,,Misc,Boolean,On ART,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – ARV Status – On ART – Start Date,,Misc,Date,Start Date,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – ARV Status – On ART – Regimen ,,Misc,Text,Regimen: [Code ART Regimen] ,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – ARV Status – Will Start ART,,Misc,Boolean,Will Start ART,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – ARV Status – Will Start ART – Planned Start Date,,Misc,Date,Planned Start Date,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – ARV Status – Will Start ART – Regimen ,,Misc,Text,Regimen:,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – ARV Status – Not on ART,,Misc,Boolean,Not on ART,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – ARV Status – Not on ART - Reason,,Misc,Text,Reason,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Number of Skin Lessions,,Misc,Text,Number of Skin Lessions,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Size of largest Skin Lession,,Misc,Text,Size of largest Skin Lessions,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Oral Lession – Flat,,Misc,N/A,Flat,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Oral Lession – Raised,,Misc,N/A,Raised,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Oral Lession,,Misc,Coded,Oral Lession,,,,,,KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Oral Lession – Flat,KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Oral Lession – Raised,,,,
KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Palpable Lymph Nodes – Inguinal,,Misc,Boolean,Inguinal,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Palpable Lymph Nodes – Other,,Misc,Text,Other,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Edema – Indurated,,Misc,N/A,Indurated,,,,,,,,,,,
KS_DST – Final Diagnosis & Staging – Confirmed Diagnosis Details – Edema – Hard,,Misc,N/A,Hard,,,,,,,,,,,
