uuid,name,shortname,description,class,reference-term-source,reference-term-code,reference-term-relationship,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,child.11,child.12,child.13,child.14,child.15,child.16,child.17,child.18,child.19,child.20,child.21,child.22,child.23,child.24,child.25,child.26
,"KS_DST, Pathology",Pathology,,Misc,,,,"KS_DST, Pathology report date","KS_DST, Pathological Diagnosis, Kaposi's Sarcoma",,,,,,,,,,,,,,,,,,,,,,,,
,"KS_DST, HIV Status",HIV Status,,Misc,,,,"KS_DST, HIV Positive","KS_DST, HIV conformed date",,,,,,,,,,,,,,,,,,,,,,,,
,"KS_DST, CD4 Count set",CD4 Count,,Misc,,,,"KS_DST, CD4 Count","KS_DST, CD4 Count, Test Date",,,,,,,,,,,,,,,,,,,,,,,,
,"KS_DST, ARV Status",ARV status,,Misc,,,,"KS_DST, On ART","KS_DST, On ART, Start Date","KS_DST, On ART, Regimen ","KS_DST, Will Start ART","KS_DST, Will Start ART, Planned Start Date","KS_DST, Will Start ART, Regimen ","KS_DST, Not on ART","KS_DST, Not on ART, Reason",,,,,,,,,,,,,,,,,,
,"KS_DST, Confirmed diagnosis details",Confirmed diagnosis details,,Misc,,,,"KS_DST, Number of Skin Lessions","KS_DST, Size of largest Skin Lession","KS_DST, Oral Lession","KS_DST, Palpable Lymph Nodes, Inguinal","KS_DST, Edema, Indurated/Hard","KS_DST, Probable Visceral Involvement","KS_DST, Systemic Illness","KS_DST, HIV related illness",,,,,,,,,,,,,,,,,,
,"KS_DST, Imaging studies",Imaging studies,,Misc,,,,"KS_DST, Chest X-Ray","KS_DST, Chest X-Ray, Study date","KS_DST, Abdominal  / Pelvic Ultrasound","KS_DST, Abdominal  / Pelvic Ultrasound, Study date","KS_DST, CT Scan of Chest / Abdomen / Pelvis","KS_DST, CT Scan of Chest / Abdomen / Pelvis, Study date","KS_DST, Imaging studies, Other","KS_DST, Imaging Assessment & Findings",,,,,,,,,,,,,,,,,,
,"KS_DST, Confirmed disease stage",Confirmed disease stage,,Misc,,,,"KS_DST, ECOG Functional Status","KS_DST, TIS Staging, T","KS_DST, TIS Staging, I","KS_DST, TIS Staging, S","KS_DST, ACTG Clustered Stage",,,,,,,,,,,,,,,,,,,,,
,"KS_DST, Treatment plan",Treatment plan,,Misc,,,,"KS_DST, Treatment  Intent","KS_DST, Chemotherapy Planned","KS_DST, Chemotherapy, Regimen - Paclitaxel","KS_DST, Regimen - Other","KS_DST, Chemotherapy Cycles","KS_DST, Chemotherapy Planned first cycle","KS_DST, Chemotherapy Planned regimen end ","KS_DST, Chemotherapy Planned changes to regimen",,,,,,,,,,,,,,,,,,
,"KS_DST, Radiation Therapy",Radiation Therapy,,Misc,,,,"KS_DST, Radiation Therapy, Planned","KS_DST, Radiation Therapy, Planned Start Date",,,,,,,,,,,,,,,,,,,,,,,,
,KS_DST,KS_DST,,Misc,,,,"KS_DST, Pathology","KS_DST, HIV Status","KS_DST, CD4 Count set","KS_DST, ARV Status","KS_DST, Confirmed diagnosis details","KS_DST, Imaging studies","KS_DST, Confirmed disease stage","KS_DST, Treatment plan","KS_DST, Radiation Therapy","KS_DST, Oncologist","KS_DST, Surgeon","KS_DST, Treatment plan confirmed by",,,,,,,,,,,,,,
