uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,reference-term-source,reference-term-code,reference-term-relationship
,"Kalaazar, Parents Name",,Misc,Text,Parents name,,,,,,,,,,,,,
,"Kalaazar, Contact number",,Misc,Numeric,Contact number,,,,,,,,,,,,,
,"Kalaazar, Receptivity",,Misc,Coded,Receptivity,,,High Risk,Medium Risk,Low Risk,Normal,,,,,,,
,"Kalaazar, Source",,Misc,Coded,Source,,,ACD - Active Case Detection,PCD - Passive Case Detection,,,,,,,,,
,"Kalaazar, Pregnant",,Misc,Boolean,Pregnant,,,,,,,,,,,,,
,"Kalaazar, KATF (Kala-azar Treatment Failure Case)",,Misc,Boolean,KATF ( Kala-azar treatment failure case),,,,,,,,,,,,,
,"Kalaazar, Classification",,Misc,Coded,Classification,,,Indigenous,Imported,,,,,,,,,
,"Kalaazar, Treatment Start Date",,Misc,Date,Treatment start date,,,,,,,,,,,,,
,"Kalaazar, Drug regimen",,Misc,Text,Drug regimen,,,,,,,,,,,,,
,"Kalaazar, Kalaazar Patients Follow Up Test Ordered",,Misc,Coded,Kalaazar Patients Follow Up Test Ordered,,,Positive,Negative,,,,,,,,,
,"Kalaazar, Death Date",,Misc,Date,Death Date,,,,,,,,,,,,,
,"Kalaazar, Remarks",,Misc,Text,Remarks,,,,,,,,,,,,,
