uuid,name,shortname,description,class,reference-term-source,reference-term-code,reference-term-relationship,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,child.11,child.12,child.13,child.14,child.15,child.16,child.17,child.18,child.19,child.20,child.21,child.22,child.23,child.24,child.25,child.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Kaposis Sarcoma, HIV Status",HIV Status,,Misc,,,,"Kaposis Sarcoma, HIV Positive","Kaposis Sarcoma, HIV Conformed Date",,,,,,,,,,,,,,,,,,,,,,,,
,"Kaposis Sarcoma, CD4 Count Set",CD4 Count,,Misc,,,,"Kaposis Sarcoma, CD4 Count","Kaposis Sarcoma, CD4 Count Test Date",,,,,,,,,,,,,,,,,,,,,,,,
,"Kaposis Sarcoma, ART Status",ART Status,,Misc,,,,"Kaposis Sarcoma, On ART","Kaposis Sarcoma, ART Start Date","Kaposis Sarcoma, ART Regimen","Kaposis Sarcoma, Will Start ART","Kaposis Sarcoma, ART Planned Start Date","Kaposis Sarcoma, ART Start Regimen ","Kaposis Sarcoma, Not on ART","Kaposis Sarcoma, Reason for Not on ART",,,,,,,,,,,,,,,,,,
,"Kaposis Sarcoma, Confirmed Diagnosis Details",Confirmed Diagnosis Details,,Misc,,,,"Kaposis Sarcoma, Number of Skin Lesions","Kaposis Sarcoma, Size of Largest Skin Lesion","Kaposis Sarcoma, Oral Lesion","Kaposis Sarcoma, Inguinal Palpable Lymph Nodes","Kaposis Sarcoma, Indurated/Hard Edema","Kaposis Sarcoma, Probable Visceral Involvement","Kaposis Sarcoma, Systemic Illness","Kaposis Sarcoma, HIV Related Illness",,,,,,,,,,,,,,,,,,
,"Kaposis Sarcoma, Imaging Studies",Imaging Studies,,Misc,,,,"Kaposis Sarcoma, Chest X-Ray","Kaposis Sarcoma, Chest X-Ray Study date","Kaposis Sarcoma, Abdominal  / Pelvic Ultrasound","Kaposis Sarcoma, Abdominal  / Pelvic Ultrasound Study date","Kaposis Sarcoma, CT Scan of Chest / Abdomen / Pelvis","Kaposis Sarcoma, CT Scan of Chest / Abdomen / Pelvis Study date","Kaposis Sarcoma, Other Imaging Studies","Kaposis Sarcoma, Imaging Assessment & Findings",,,,,,,,,,,,,,,,,,
,"Kaposis Sarcoma, Confirmed Disease Stage",Confirmed Disease Stage,,Misc,,,,"Kaposis Sarcoma, ECOG Functional Status","Kaposis Sarcoma, T TIS Staging","Kaposis Sarcoma, I TIS Staging","Kaposis Sarcoma, S TIS Staging","Kaposis Sarcoma, ACTG Clustered Stage",,,,,,,,,,,,,,,,,,,,,
,"Kaposis Sarcoma, Chemotherapy",Chemotherapy,,Misc,,,,"Kaposis Sarcoma, Chemotherapy Planned","Kaposis Sarcoma, Paclitaxel Regimen for Chemotherapy ","Kaposis Sarcoma, Other Regimen","Kaposis Sarcoma, Chemotherapy Cycles","Kaposis Sarcoma, Chemotherapy Planned First Cycle Date","Kaposis Sarcoma, Chemotherapy Planned Regimen End Date","Kaposis Sarcoma, Chemotherapy Planned Changes to Regimen",,,,,,,,,,,,,,,,,,,
,"Kaposis Sarcoma, Radiation Therapy",Radiation Therapy,,Misc,,,,"Kaposis Sarcoma, Radiation Therapy Planned","Kaposis Sarcoma, Radiation Therapy Planned Start Date",,,,,,,,,,,,,,,,,,,,,,,,
,"Kaposis Sarcoma, Treatment Plan",Treatment Plan,,Misc,,,,"Kaposis Sarcoma, Treatment Intent","Kaposis Sarcoma, Chemotherapy","Kaposis Sarcoma, Radiation Therapy",,,,,,,,,,,,,,,,,,,,,,,
,Kaposis Sarcoma Template,Kaposis Sarcoma,,Misc,,,,"Kaposis Sarcoma, Pathology Report Date","Kaposis Sarcoma, HIV Status","Kaposis Sarcoma, CD4 Count Set","Kaposis Sarcoma, ART Status","Kaposis Sarcoma, Confirmed Diagnosis Details","Kaposis Sarcoma, Imaging Studies","Kaposis Sarcoma, Confirmed Disease Stage","Kaposis Sarcoma, Chemotherapy","Kaposis Sarcoma, Radiation Therapy","Kaposis Sarcoma, Treatment Plan","Kaposis Sarcoma, Oncologist","Kaposis Sarcoma, Surgeon","Kaposis Sarcoma, Treatment Plan Confirmed by",,,,,,,,,,,,,
