uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6
,"KS_DST, Pathology report date",,Diagnosis,Date,Pathology report date,,,,,,,,,,,
,"KS_DST, Pathological Diagnosis, Kaposi's Sarcoma",,Misc,Boolean,Pathological Diagnosis - Kaposi's Sarcoma,,,,,,,,,,,
,"KS_DST, HIV Positive",,Misc,Boolean,HIV Positive,,,,,,,,,,,
,"KS_DST, HIV conformed date",,Misc,Date,Date confirmed,,,,,,,,,,,
,"KS_DST, CD4 Count",,Misc,Text,CD4 Count,,,,,,,,,,,
,"KS_DST, CD4 Count, Test Date",,Misc,Date,Test Date,,,,,,,,,,,
,"KS_DST, On ART",,Misc,Boolean,On ART,,,,,,,,,,,
,"KS_DST, On ART, Start Date",,Misc,Date,Start Date,,,,,,,,,,,
,"KS_DST, On ART, Regimen ",,Misc,Text,Regimen: [Code ART Regimen] ,,,,,,,,,,,
,"KS_DST, Will Start ART",,Misc,Boolean,Will Start ART,,,,,,,,,,,
,"KS_DST, Will Start ART, Planned Start Date",,Misc,Date,Planned Start Date,,,,,,,,,,,
,"KS_DST, Will Start ART, Regimen ",,Misc,Text,Regimen:,,,,,,,,,,,
,"KS_DST, Not on ART",,Misc,Boolean,Not on ART,,,,,,,,,,,
,"KS_DST, Not on ART, Reason",,Misc,Text,Reason,,,,,,,,,,,
,"KS_DST, Number of Skin Lessions",,Misc,Text,Number of Skin Lessions,,,,,,,,,,,
,"KS_DST, Size of largest Skin Lession",,Misc,Text,Size of largest Skin Lessions,,,,,,,,,,,
,"KS_DST, Oral Lession",,Misc,Coded,Oral Lession,,,,,,Flat,Raised,,,,
,"KS_DST, Palpable Lymph Nodes, Inguinal",,Misc,Boolean,Palpable Lymph Nodes – Inguinal,,,,,,,,,,,
,"KS_DST, Edema, Indurated/Hard",,Misc,Boolean,Edema – Indurated/Hard,,,,,,,,,,,
,"KS_DST, Probable Visceral Involvement",,Misc,Coded,Probable Visceral Involvement,,,,,,Lung,Liver,"Probable Visceral Involvement, GI",,,
,"KS_DST, Systemic Illness",,Misc,Coded,Systemic Illness,,,,,,Night Sweats,Unexplained fever,Diarrhea x 2 weeks ,Reported weight loss > 10%,,
,"KS_DST, HIV related illness",,Misc,Coded,Other HIV related illness,,,,,,Thrust / Yeast,Related Neuropathy,Related Lymphoma,,,
,"KS_DST, Chest X-Ray",,Misc,Boolean,Chest X-Ray,,,,,,,,,,,
,"KS_DST, Chest X-Ray, Study date",,Misc,Date,Study date,,,,,,,,,,,
,"KS_DST, Abdominal  / Pelvic Ultrasound",,Misc,Boolean,Abdominal  / Pelvic Ultrasound,,,,,,,,,,,
,"KS_DST, Abdominal  / Pelvic Ultrasound, Study date",,Misc,Date,Study date,,,,,,,,,,,
,"KS_DST, CT Scan of Chest / Abdomen / Pelvis",,Misc,Boolean,CT Scan of Chest / Abdomen / Pelvis,,,,,,,,,,,
,"KS_DST, CT Scan of Chest / Abdomen / Pelvis, Study date",,Misc,Date,Study date,,,,,,,,,,,
,"KS_DST, Imaging studies, Other",,Misc,Text,Other,,,,,,,,,,,
,"KS_DST, Imaging Assessment & Findings",,Misc,Text,Imaging Assessment & Findings,,,,,,,,,,,
,"KS_DST, ECOG Functional Status",,Misc,Text,ECOG Functional Status,,,,,,,,,,,
,"KS_DST, TIS Staging, T",,Misc,Coded,T,,,,,,"TIS Staging, T - 0","TIS Staging, T – 1",,,,
,"KS_DST, TIS Staging, I",,Misc,Coded,I,,,,,,"TIS Staging, I - 0","TIS Staging, I – 1",,,,
,"KS_DST, TIS Staging, S",,Misc,Coded,S,,,,,,"TIS Staging, S - 0","TIS Staging, S – 1",,,,
,"KS_DST, ACTG Clustered Stage",,Misc,Coded,ACTG Clustered Stage,,,,,,ACTG Clustered Stage – I,ACTG Clustered Stage – II,ACTG Clustered Stage – III,,,
,"KS_DST, Treatment  Intent",,Misc,Coded,Treatment Intent,,,,,,Palliative systemic therapy,Palliation Only,,,,
,"KS_DST, Chemotherapy Planned",,Procedure,Boolean,Planned,,,,,,,,,,,
,"KS_DST, Chemotherapy, Regimen - Paclitaxel",,Misc,Boolean,Paclitaxel,,,,,,,,,,,
,"KS_DST, Regimen - Other",,Misc,Text,Other,,,,,,,,,,,
,"KS_DST, Chemotherapy Cycles",,Misc,Text,Cycles,,,,,,,,,,,
,"KS_DST, Chemotherapy Planned first cycle",,Misc,Date,Planned first cycle,,,,,,,,,,,
,"KS_DST, Chemotherapy Planned regimen end ",,Misc,Date,Planned regimen end,,,,,,,,,,,
,"KS_DST, Chemotherapy Planned changes to regimen",,Misc,Text,Planned changes to regimen,,,,,,,,,,,
,"KS_DST, Radiation Therapy, Planned",,Misc,Boolean,Radiation Therapy Planned,,,,,,,,,,,
,"KS_DST, Radiation Therapy, Planned Start Date",,Misc,Date,Planned Start Date,,,,,,,,,,,
,"KS_DST, Oncologist",,Misc,Text,Consulted Oncologist,,,,,,,,,,,
,"KS_DST, Surgeon",,Misc,Text,Consulted Surgeon,,,,,,,,,,,
,"KS_DST, Treatment plan confirmed by",,Misc,Text,Staging and treatment plan confirmed by,,,,,,,,,,,
